	IN	OUT	RMSE	MAE	ACC. IN	ACC.OUT	enough_zero	delta
102	2	8	4.74	4.50	25.0	72.72727272727273	29	1350
103	2	7	5.10	5.00	25.0	63.63636363636363	30	1350
104	15	18	7.00	7.00	12.5	36.36363636363637	18	1400
105	14	17	6.00	6.00	25.0	45.45454545454546	19	1400
106	8	17	4.24	3.00	100.0	45.45454545454546	20	1400
107	6	14	2.55	2.50	75.0	72.72727272727273	21	1400
108	6	13	2.00	2.00	75.0	81.81818181818181	22	1400
109	6	13	2.00	2.00	75.0	81.81818181818181	23	1400
110	6	13	2.00	2.00	75.0	81.81818181818181	24	1400
111	4	12	2.92	2.50	50.0	90.9090909090909	25	1400
112	3	11	3.54	2.50	37.5	100.0	26	1400
113	3	9	3.81	3.50	37.5	81.81818181818181	27	1400
114	3	9	3.81	3.50	37.5	81.81818181818181	28	1400
115	2	8	4.74	4.50	25.0	72.72727272727273	29	1400
116	2	7	5.10	5.00	25.0	63.63636363636363	30	1400
117	15	18	7.00	7.00	12.5	36.36363636363637	18	1450
118	14	17	6.00	6.00	25.0	45.45454545454546	19	1450
119	8	17	4.24	3.00	100.0	45.45454545454546	20	1450
120	6	14	2.55	2.50	75.0	72.72727272727273	21	1450
121	6	13	2.00	2.00	75.0	81.81818181818181	22	1450
122	6	13	2.00	2.00	75.0	81.81818181818181	23	1450
123	6	13	2.00	2.00	75.0	81.81818181818181	24	1450
124	4	12	2.92	2.50	50.0	90.9090909090909	25	1450
125	3	11	3.54	2.50	37.5	100.0	26	1450
126	3	9	3.81	3.50	37.5	81.81818181818181	27	1450
127	3	9	3.81	3.50	37.5	81.81818181818181	28	1450
128	2	8	4.74	4.50	25.0	72.72727272727273	29	1450
129	2	7	5.10	5.00	25.0	63.63636363636363	30	1450
130	15	18	7.00	7.00	12.5	36.36363636363637	18	1500
131	14	17	6.00	6.00	25.0	45.45454545454546	19	1500
132	8	17	4.24	3.00	100.0	45.45454545454546	20	1500
133	6	14	2.55	2.50	75.0	72.72727272727273	21	1500
134	6	13	2.00	2.00	75.0	81.81818181818181	22	1500
135	6	13	2.00	2.00	75.0	81.81818181818181	23	1500
136	6	13	2.00	2.00	75.0	81.81818181818181	24	1500
137	4	12	2.92	2.50	50.0	90.9090909090909	25	1500
138	3	11	3.54	2.50	37.5	100.0	26	1500
139	3	9	3.81	3.50	37.5	81.81818181818181	27	1500
140	3	9	3.81	3.50	37.5	81.81818181818181	28	1500
141	2	8	4.74	4.50	25.0	72.72727272727273	29	1500
142	2	7	5.10	5.00	25.0	63.63636363636363	30	1500
143	15	18	7.00	7.00	12.5	36.36363636363637	18	1550
144	14	17	6.00	6.00	25.0	45.45454545454546	19	1550
145	8	17	4.24	3.00	100.0	45.45454545454546	20	1550
146	6	14	2.55	2.50	75.0	72.72727272727273	21	1550
147	6	13	2.00	2.00	75.0	81.81818181818181	22	1550
148	6	13	2.00	2.00	75.0	81.81818181818181	23	1550
149	6	13	2.00	2.00	75.0	81.81818181818181	24	1550
150	4	12	2.92	2.50	50.0	90.9090909090909	25	1550
151	3	11	3.54	2.50	37.5	100.0	26	1550
152	3	9	3.81	3.50	37.5	81.81818181818181	27	1550
153	3	9	3.81	3.50	37.5	81.81818181818181	28	1550
154	2	8	4.74	4.50	25.0	72.72727272727273	29	1550
155	2	7	5.10	5.00	25.0	63.63636363636363	30	1550
156	15	18	7.00	7.00	12.5	36.36363636363637	18	1600
157	14	17	6.00	6.00	25.0	45.45454545454546	19	1600
158	8	17	4.24	3.00	100.0	45.45454545454546	20	1600
159	6	14	2.55	2.50	75.0	72.72727272727273	21	1600
160	6	13	2.00	2.00	75.0	81.81818181818181	22	1600
161	6	13	2.00	2.00	75.0	81.81818181818181	23	1600
162	6	13	2.00	2.00	75.0	81.81818181818181	24	1600
163	4	12	2.92	2.50	50.0	90.9090909090909	25	1600
164	3	11	3.54	2.50	37.5	100.0	26	1600
165	3	9	3.81	3.50	37.5	81.81818181818181	27	1600
166	3	9	3.81	3.50	37.5	81.81818181818181	28	1600
167	2	8	4.74	4.50	25.0	72.72727272727273	29	1600
168	2	7	5.10	5.00	25.0	63.63636363636363	30	1600
169	15	18	7.00	7.00	12.5	36.36363636363637	18	1650
170	14	17	6.00	6.00	25.0	45.45454545454546	19	1650
171	8	17	4.24	3.00	100.0	45.45454545454546	20	1650
172	6	14	2.55	2.50	75.0	72.72727272727273	21	1650
173	6	13	2.00	2.00	75.0	81.81818181818181	22	1650
174	6	13	2.00	2.00	75.0	81.81818181818181	23	1650
175	6	13	2.00	2.00	75.0	81.81818181818181	24	1650
176	4	12	2.92	2.50	50.0	90.9090909090909	25	1650
177	3	11	3.54	2.50	37.5	100.0	26	1650
178	3	9	3.81	3.50	37.5	81.81818181818181	27	1650
179	3	9	3.81	3.50	37.5	81.81818181818181	28	1650
180	2	8	4.74	4.50	25.0	72.72727272727273	29	1650
181	2	7	5.10	5.00	25.0	63.63636363636363	30	1650
182	15	18	7.00	7.00	12.5	36.36363636363637	18	1700
183	14	17	6.00	6.00	25.0	45.45454545454546	19	1700
184	8	17	4.24	3.00	100.0	45.45454545454546	20	1700
185	6	14	2.55	2.50	75.0	72.72727272727273	21	1700
186	6	13	2.00	2.00	75.0	81.81818181818181	22	1700
187	6	13	2.00	2.00	75.0	81.81818181818181	23	1700
188	6	13	2.00	2.00	75.0	81.81818181818181	24	1700
189	4	12	2.92	2.50	50.0	90.9090909090909	25	1700
190	3	11	3.54	2.50	37.5	100.0	26	1700
191	3	9	3.81	3.50	37.5	81.81818181818181	27	1700
192	3	9	3.81	3.50	37.5	81.81818181818181	28	1700
193	2	8	4.74	4.50	25.0	72.72727272727273	29	1700
194	2	7	5.10	5.00	25.0	63.63636363636363	30	1700
195	15	18	7.00	7.00	12.5	36.36363636363637	18	1750
196	14	17	6.00	6.00	25.0	45.45454545454546	19	1750
197	8	17	4.24	3.00	100.0	45.45454545454546	20	1750
198	6	14	2.55	2.50	75.0	72.72727272727273	21	1750
199	6	13	2.00	2.00	75.0	81.81818181818181	22	1750
200	6	13	2.00	2.00	75.0	81.81818181818181	23	1750
201	6	13	2.00	2.00	75.0	81.81818181818181	24	1750
202	4	12	2.92	2.50	50.0	90.9090909090909	25	1750
203	3	11	3.54	2.50	37.5	100.0	26	1750
204	3	9	3.81	3.50	37.5	81.81818181818181	27	1750
205	3	9	3.81	3.50	37.5	81.81818181818181	28	1750
206	2	8	4.74	4.50	25.0	72.72727272727273	29	1750
207	2	7	5.10	5.00	25.0	63.63636363636363	30	1750
208	15	18	7.00	7.00	12.5	36.36363636363637	18	1800
209	14	17	6.00	6.00	25.0	45.45454545454546	19	1800
210	8	17	4.24	3.00	100.0	45.45454545454546	20	1800
211	6	14	2.55	2.50	75.0	72.72727272727273	21	1800
212	6	13	2.00	2.00	75.0	81.81818181818181	22	1800
213	6	13	2.00	2.00	75.0	81.81818181818181	23	1800
214	6	13	2.00	2.00	75.0	81.81818181818181	24	1800
215	4	12	2.92	2.50	50.0	90.9090909090909	25	1800
216	3	11	3.54	2.50	37.5	100.0	26	1800
217	3	9	3.81	3.50	37.5	81.81818181818181	27	1800
218	3	9	3.81	3.50	37.5	81.81818181818181	28	1800
219	2	8	4.74	4.50	25.0	72.72727272727273	29	1800
220	2	7	5.10	5.00	25.0	63.63636363636363	30	1800
221	15	18	7.00	7.00	12.5	36.36363636363637	18	1850
222	14	17	6.00	6.00	25.0	45.45454545454546	19	1850
223	8	17	4.24	3.00	100.0	45.45454545454546	20	1850
224	6	14	2.55	2.50	75.0	72.72727272727273	21	1850
225	6	13	2.00	2.00	75.0	81.81818181818181	22	1850
226	6	13	2.00	2.00	75.0	81.81818181818181	23	1850
227	6	13	2.00	2.00	75.0	81.81818181818181	24	1850
228	4	12	2.92	2.50	50.0	90.9090909090909	25	1850
229	3	11	3.54	2.50	37.5	100.0	26	1850
230	3	9	3.81	3.50	37.5	81.81818181818181	27	1850
231	3	9	3.81	3.50	37.5	81.81818181818181	28	1850
232	2	8	4.74	4.50	25.0	72.72727272727273	29	1850
233	2	7	5.10	5.00	25.0	63.63636363636363	30	1850
234	15	18	7.00	7.00	12.5	36.36363636363637	18	1900
235	14	17	6.00	6.00	25.0	45.45454545454546	19	1900
236	8	17	4.24	3.00	100.0	45.45454545454546	20	1900
237	6	14	2.55	2.50	75.0	72.72727272727273	21	1900
238	6	13	2.00	2.00	75.0	81.81818181818181	22	1900
239	6	13	2.00	2.00	75.0	81.81818181818181	23	1900
240	6	13	2.00	2.00	75.0	81.81818181818181	24	1900
241	4	12	2.92	2.50	50.0	90.9090909090909	25	1900
242	3	11	3.54	2.50	37.5	100.0	26	1900
243	3	9	3.81	3.50	37.5	81.81818181818181	27	1900
244	3	9	3.81	3.50	37.5	81.81818181818181	28	1900
245	2	8	4.74	4.50	25.0	72.72727272727273	29	1900
246	2	7	5.10	5.00	25.0	63.63636363636363	30	1900
