	IN	OUT	RMSE	MAE	ACC. IN	ACC.OUT	enough_zero	delta
101	2	4	6.52	6.50	25.0	36.36363636363637	28	1350
102	2	4	6.52	6.50	25.0	36.36363636363637	29	1350
103	2	3	7.07	7.00	25.0	27.272727272727266	30	1350
104	9	15	2.92	2.50	87.5	63.63636363636363	18	1400
105	9	15	2.92	2.50	87.5	63.63636363636363	19	1400
106	9	14	2.24	2.00	87.5	72.72727272727273	20	1400
107	7	10	1.00	1.00	87.5	90.9090909090909	21	1400
108	6	10	1.58	1.50	75.0	90.9090909090909	22	1400
109	6	10	1.58	1.50	75.0	90.9090909090909	23	1400
110	6	10	1.58	1.50	75.0	90.9090909090909	24	1400
111	4	8	3.54	3.50	50.0	72.72727272727273	25	1400
112	3	6	5.00	5.00	37.5	54.54545454545455	26	1400
113	2	4	6.52	6.50	25.0	36.36363636363637	27	1400
114	2	4	6.52	6.50	25.0	36.36363636363637	28	1400
115	2	4	6.52	6.50	25.0	36.36363636363637	29	1400
116	2	4	6.52	6.50	25.0	36.36363636363637	30	1400
117	9	15	2.92	2.50	87.5	63.63636363636363	18	1450
118	9	15	2.92	2.50	87.5	63.63636363636363	19	1450
119	9	14	2.24	2.00	87.5	72.72727272727273	20	1450
120	7	10	1.00	1.00	87.5	90.9090909090909	21	1450
121	6	10	1.58	1.50	75.0	90.9090909090909	22	1450
122	6	10	1.58	1.50	75.0	90.9090909090909	23	1450
123	6	10	1.58	1.50	75.0	90.9090909090909	24	1450
124	4	8	3.54	3.50	50.0	72.72727272727273	25	1450
125	3	6	5.00	5.00	37.5	54.54545454545455	26	1450
126	2	4	6.52	6.50	25.0	36.36363636363637	27	1450
127	2	4	6.52	6.50	25.0	36.36363636363637	28	1450
128	2	4	6.52	6.50	25.0	36.36363636363637	29	1450
129	2	4	6.52	6.50	25.0	36.36363636363637	30	1450
130	9	15	2.92	2.50	87.5	63.63636363636363	18	1500
131	9	15	2.92	2.50	87.5	63.63636363636363	19	1500
132	9	14	2.24	2.00	87.5	72.72727272727273	20	1500
133	7	10	1.00	1.00	87.5	90.9090909090909	21	1500
134	6	10	1.58	1.50	75.0	90.9090909090909	22	1500
135	6	10	1.58	1.50	75.0	90.9090909090909	23	1500
136	6	10	1.58	1.50	75.0	90.9090909090909	24	1500
137	4	8	3.54	3.50	50.0	72.72727272727273	25	1500
138	3	6	5.00	5.00	37.5	54.54545454545455	26	1500
139	2	4	6.52	6.50	25.0	36.36363636363637	27	1500
140	2	4	6.52	6.50	25.0	36.36363636363637	28	1500
141	2	4	6.52	6.50	25.0	36.36363636363637	29	1500
142	2	4	6.52	6.50	25.0	36.36363636363637	30	1500
143	9	15	2.92	2.50	87.5	63.63636363636363	18	1550
144	9	15	2.92	2.50	87.5	63.63636363636363	19	1550
145	9	14	2.24	2.00	87.5	72.72727272727273	20	1550
146	7	10	1.00	1.00	87.5	90.9090909090909	21	1550
