	IN	OUT	RMSE	MAE	ACC. IN	ACC.OUT	span	delta
102	8	7	2.83	2.00	100.0	63.63636363636363	1100	1100
103	8	7	2.83	2.00	100.0	63.63636363636363	1150	1100
104	8	7	2.83	2.00	100.0	63.63636363636363	1200	1100
105	7	5	4.30	3.50	87.5	45.45454545454546	500	1150
106	7	6	3.61	3.00	87.5	54.54545454545455	550	1150
107	7	6	3.61	3.00	87.5	54.54545454545455	600	1150
108	8	6	3.54	2.50	100.0	54.54545454545455	650	1150
109	8	6	3.54	2.50	100.0	54.54545454545455	700	1150
110	8	7	2.83	2.00	100.0	63.63636363636363	750	1150
111	8	7	2.83	2.00	100.0	63.63636363636363	800	1150
112	8	7	2.83	2.00	100.0	63.63636363636363	850	1150
113	8	7	2.83	2.00	100.0	63.63636363636363	900	1150
114	8	7	2.83	2.00	100.0	63.63636363636363	950	1150
115	8	7	2.83	2.00	100.0	63.63636363636363	1000	1150
116	8	7	2.83	2.00	100.0	63.63636363636363	1050	1150
117	8	7	2.83	2.00	100.0	63.63636363636363	1100	1150
118	8	7	2.83	2.00	100.0	63.63636363636363	1150	1150
119	8	7	2.83	2.00	100.0	63.63636363636363	1200	1150
120	7	5	4.30	3.50	87.5	45.45454545454546	500	1200
121	7	6	3.61	3.00	87.5	54.54545454545455	550	1200
122	7	6	3.61	3.00	87.5	54.54545454545455	600	1200
123	8	6	3.54	2.50	100.0	54.54545454545455	650	1200
124	8	6	3.54	2.50	100.0	54.54545454545455	700	1200
125	8	7	2.83	2.00	100.0	63.63636363636363	750	1200
126	8	7	2.83	2.00	100.0	63.63636363636363	800	1200
127	8	7	2.83	2.00	100.0	63.63636363636363	850	1200
128	8	7	2.83	2.00	100.0	63.63636363636363	900	1200
129	8	7	2.83	2.00	100.0	63.63636363636363	950	1200
130	8	7	2.83	2.00	100.0	63.63636363636363	1000	1200
131	8	7	2.83	2.00	100.0	63.63636363636363	1050	1200
132	8	7	2.83	2.00	100.0	63.63636363636363	1100	1200
133	8	7	2.83	2.00	100.0	63.63636363636363	1150	1200
134	8	7	2.83	2.00	100.0	63.63636363636363	1200	1200
135	7	5	4.30	3.50	87.5	45.45454545454546	500	1250
136	7	6	3.61	3.00	87.5	54.54545454545455	550	1250
137	7	6	3.61	3.00	87.5	54.54545454545455	600	1250
138	8	6	3.54	2.50	100.0	54.54545454545455	650	1250
139	8	6	3.54	2.50	100.0	54.54545454545455	700	1250
140	8	7	2.83	2.00	100.0	63.63636363636363	750	1250
141	8	7	2.83	2.00	100.0	63.63636363636363	800	1250
142	8	7	2.83	2.00	100.0	63.63636363636363	850	1250
143	8	7	2.83	2.00	100.0	63.63636363636363	900	1250
144	8	7	2.83	2.00	100.0	63.63636363636363	950	1250
145	8	7	2.83	2.00	100.0	63.63636363636363	1000	1250
146	8	7	2.83	2.00	100.0	63.63636363636363	1050	1250
147	8	7	2.83	2.00	100.0	63.63636363636363	1100	1250
148	8	7	2.83	2.00	100.0	63.63636363636363	1150	1250
149	8	7	2.83	2.00	100.0	63.63636363636363	1200	1250
150	7	5	4.30	3.50	87.5	45.45454545454546	500	1300
151	7	6	3.61	3.00	87.5	54.54545454545455	550	1300
152	7	6	3.61	3.00	87.5	54.54545454545455	600	1300
153	8	6	3.54	2.50	100.0	54.54545454545455	650	1300
154	8	6	3.54	2.50	100.0	54.54545454545455	700	1300
155	8	7	2.83	2.00	100.0	63.63636363636363	750	1300
156	8	7	2.83	2.00	100.0	63.63636363636363	800	1300
157	8	7	2.83	2.00	100.0	63.63636363636363	850	1300
158	8	7	2.83	2.00	100.0	63.63636363636363	900	1300
159	8	7	2.83	2.00	100.0	63.63636363636363	950	1300
160	8	7	2.83	2.00	100.0	63.63636363636363	1000	1300
161	8	7	2.83	2.00	100.0	63.63636363636363	1050	1300
162	8	7	2.83	2.00	100.0	63.63636363636363	1100	1300
163	8	7	2.83	2.00	100.0	63.63636363636363	1150	1300
164	8	7	2.83	2.00	100.0	63.63636363636363	1200	1300
165	7	5	4.30	3.50	87.5	45.45454545454546	500	1350
166	7	6	3.61	3.00	87.5	54.54545454545455	550	1350
167	7	6	3.61	3.00	87.5	54.54545454545455	600	1350
168	8	6	3.54	2.50	100.0	54.54545454545455	650	1350
169	8	6	3.54	2.50	100.0	54.54545454545455	700	1350
170	8	7	2.83	2.00	100.0	63.63636363636363	750	1350
171	8	7	2.83	2.00	100.0	63.63636363636363	800	1350
172	8	7	2.83	2.00	100.0	63.63636363636363	850	1350
173	8	7	2.83	2.00	100.0	63.63636363636363	900	1350
174	8	7	2.83	2.00	100.0	63.63636363636363	950	1350
175	8	7	2.83	2.00	100.0	63.63636363636363	1000	1350
176	8	7	2.83	2.00	100.0	63.63636363636363	1050	1350
177	8	7	2.83	2.00	100.0	63.63636363636363	1100	1350
178	8	7	2.83	2.00	100.0	63.63636363636363	1150	1350
179	8	7	2.83	2.00	100.0	63.63636363636363	1200	1350
180	7	5	4.30	3.50	87.5	45.45454545454546	500	1400
181	7	6	3.61	3.00	87.5	54.54545454545455	550	1400
182	7	6	3.61	3.00	87.5	54.54545454545455	600	1400
183	8	6	3.54	2.50	100.0	54.54545454545455	650	1400
