	REAL IN	IN	REAL OUT	OUT	RMSE	MAE	ACC. IN	ACC.OUT	span	delta
0	11	5	13	8	5.52	5.50	45.45454545454546	61.53846153846153	800	900
1	11	5	13	8	5.52	5.50	45.45454545454546	61.53846153846153	850	900
2	11	5	13	8	5.52	5.50	45.45454545454546	61.53846153846153	900	900
3	11	5	13	8	5.52	5.50	45.45454545454546	61.53846153846153	950	900
4	11	5	13	8	5.52	5.50	45.45454545454546	61.53846153846153	1000	900
5	11	5	13	8	5.52	5.50	45.45454545454546	61.53846153846153	800	950
6	11	5	13	8	5.52	5.50	45.45454545454546	61.53846153846153	850	950
7	11	5	13	8	5.52	5.50	45.45454545454546	61.53846153846153	900	950
8	11	5	13	8	5.52	5.50	45.45454545454546	61.53846153846153	950	950
9	11	5	13	8	5.52	5.50	45.45454545454546	61.53846153846153	1000	950
10	11	5	13	8	5.52	5.50	45.45454545454546	61.53846153846153	800	1000
11	11	5	13	8	5.52	5.50	45.45454545454546	61.53846153846153	850	1000
12	11	5	13	8	5.52	5.50	45.45454545454546	61.53846153846153	900	1000
13	11	5	13	8	5.52	5.50	45.45454545454546	61.53846153846153	950	1000
14	11	5	13	8	5.52	5.50	45.45454545454546	61.53846153846153	1000	1000
15	11	5	13	8	5.52	5.50	45.45454545454546	61.53846153846153	800	1050
16	11	5	13	8	5.52	5.50	45.45454545454546	61.53846153846153	850	1050
17	11	5	13	8	5.52	5.50	45.45454545454546	61.53846153846153	900	1050
18	11	5	13	8	5.52	5.50	45.45454545454546	61.53846153846153	950	1050
19	11	5	13	8	5.52	5.50	45.45454545454546	61.53846153846153	1000	1050
20	11	5	13	8	5.52	5.50	45.45454545454546	61.53846153846153	800	1100
21	11	5	13	8	5.52	5.50	45.45454545454546	61.53846153846153	850	1100
22	11	5	13	8	5.52	5.50	45.45454545454546	61.53846153846153	900	1100
23	11	5	13	8	5.52	5.50	45.45454545454546	61.53846153846153	950	1100
24	11	5	13	8	5.52	5.50	45.45454545454546	61.53846153846153	1000	1100
