	REAL IN	IN	REAL OUT	OUT	RMSE	MAE	ACC. IN	ACC.OUT	span	delta
0	6	5	8	1	5.00	4.00	83.33333333333334	12.5	600	600
1	6	5	8	1	5.00	4.00	83.33333333333334	12.5	650	600
2	6	5	8	1	5.00	4.00	83.33333333333334	12.5	700	600
3	6	5	8	1	5.00	4.00	83.33333333333334	12.5	750	600
4	6	5	8	1	5.00	4.00	83.33333333333334	12.5	800	600
5	6	5	8	1	5.00	4.00	83.33333333333334	12.5	850	600
6	6	5	8	1	5.00	4.00	83.33333333333334	12.5	900	600
7	6	5	8	1	5.00	4.00	83.33333333333334	12.5	950	600
8	6	5	8	1	5.00	4.00	83.33333333333334	12.5	1000	600
9	6	5	8	1	5.00	4.00	83.33333333333334	12.5	1050	600
10	6	5	8	1	5.00	4.00	83.33333333333334	12.5	1100	600
11	6	5	8	1	5.00	4.00	83.33333333333334	12.5	1150	600
12	6	5	8	1	5.00	4.00	83.33333333333334	12.5	1200	600
13	6	5	8	1	5.00	4.00	83.33333333333334	12.5	600	650
14	6	5	8	1	5.00	4.00	83.33333333333334	12.5	650	650
15	6	5	8	1	5.00	4.00	83.33333333333334	12.5	700	650
16	6	5	8	1	5.00	4.00	83.33333333333334	12.5	750	650
17	6	5	8	1	5.00	4.00	83.33333333333334	12.5	800	650
18	6	5	8	1	5.00	4.00	83.33333333333334	12.5	850	650
19	6	5	8	1	5.00	4.00	83.33333333333334	12.5	900	650
20	6	5	8	1	5.00	4.00	83.33333333333334	12.5	950	650
21	6	5	8	1	5.00	4.00	83.33333333333334	12.5	1000	650
22	6	5	8	1	5.00	4.00	83.33333333333334	12.5	1050	650
23	6	5	8	1	5.00	4.00	83.33333333333334	12.5	1100	650
24	6	5	8	1	5.00	4.00	83.33333333333334	12.5	1150	650
25	6	5	8	1	5.00	4.00	83.33333333333334	12.5	1200	650
26	6	5	8	1	5.00	4.00	83.33333333333334	12.5	600	700
27	6	5	8	1	5.00	4.00	83.33333333333334	12.5	650	700
28	6	5	8	1	5.00	4.00	83.33333333333334	12.5	700	700
29	6	5	8	1	5.00	4.00	83.33333333333334	12.5	750	700
30	6	5	8	1	5.00	4.00	83.33333333333334	12.5	800	700
31	6	5	8	1	5.00	4.00	83.33333333333334	12.5	850	700
32	6	5	8	1	5.00	4.00	83.33333333333334	12.5	900	700
33	6	5	8	1	5.00	4.00	83.33333333333334	12.5	950	700
34	6	5	8	1	5.00	4.00	83.33333333333334	12.5	1000	700
35	6	5	8	1	5.00	4.00	83.33333333333334	12.5	1050	700
36	6	5	8	1	5.00	4.00	83.33333333333334	12.5	1100	700
37	6	5	8	1	5.00	4.00	83.33333333333334	12.5	1150	700
38	6	5	8	1	5.00	4.00	83.33333333333334	12.5	1200	700
39	6	5	8	1	5.00	4.00	83.33333333333334	12.5	600	750
40	6	5	8	1	5.00	4.00	83.33333333333334	12.5	650	750
41	6	5	8	1	5.00	4.00	83.33333333333334	12.5	700	750
42	6	5	8	1	5.00	4.00	83.33333333333334	12.5	750	750
43	6	5	8	1	5.00	4.00	83.33333333333334	12.5	800	750
44	6	5	8	1	5.00	4.00	83.33333333333334	12.5	850	750
45	6	5	8	1	5.00	4.00	83.33333333333334	12.5	900	750
46	6	5	8	1	5.00	4.00	83.33333333333334	12.5	950	750
47	6	5	8	1	5.00	4.00	83.33333333333334	12.5	1000	750
48	6	5	8	1	5.00	4.00	83.33333333333334	12.5	1050	750
49	6	5	8	1	5.00	4.00	83.33333333333334	12.5	1100	750
50	6	5	8	1	5.00	4.00	83.33333333333334	12.5	1150	750
