	REAL IN	IN	REAL OUT	OUT	RMSE	MAE	ACC. IN	ACC.OUT	enough_zero	delta
0	7	8	12	12	0.71	0.50	85.71428571428572	100.0	3	800
1	7	7	12	9	2.12	1.50	100.0	75.0	4	800
2	7	6	12	9	2.24	2.00	85.71428571428572	75.0	5	800
3	7	2	12	7	5.00	5.00	28.57142857142857	58.33333333333333	6	800
4	7	2	12	4	6.67	6.50	28.57142857142857	33.33333333333334	7	800
5	7	8	12	12	0.71	0.50	85.71428571428572	100.0	3	850
6	7	7	12	9	2.12	1.50	100.0	75.0	4	850
7	7	6	12	9	2.24	2.00	85.71428571428572	75.0	5	850
8	7	2	12	7	5.00	5.00	28.57142857142857	58.33333333333333	6	850
9	7	2	12	4	6.67	6.50	28.57142857142857	33.33333333333334	7	850
10	7	8	12	12	0.71	0.50	85.71428571428572	100.0	3	900
11	7	7	12	9	2.12	1.50	100.0	75.0	4	900
12	7	6	12	9	2.24	2.00	85.71428571428572	75.0	5	900
13	7	2	12	7	5.00	5.00	28.57142857142857	58.33333333333333	6	900
14	7	2	12	4	6.67	6.50	28.57142857142857	33.33333333333334	7	900
15	7	8	12	12	0.71	0.50	85.71428571428572	100.0	3	950
16	7	7	12	9	2.12	1.50	100.0	75.0	4	950
17	7	6	12	9	2.24	2.00	85.71428571428572	75.0	5	950
18	7	2	12	7	5.00	5.00	28.57142857142857	58.33333333333333	6	950
19	7	2	12	4	6.67	6.50	28.57142857142857	33.33333333333334	7	950
20	7	8	12	12	0.71	0.50	85.71428571428572	100.0	3	1000
21	7	7	12	9	2.12	1.50	100.0	75.0	4	1000
22	7	6	12	9	2.24	2.00	85.71428571428572	75.0	5	1000
23	7	2	12	7	5.00	5.00	28.57142857142857	58.33333333333333	6	1000
24	7	2	12	4	6.67	6.50	28.57142857142857	33.33333333333334	7	1000
25	7	8	12	12	0.71	0.50	85.71428571428572	100.0	3	1050
26	7	7	12	9	2.12	1.50	100.0	75.0	4	1050
