	REAL IN	IN	REAL OUT	OUT	RMSE	MAE	ACC. IN	ACC.OUT	enough_zero	delta
0	5	7	10	12	2.00	2.00	60.0	80.0	3	800
1	5	5	10	11	0.71	0.50	100.0	90.0	4	800
2	5	5	10	7	2.12	1.50	100.0	70.0	5	800
3	5	4	10	7	2.24	2.00	80.0	70.0	6	800
4	5	2	10	6	3.54	3.50	40.0	60.0	7	800
5	5	8	10	12	2.55	2.50	40.0	80.0	3	850
6	5	6	10	11	1.00	1.00	80.0	90.0	4	850
7	5	6	10	7	2.24	2.00	80.0	70.0	5	850
8	5	5	10	7	2.12	1.50	100.0	70.0	6	850
9	5	3	10	6	3.16	3.00	60.0	60.0	7	850
10	5	8	10	12	2.55	2.50	40.0	80.0	3	900
11	5	6	10	11	1.00	1.00	80.0	90.0	4	900
12	5	6	10	7	2.24	2.00	80.0	70.0	5	900
13	5	5	10	7	2.12	1.50	100.0	70.0	6	900
14	5	3	10	6	3.16	3.00	60.0	60.0	7	900
15	5	8	10	12	2.55	2.50	40.0	80.0	3	950
16	5	6	10	11	1.00	1.00	80.0	90.0	4	950
17	5	6	10	7	2.24	2.00	80.0	70.0	5	950
18	5	5	10	7	2.12	1.50	100.0	70.0	6	950
19	5	3	10	6	3.16	3.00	60.0	60.0	7	950
20	5	8	10	12	2.55	2.50	40.0	80.0	3	1000
21	5	6	10	11	1.00	1.00	80.0	90.0	4	1000
22	5	6	10	7	2.24	2.00	80.0	70.0	5	1000
23	5	5	10	7	2.12	1.50	100.0	70.0	6	1000
24	5	3	10	6	3.16	3.00	60.0	60.0	7	1000
25	5	9	10	12	3.16	3.00	20.0	80.0	3	1050
26	5	7	10	11	1.58	1.50	60.0	90.0	4	1050
27	5	7	10	7	2.55	2.50	60.0	70.0	5	1050
28	5	6	10	7	2.24	2.00	80.0	70.0	6	1050
29	5	4	10	6	2.92	2.50	80.0	60.0	7	1050
30	5	9	10	13	3.54	3.50	20.0	70.0	3	1100
31	5	7	10	12	2.00	2.00	60.0	80.0	4	1100
32	5	7	10	8	2.00	2.00	60.0	80.0	5	1100
33	5	6	10	7	2.24	2.00	80.0	70.0	6	1100
34	5	4	10	6	2.92	2.50	80.0	60.0	7	1100
35	5	9	10	13	3.54	3.50	20.0	70.0	3	1150
36	5	7	10	12	2.00	2.00	60.0	80.0	4	1150
37	5	7	10	8	2.00	2.00	60.0	80.0	5	1150
38	5	6	10	7	2.24	2.00	80.0	70.0	6	1150
39	5	4	10	6	2.92	2.50	80.0	60.0	7	1150
40	5	9	10	13	3.54	3.50	20.0	70.0	3	1200
41	5	7	10	12	2.00	2.00	60.0	80.0	4	1200
42	5	7	10	8	2.00	2.00	60.0	80.0	5	1200
43	5	6	10	7	2.24	2.00	80.0	70.0	6	1200
44	5	4	10	6	2.92	2.50	80.0	60.0	7	1200
45	5	9	10	13	3.54	3.50	20.0	70.0	3	1250
46	5	7	10	12	2.00	2.00	60.0	80.0	4	1250
47	5	7	10	8	2.00	2.00	60.0	80.0	5	1250
48	5	6	10	7	2.24	2.00	80.0	70.0	6	1250
49	5	4	10	6	2.92	2.50	80.0	60.0	7	1250
50	5	9	10	13	3.54	3.50	20.0	70.0	3	1300
51	5	7	10	12	2.00	2.00	60.0	80.0	4	1300
52	5	7	10	8	2.00	2.00	60.0	80.0	5	1300
53	5	6	10	7	2.24	2.00	80.0	70.0	6	1300
54	5	4	10	6	2.92	2.50	80.0	60.0	7	1300
55	5	9	10	13	3.54	3.50	20.0	70.0	3	1350
56	5	7	10	12	2.00	2.00	60.0	80.0	4	1350
57	5	7	10	8	2.00	2.00	60.0	80.0	5	1350
58	5	6	10	7	2.24	2.00	80.0	70.0	6	1350
59	5	4	10	6	2.92	2.50	80.0	60.0	7	1350
60	5	9	10	13	3.54	3.50	20.0	70.0	3	1400
61	5	7	10	12	2.00	2.00	60.0	80.0	4	1400
62	5	7	10	8	2.00	2.00	60.0	80.0	5	1400
63	5	6	10	7	2.24	2.00	80.0	70.0	6	1400
64	5	4	10	6	2.92	2.50	80.0	60.0	7	1400
65	5	9	10	13	3.54	3.50	20.0	70.0	3	1450
66	5	7	10	12	2.00	2.00	60.0	80.0	4	1450
67	5	7	10	8	2.00	2.00	60.0	80.0	5	1450
68	5	6	10	7	2.24	2.00	80.0	70.0	6	1450
69	5	4	10	6	2.92	2.50	80.0	60.0	7	1450
70	5	9	10	13	3.54	3.50	20.0	70.0	3	1500
71	5	7	10	12	2.00	2.00	60.0	80.0	4	1500
72	5	7	10	8	2.00	2.00	60.0	80.0	5	1500
73	5	6	10	7	2.24	2.00	80.0	70.0	6	1500
74	5	4	10	6	2.92	2.50	80.0	60.0	7	1500
75	5	9	10	13	3.54	3.50	20.0	70.0	3	1550
76	5	7	10	12	2.00	2.00	60.0	80.0	4	1550
77	5	7	10	8	2.00	2.00	60.0	80.0	5	1550
78	5	6	10	7	2.24	2.00	80.0	70.0	6	1550
79	5	4	10	6	2.92	2.50	80.0	60.0	7	1550
80	5	9	10	13	3.54	3.50	20.0	70.0	3	1600
81	5	7	10	12	2.00	2.00	60.0	80.0	4	1600
82	5	7	10	8	2.00	2.00	60.0	80.0	5	1600
83	5	6	10	7	2.24	2.00	80.0	70.0	6	1600
84	5	4	10	6	2.92	2.50	80.0	60.0	7	1600
