	IN	OUT	RMSE	MAE	enough_zero	delta
146	1	1	1.00	1.00	28	1350
147	0	1	0.71	0.50	29	1350
148	0	1	0.71	0.50	30	1350
149	0	1	0.71	0.50	31	1350
150	0	0	0.00	0.00	32	1350
151	0	0	0.00	0.00	33	1350
152	3	2	2.55	2.50	15	1400
153	3	2	2.55	2.50	16	1400
154	3	2	2.55	2.50	17	1400
155	3	2	2.55	2.50	18	1400
156	3	2	2.55	2.50	19	1400
157	3	2	2.55	2.50	20	1400
158	2	1	1.58	1.50	21	1400
159	2	1	1.58	1.50	22	1400
160	2	1	1.58	1.50	23	1400
161	2	1	1.58	1.50	24	1400
162	1	1	1.00	1.00	25	1400
163	1	1	1.00	1.00	26	1400
164	1	1	1.00	1.00	27	1400
165	1	1	1.00	1.00	28	1400
166	0	1	0.71	0.50	29	1400
167	0	1	0.71	0.50	30	1400
168	0	1	0.71	0.50	31	1400
169	0	0	0.00	0.00	32	1400
170	0	0	0.00	0.00	33	1400
171	3	2	2.55	2.50	15	1450
172	3	2	2.55	2.50	16	1450
173	3	2	2.55	2.50	17	1450
174	3	2	2.55	2.50	18	1450
175	3	2	2.55	2.50	19	1450
176	3	2	2.55	2.50	20	1450
177	2	1	1.58	1.50	21	1450
178	2	1	1.58	1.50	22	1450
179	2	1	1.58	1.50	23	1450
180	2	1	1.58	1.50	24	1450
181	1	1	1.00	1.00	25	1450
182	1	1	1.00	1.00	26	1450
183	1	1	1.00	1.00	27	1450
184	1	1	1.00	1.00	28	1450
185	0	1	0.71	0.50	29	1450
186	0	1	0.71	0.50	30	1450
187	0	1	0.71	0.50	31	1450
188	0	0	0.00	0.00	32	1450
189	0	0	0.00	0.00	33	1450
190	3	2	2.55	2.50	15	1500
191	3	2	2.55	2.50	16	1500
192	3	2	2.55	2.50	17	1500
193	3	2	2.55	2.50	18	1500
194	3	2	2.55	2.50	19	1500
195	3	2	2.55	2.50	20	1500
196	2	1	1.58	1.50	21	1500
197	2	1	1.58	1.50	22	1500
198	2	1	1.58	1.50	23	1500
199	2	1	1.58	1.50	24	1500
200	1	1	1.00	1.00	25	1500
201	1	1	1.00	1.00	26	1500
202	1	1	1.00	1.00	27	1500
203	1	1	1.00	1.00	28	1500
204	0	1	0.71	0.50	29	1500
205	0	1	0.71	0.50	30	1500
206	0	1	0.71	0.50	31	1500
207	0	0	0.00	0.00	32	1500
208	0	0	0.00	0.00	33	1500
209	3	2	2.55	2.50	15	1550
210	3	2	2.55	2.50	16	1550
211	3	2	2.55	2.50	17	1550
212	3	2	2.55	2.50	18	1550
213	3	2	2.55	2.50	19	1550
214	3	2	2.55	2.50	20	1550
215	2	1	1.58	1.50	21	1550
216	2	1	1.58	1.50	22	1550
217	2	1	1.58	1.50	23	1550
218	2	1	1.58	1.50	24	1550
219	1	1	1.00	1.00	25	1550
220	1	1	1.00	1.00	26	1550
221	1	1	1.00	1.00	27	1550
222	1	1	1.00	1.00	28	1550
223	0	1	0.71	0.50	29	1550
224	0	1	0.71	0.50	30	1550
225	0	1	0.71	0.50	31	1550
226	0	0	0.00	0.00	32	1550
227	0	0	0.00	0.00	33	1550
228	3	2	2.55	2.50	15	1600
229	3	2	2.55	2.50	16	1600
230	3	2	2.55	2.50	17	1600
231	3	2	2.55	2.50	18	1600
232	3	2	2.55	2.50	19	1600
233	3	2	2.55	2.50	20	1600
234	2	1	1.58	1.50	21	1600
235	2	1	1.58	1.50	22	1600
236	2	1	1.58	1.50	23	1600
237	2	1	1.58	1.50	24	1600
238	1	1	1.00	1.00	25	1600
239	1	1	1.00	1.00	26	1600
240	1	1	1.00	1.00	27	1600
241	1	1	1.00	1.00	28	1600
242	0	1	0.71	0.50	29	1600
243	0	1	0.71	0.50	30	1600
244	0	1	0.71	0.50	31	1600
245	0	0	0.00	0.00	32	1600
246	0	0	0.00	0.00	33	1600
247	3	2	2.55	2.50	15	1650
248	3	2	2.55	2.50	16	1650
249	3	2	2.55	2.50	17	1650
250	3	2	2.55	2.50	18	1650
251	3	2	2.55	2.50	19	1650
252	3	2	2.55	2.50	20	1650
253	2	1	1.58	1.50	21	1650
254	2	1	1.58	1.50	22	1650
255	2	1	1.58	1.50	23	1650
256	2	1	1.58	1.50	24	1650
257	1	1	1.00	1.00	25	1650
258	1	1	1.00	1.00	26	1650
259	1	1	1.00	1.00	27	1650
260	1	1	1.00	1.00	28	1650
261	0	1	0.71	0.50	29	1650
262	0	1	0.71	0.50	30	1650
263	0	1	0.71	0.50	31	1650
264	0	0	0.00	0.00	32	1650
265	0	0	0.00	0.00	33	1650
266	3	2	2.55	2.50	15	1700
267	3	2	2.55	2.50	16	1700
268	3	2	2.55	2.50	17	1700
269	3	2	2.55	2.50	18	1700
270	3	2	2.55	2.50	19	1700
271	3	2	2.55	2.50	20	1700
272	2	1	1.58	1.50	21	1700
273	2	1	1.58	1.50	22	1700
274	2	1	1.58	1.50	23	1700
275	2	1	1.58	1.50	24	1700
276	1	1	1.00	1.00	25	1700
277	1	1	1.00	1.00	26	1700
278	1	1	1.00	1.00	27	1700
279	1	1	1.00	1.00	28	1700
280	0	1	0.71	0.50	29	1700
281	0	1	0.71	0.50	30	1700
282	0	1	0.71	0.50	31	1700
283	0	0	0.00	0.00	32	1700
284	0	0	0.00	0.00	33	1700
285	3	2	2.55	2.50	15	1750
286	3	2	2.55	2.50	16	1750
287	3	2	2.55	2.50	17	1750
288	3	2	2.55	2.50	18	1750
289	3	2	2.55	2.50	19	1750
290	3	2	2.55	2.50	20	1750
291	2	1	1.58	1.50	21	1750
292	2	1	1.58	1.50	22	1750
293	2	1	1.58	1.50	23	1750
294	2	1	1.58	1.50	24	1750
295	1	1	1.00	1.00	25	1750
296	1	1	1.00	1.00	26	1750
297	1	1	1.00	1.00	27	1750
298	1	1	1.00	1.00	28	1750
299	0	1	0.71	0.50	29	1750
300	0	1	0.71	0.50	30	1750
301	0	1	0.71	0.50	31	1750
302	0	0	0.00	0.00	32	1750
303	0	0	0.00	0.00	33	1750
304	3	2	2.55	2.50	15	1800
305	3	2	2.55	2.50	16	1800
306	3	2	2.55	2.50	17	1800
307	3	2	2.55	2.50	18	1800
308	3	2	2.55	2.50	19	1800
309	3	2	2.55	2.50	20	1800
310	2	1	1.58	1.50	21	1800
311	2	1	1.58	1.50	22	1800
312	2	1	1.58	1.50	23	1800
313	2	1	1.58	1.50	24	1800
314	1	1	1.00	1.00	25	1800
315	1	1	1.00	1.00	26	1800
316	1	1	1.00	1.00	27	1800
317	1	1	1.00	1.00	28	1800
318	0	1	0.71	0.50	29	1800
319	0	1	0.71	0.50	30	1800
320	0	1	0.71	0.50	31	1800
321	0	0	0.00	0.00	32	1800
322	0	0	0.00	0.00	33	1800
323	3	2	2.55	2.50	15	1850
324	3	2	2.55	2.50	16	1850
325	3	2	2.55	2.50	17	1850
326	3	2	2.55	2.50	18	1850
327	3	2	2.55	2.50	19	1850
328	3	2	2.55	2.50	20	1850
329	2	1	1.58	1.50	21	1850
330	2	1	1.58	1.50	22	1850
331	2	1	1.58	1.50	23	1850
332	2	1	1.58	1.50	24	1850
333	1	1	1.00	1.00	25	1850
334	1	1	1.00	1.00	26	1850
335	1	1	1.00	1.00	27	1850
336	1	1	1.00	1.00	28	1850
337	0	1	0.71	0.50	29	1850
338	0	1	0.71	0.50	30	1850
339	0	1	0.71	0.50	31	1850
340	0	0	0.00	0.00	32	1850
341	0	0	0.00	0.00	33	1850
342	3	2	2.55	2.50	15	1900
343	3	2	2.55	2.50	16	1900
344	3	2	2.55	2.50	17	1900
345	3	2	2.55	2.50	18	1900
346	3	2	2.55	2.50	19	1900
347	3	2	2.55	2.50	20	1900
348	2	1	1.58	1.50	21	1900
349	2	1	1.58	1.50	22	1900
350	2	1	1.58	1.50	23	1900
351	2	1	1.58	1.50	24	1900
352	1	1	1.00	1.00	25	1900
353	1	1	1.00	1.00	26	1900
354	1	1	1.00	1.00	27	1900
355	1	1	1.00	1.00	28	1900
356	0	1	0.71	0.50	29	1900
357	0	1	0.71	0.50	30	1900
358	0	1	0.71	0.50	31	1900
359	0	0	0.00	0.00	32	1900
360	0	0	0.00	0.00	33	1900
