	REAL IN	IN	REAL OUT	OUT	RMSE	MAE	ACC. IN	ACC.OUT	span	delta
0	1	1	5	4	0.71	0.50	100.0	80.0	600	800
1	1	1	5	4	0.71	0.50	100.0	80.0	650	800
2	1	1	5	4	0.71	0.50	100.0	80.0	700	800
3	1	1	5	4	0.71	0.50	100.0	80.0	750	800
4	1	1	5	4	0.71	0.50	100.0	80.0	800	800
5	1	1	5	4	0.71	0.50	100.0	80.0	850	800
6	1	1	5	4	0.71	0.50	100.0	80.0	900	800
7	1	1	5	4	0.71	0.50	100.0	80.0	950	800
8	1	1	5	4	0.71	0.50	100.0	80.0	1000	800
9	1	1	5	4	0.71	0.50	100.0	80.0	600	850
10	1	1	5	4	0.71	0.50	100.0	80.0	650	850
11	1	1	5	4	0.71	0.50	100.0	80.0	700	850
12	1	1	5	4	0.71	0.50	100.0	80.0	750	850
13	1	1	5	4	0.71	0.50	100.0	80.0	800	850
14	1	1	5	4	0.71	0.50	100.0	80.0	850	850
15	1	1	5	4	0.71	0.50	100.0	80.0	900	850
16	1	1	5	4	0.71	0.50	100.0	80.0	950	850
17	1	1	5	4	0.71	0.50	100.0	80.0	1000	850
18	1	1	5	4	0.71	0.50	100.0	80.0	600	900
19	1	1	5	4	0.71	0.50	100.0	80.0	650	900
20	1	1	5	4	0.71	0.50	100.0	80.0	700	900
21	1	1	5	4	0.71	0.50	100.0	80.0	750	900
22	1	1	5	4	0.71	0.50	100.0	80.0	800	900
23	1	1	5	4	0.71	0.50	100.0	80.0	850	900
24	1	1	5	4	0.71	0.50	100.0	80.0	900	900
25	1	1	5	4	0.71	0.50	100.0	80.0	950	900
26	1	1	5	4	0.71	0.50	100.0	80.0	1000	900
27	1	1	5	4	0.71	0.50	100.0	80.0	600	950
28	1	1	5	4	0.71	0.50	100.0	80.0	650	950
29	1	1	5	4	0.71	0.50	100.0	80.0	700	950
30	1	1	5	4	0.71	0.50	100.0	80.0	750	950
31	1	1	5	4	0.71	0.50	100.0	80.0	800	950
32	1	1	5	4	0.71	0.50	100.0	80.0	850	950
33	1	1	5	4	0.71	0.50	100.0	80.0	900	950
34	1	1	5	4	0.71	0.50	100.0	80.0	950	950
35	1	1	5	4	0.71	0.50	100.0	80.0	1000	950
36	1	1	5	4	0.71	0.50	100.0	80.0	600	1000
37	1	1	5	4	0.71	0.50	100.0	80.0	650	1000
38	1	1	5	4	0.71	0.50	100.0	80.0	700	1000
39	1	1	5	4	0.71	0.50	100.0	80.0	750	1000
40	1	1	5	4	0.71	0.50	100.0	80.0	800	1000
41	1	1	5	4	0.71	0.50	100.0	80.0	850	1000
42	1	1	5	4	0.71	0.50	100.0	80.0	900	1000
43	1	1	5	4	0.71	0.50	100.0	80.0	950	1000
44	1	1	5	4	0.71	0.50	100.0	80.0	1000	1000
45	1	1	5	4	0.71	0.50	100.0	80.0	600	1050
46	1	1	5	4	0.71	0.50	100.0	80.0	650	1050
47	1	1	5	4	0.71	0.50	100.0	80.0	700	1050
48	1	1	5	4	0.71	0.50	100.0	80.0	750	1050
49	1	1	5	4	0.71	0.50	100.0	80.0	800	1050
50	1	1	5	4	0.71	0.50	100.0	80.0	850	1050
51	1	1	5	4	0.71	0.50	100.0	80.0	900	1050
52	1	1	5	4	0.71	0.50	100.0	80.0	950	1050
53	1	1	5	4	0.71	0.50	100.0	80.0	1000	1050
54	1	1	5	4	0.71	0.50	100.0	80.0	600	1100
55	1	1	5	4	0.71	0.50	100.0	80.0	650	1100
56	1	1	5	4	0.71	0.50	100.0	80.0	700	1100
57	1	1	5	4	0.71	0.50	100.0	80.0	750	1100
58	1	1	5	4	0.71	0.50	100.0	80.0	800	1100
59	1	1	5	4	0.71	0.50	100.0	80.0	850	1100
60	1	1	5	4	0.71	0.50	100.0	80.0	900	1100
61	1	1	5	4	0.71	0.50	100.0	80.0	950	1100
62	1	1	5	4	0.71	0.50	100.0	80.0	1000	1100
63	1	1	5	4	0.71	0.50	100.0	80.0	600	1150
64	1	1	5	4	0.71	0.50	100.0	80.0	650	1150
65	1	1	5	4	0.71	0.50	100.0	80.0	700	1150
66	1	1	5	4	0.71	0.50	100.0	80.0	750	1150
67	1	1	5	4	0.71	0.50	100.0	80.0	800	1150
68	1	1	5	4	0.71	0.50	100.0	80.0	850	1150
69	1	1	5	4	0.71	0.50	100.0	80.0	900	1150
70	1	1	5	4	0.71	0.50	100.0	80.0	950	1150
71	1	1	5	4	0.71	0.50	100.0	80.0	1000	1150
72	1	1	5	4	0.71	0.50	100.0	80.0	600	1200
73	1	1	5	4	0.71	0.50	100.0	80.0	650	1200
74	1	1	5	4	0.71	0.50	100.0	80.0	700	1200
75	1	1	5	4	0.71	0.50	100.0	80.0	750	1200
76	1	1	5	4	0.71	0.50	100.0	80.0	800	1200
77	1	1	5	4	0.71	0.50	100.0	80.0	850	1200
78	1	1	5	4	0.71	0.50	100.0	80.0	900	1200
79	1	1	5	4	0.71	0.50	100.0	80.0	950	1200
80	1	1	5	4	0.71	0.50	100.0	80.0	1000	1200
