	IN	OUT	RMSE	MAE	span	delta
0	2	1	1.41	1.00	600	1000
1	2	1	1.41	1.00	650	1000
2	2	1	1.41	1.00	700	1000
3	2	1	1.41	1.00	750	1000
4	2	1	1.41	1.00	800	1000
5	2	1	1.41	1.00	850	1000
6	2	1	1.41	1.00	900	1000
7	2	1	1.41	1.00	950	1000
8	2	1	1.41	1.00	1000	1000
9	2	1	1.41	1.00	1050	1000
10	2	1	1.41	1.00	1100	1000
11	2	1	1.41	1.00	1150	1000
12	2	1	1.41	1.00	1200	1000
13	2	1	1.41	1.00	600	1050
14	2	1	1.41	1.00	650	1050
15	2	1	1.41	1.00	700	1050
16	2	1	1.41	1.00	750	1050
17	2	1	1.41	1.00	800	1050
18	2	1	1.41	1.00	850	1050
19	2	1	1.41	1.00	900	1050
20	2	1	1.41	1.00	950	1050
21	2	1	1.41	1.00	1000	1050
22	2	1	1.41	1.00	1050	1050
23	2	1	1.41	1.00	1100	1050
24	2	1	1.41	1.00	1150	1050
25	2	1	1.41	1.00	1200	1050
26	2	1	1.41	1.00	600	1100
27	2	1	1.41	1.00	650	1100
28	2	1	1.41	1.00	700	1100
29	3	1	1.58	1.50	750	1100
30	3	1	1.58	1.50	800	1100
31	3	1	1.58	1.50	850	1100
32	3	1	1.58	1.50	900	1100
33	3	1	1.58	1.50	950	1100
34	3	1	1.58	1.50	1000	1100
35	3	1	1.58	1.50	1050	1100
36	3	1	1.58	1.50	1100	1100
37	3	1	1.58	1.50	1150	1100
38	3	1	1.58	1.50	1200	1100
39	2	1	1.41	1.00	600	1150
40	2	1	1.41	1.00	650	1150
41	2	1	1.41	1.00	700	1150
42	3	1	1.58	1.50	750	1150
43	3	1	1.58	1.50	800	1150
44	3	1	1.58	1.50	850	1150
45	3	1	1.58	1.50	900	1150
46	3	1	1.58	1.50	950	1150
47	3	1	1.58	1.50	1000	1150
48	3	1	1.58	1.50	1050	1150
49	3	1	1.58	1.50	1100	1150
50	3	1	1.58	1.50	1150	1150
51	3	1	1.58	1.50	1200	1150
52	2	1	1.41	1.00	600	1200
53	2	1	1.41	1.00	650	1200
54	2	1	1.41	1.00	700	1200
55	3	1	1.58	1.50	750	1200
56	3	1	1.58	1.50	800	1200
57	3	1	1.58	1.50	850	1200
58	3	1	1.58	1.50	900	1200
59	3	1	1.58	1.50	950	1200
60	3	1	1.58	1.50	1000	1200
61	3	1	1.58	1.50	1050	1200
62	3	1	1.58	1.50	1100	1200
