	IN	OUT	RMSE	MAE	enough_zero	delta
0	4	4	1.58	1.50	15	1000
1	4	4	1.58	1.50	16	1000
2	4	4	1.58	1.50	17	1000
3	4	4	1.58	1.50	18	1000
4	4	4	1.58	1.50	19	1000
5	1	4	1.00	1.00	20	1000
6	1	4	1.00	1.00	21	1000
7	1	3	0.71	0.50	22	1000
8	1	3	0.71	0.50	23	1000
9	1	3	0.71	0.50	24	1000
10	0	3	1.41	1.00	25	1000
11	0	3	1.41	1.00	26	1000
12	0	2	1.58	1.50	27	1000
13	0	2	1.58	1.50	28	1000
14	0	2	1.58	1.50	29	1000
15	0	1	2.00	2.00	30	1000
16	0	1	2.00	2.00	31	1000
17	0	1	2.00	2.00	32	1000
18	0	0	2.55	2.50	33	1000
19	4	4	1.58	1.50	15	1050
20	4	4	1.58	1.50	16	1050
21	4	4	1.58	1.50	17	1050
22	4	4	1.58	1.50	18	1050
23	4	4	1.58	1.50	19	1050
24	1	4	1.00	1.00	20	1050
25	1	4	1.00	1.00	21	1050
26	1	3	0.71	0.50	22	1050
27	1	3	0.71	0.50	23	1050
28	1	3	0.71	0.50	24	1050
29	0	3	1.41	1.00	25	1050
30	0	3	1.41	1.00	26	1050
31	0	2	1.58	1.50	27	1050
32	0	2	1.58	1.50	28	1050
33	0	2	1.58	1.50	29	1050
34	0	1	2.00	2.00	30	1050
35	0	1	2.00	2.00	31	1050
36	0	1	2.00	2.00	32	1050
37	0	0	2.55	2.50	33	1050
38	4	4	1.58	1.50	15	1100
39	4	4	1.58	1.50	16	1100
40	4	4	1.58	1.50	17	1100
41	4	4	1.58	1.50	18	1100
42	4	4	1.58	1.50	19	1100
43	1	4	1.00	1.00	20	1100
44	1	4	1.00	1.00	21	1100
45	1	3	0.71	0.50	22	1100
46	1	3	0.71	0.50	23	1100
47	1	3	0.71	0.50	24	1100
48	0	3	1.41	1.00	25	1100
49	0	3	1.41	1.00	26	1100
50	0	2	1.58	1.50	27	1100
51	0	2	1.58	1.50	28	1100
52	0	2	1.58	1.50	29	1100
53	0	1	2.00	2.00	30	1100
54	0	1	2.00	2.00	31	1100
55	0	1	2.00	2.00	32	1100
56	0	0	2.55	2.50	33	1100
