	IN	OUT	RMSE	MAE	ACC. IN	ACC.OUT	span	delta
89	3	3	6.67	6.50	37.5	27.272727272727266	1150	1100
90	3	3	6.67	6.50	37.5	27.272727272727266	1200	1100
91	3	3	6.67	6.50	37.5	27.272727272727266	600	1150
92	3	3	6.67	6.50	37.5	27.272727272727266	650	1150
93	3	3	6.67	6.50	37.5	27.272727272727266	700	1150
94	3	3	6.67	6.50	37.5	27.272727272727266	750	1150
95	3	3	6.67	6.50	37.5	27.272727272727266	800	1150
96	3	3	6.67	6.50	37.5	27.272727272727266	850	1150
97	3	3	6.67	6.50	37.5	27.272727272727266	900	1150
98	3	3	6.67	6.50	37.5	27.272727272727266	950	1150
99	3	3	6.67	6.50	37.5	27.272727272727266	1000	1150
100	3	3	6.67	6.50	37.5	27.272727272727266	1050	1150
101	3	3	6.67	6.50	37.5	27.272727272727266	1100	1150
102	3	3	6.67	6.50	37.5	27.272727272727266	1150	1150
103	3	3	6.67	6.50	37.5	27.272727272727266	1200	1150
104	3	3	6.67	6.50	37.5	27.272727272727266	600	1200
105	3	3	6.67	6.50	37.5	27.272727272727266	650	1200
106	3	3	6.67	6.50	37.5	27.272727272727266	700	1200
107	3	3	6.67	6.50	37.5	27.272727272727266	750	1200
108	3	3	6.67	6.50	37.5	27.272727272727266	800	1200
109	3	3	6.67	6.50	37.5	27.272727272727266	850	1200
110	3	3	6.67	6.50	37.5	27.272727272727266	900	1200
111	3	3	6.67	6.50	37.5	27.272727272727266	950	1200
112	3	3	6.67	6.50	37.5	27.272727272727266	1000	1200
113	3	3	6.67	6.50	37.5	27.272727272727266	1050	1200
114	3	3	6.67	6.50	37.5	27.272727272727266	1100	1200
115	3	3	6.67	6.50	37.5	27.272727272727266	1150	1200
116	3	3	6.67	6.50	37.5	27.272727272727266	1200	1200
117	3	3	6.67	6.50	37.5	27.272727272727266	600	1250
118	3	3	6.67	6.50	37.5	27.272727272727266	650	1250
119	3	3	6.67	6.50	37.5	27.272727272727266	700	1250
120	3	3	6.67	6.50	37.5	27.272727272727266	750	1250
121	3	4	6.08	6.00	37.5	36.36363636363637	800	1250
122	3	4	6.08	6.00	37.5	36.36363636363637	850	1250
123	3	4	6.08	6.00	37.5	36.36363636363637	900	1250
124	3	4	6.08	6.00	37.5	36.36363636363637	950	1250
125	3	4	6.08	6.00	37.5	36.36363636363637	1000	1250
126	3	4	6.08	6.00	37.5	36.36363636363637	1050	1250
127	3	4	6.08	6.00	37.5	36.36363636363637	1100	1250
128	3	4	6.08	6.00	37.5	36.36363636363637	1150	1250
129	3	4	6.08	6.00	37.5	36.36363636363637	1200	1250
130	3	3	6.67	6.50	37.5	27.272727272727266	600	1300
131	3	3	6.67	6.50	37.5	27.272727272727266	650	1300
132	3	3	6.67	6.50	37.5	27.272727272727266	700	1300
133	3	3	6.67	6.50	37.5	27.272727272727266	750	1300
134	3	4	6.08	6.00	37.5	36.36363636363637	800	1300
135	3	4	6.08	6.00	37.5	36.36363636363637	850	1300
136	3	4	6.08	6.00	37.5	36.36363636363637	900	1300
137	3	4	6.08	6.00	37.5	36.36363636363637	950	1300
138	3	4	6.08	6.00	37.5	36.36363636363637	1000	1300
139	3	4	6.08	6.00	37.5	36.36363636363637	1050	1300
140	3	4	6.08	6.00	37.5	36.36363636363637	1100	1300
141	3	4	6.08	6.00	37.5	36.36363636363637	1150	1300
142	3	4	6.08	6.00	37.5	36.36363636363637	1200	1300
143	3	3	6.67	6.50	37.5	27.272727272727266	600	1350
144	3	3	6.67	6.50	37.5	27.272727272727266	650	1350
145	3	3	6.67	6.50	37.5	27.272727272727266	700	1350
146	3	3	6.67	6.50	37.5	27.272727272727266	750	1350
147	3	4	6.08	6.00	37.5	36.36363636363637	800	1350
148	3	4	6.08	6.00	37.5	36.36363636363637	850	1350
149	3	4	6.08	6.00	37.5	36.36363636363637	900	1350
150	3	4	6.08	6.00	37.5	36.36363636363637	950	1350
151	3	4	6.08	6.00	37.5	36.36363636363637	1000	1350
152	3	4	6.08	6.00	37.5	36.36363636363637	1050	1350
153	3	4	6.08	6.00	37.5	36.36363636363637	1100	1350
154	3	4	6.08	6.00	37.5	36.36363636363637	1150	1350
155	3	4	6.08	6.00	37.5	36.36363636363637	1200	1350
156	3	3	6.67	6.50	37.5	27.272727272727266	600	1400
157	3	3	6.67	6.50	37.5	27.272727272727266	650	1400
158	3	3	6.67	6.50	37.5	27.272727272727266	700	1400
159	3	3	6.67	6.50	37.5	27.272727272727266	750	1400
160	3	4	6.08	6.00	37.5	36.36363636363637	800	1400
161	3	4	6.08	6.00	37.5	36.36363636363637	850	1400
162	3	4	6.08	6.00	37.5	36.36363636363637	900	1400
163	3	4	6.08	6.00	37.5	36.36363636363637	950	1400
164	3	4	6.08	6.00	37.5	36.36363636363637	1000	1400
165	3	4	6.08	6.00	37.5	36.36363636363637	1050	1400
166	3	4	6.08	6.00	37.5	36.36363636363637	1100	1400
167	3	4	6.08	6.00	37.5	36.36363636363637	1150	1400
168	3	4	6.08	6.00	37.5	36.36363636363637	1200	1400
169	3	3	6.67	6.50	37.5	27.272727272727266	600	1450
170	3	3	6.67	6.50	37.5	27.272727272727266	650	1450
171	3	3	6.67	6.50	37.5	27.272727272727266	700	1450
172	3	3	6.67	6.50	37.5	27.272727272727266	750	1450
173	3	4	6.08	6.00	37.5	36.36363636363637	800	1450
174	3	4	6.08	6.00	37.5	36.36363636363637	850	1450
175	3	4	6.08	6.00	37.5	36.36363636363637	900	1450
176	3	4	6.08	6.00	37.5	36.36363636363637	950	1450
177	3	4	6.08	6.00	37.5	36.36363636363637	1000	1450
178	3	4	6.08	6.00	37.5	36.36363636363637	1050	1450
179	3	4	6.08	6.00	37.5	36.36363636363637	1100	1450
180	3	4	6.08	6.00	37.5	36.36363636363637	1150	1450
181	3	4	6.08	6.00	37.5	36.36363636363637	1200	1450
182	3	3	6.67	6.50	37.5	27.272727272727266	600	1500
183	3	3	6.67	6.50	37.5	27.272727272727266	650	1500
184	3	3	6.67	6.50	37.5	27.272727272727266	700	1500
185	3	3	6.67	6.50	37.5	27.272727272727266	750	1500
186	3	4	6.08	6.00	37.5	36.36363636363637	800	1500
187	3	4	6.08	6.00	37.5	36.36363636363637	850	1500
188	3	4	6.08	6.00	37.5	36.36363636363637	900	1500
189	3	4	6.08	6.00	37.5	36.36363636363637	950	1500
190	3	4	6.08	6.00	37.5	36.36363636363637	1000	1500
191	3	4	6.08	6.00	37.5	36.36363636363637	1050	1500
192	3	4	6.08	6.00	37.5	36.36363636363637	1100	1500
193	3	4	6.08	6.00	37.5	36.36363636363637	1150	1500
194	3	4	6.08	6.00	37.5	36.36363636363637	1200	1500
195	3	3	6.67	6.50	37.5	27.272727272727266	600	1550
196	3	3	6.67	6.50	37.5	27.272727272727266	650	1550
197	3	3	6.67	6.50	37.5	27.272727272727266	700	1550
198	3	3	6.67	6.50	37.5	27.272727272727266	750	1550
199	3	4	6.08	6.00	37.5	36.36363636363637	800	1550
200	3	4	6.08	6.00	37.5	36.36363636363637	850	1550
201	3	4	6.08	6.00	37.5	36.36363636363637	900	1550
202	3	4	6.08	6.00	37.5	36.36363636363637	950	1550
203	3	4	6.08	6.00	37.5	36.36363636363637	1000	1550
204	3	4	6.08	6.00	37.5	36.36363636363637	1050	1550
205	3	4	6.08	6.00	37.5	36.36363636363637	1100	1550
206	3	4	6.08	6.00	37.5	36.36363636363637	1150	1550
207	3	4	6.08	6.00	37.5	36.36363636363637	1200	1550
208	3	3	6.67	6.50	37.5	27.272727272727266	600	1600
209	3	3	6.67	6.50	37.5	27.272727272727266	650	1600
210	3	3	6.67	6.50	37.5	27.272727272727266	700	1600
211	3	3	6.67	6.50	37.5	27.272727272727266	750	1600
212	3	4	6.08	6.00	37.5	36.36363636363637	800	1600
213	3	4	6.08	6.00	37.5	36.36363636363637	850	1600
214	3	4	6.08	6.00	37.5	36.36363636363637	900	1600
215	3	4	6.08	6.00	37.5	36.36363636363637	950	1600
216	3	4	6.08	6.00	37.5	36.36363636363637	1000	1600
217	3	4	6.08	6.00	37.5	36.36363636363637	1050	1600
218	3	4	6.08	6.00	37.5	36.36363636363637	1100	1600
219	3	4	6.08	6.00	37.5	36.36363636363637	1150	1600
220	3	4	6.08	6.00	37.5	36.36363636363637	1200	1600
221	4	3	6.32	6.00	50.0	27.272727272727266	600	1650
222	4	3	6.32	6.00	50.0	27.272727272727266	650	1650
223	4	3	6.32	6.00	50.0	27.272727272727266	700	1650
224	4	4	5.70	5.50	50.0	36.36363636363637	750	1650
225	4	5	5.10	5.00	50.0	45.45454545454546	800	1650
226	4	5	5.10	5.00	50.0	45.45454545454546	850	1650
227	4	5	5.10	5.00	50.0	45.45454545454546	900	1650
228	4	5	5.10	5.00	50.0	45.45454545454546	950	1650
229	4	5	5.10	5.00	50.0	45.45454545454546	1000	1650
230	4	5	5.10	5.00	50.0	45.45454545454546	1050	1650
231	4	5	5.10	5.00	50.0	45.45454545454546	1100	1650
232	4	5	5.10	5.00	50.0	45.45454545454546	1150	1650
233	4	5	5.10	5.00	50.0	45.45454545454546	1200	1650
234	4	3	6.32	6.00	50.0	27.272727272727266	600	1700
235	4	3	6.32	6.00	50.0	27.272727272727266	650	1700
236	4	4	5.70	5.50	50.0	36.36363636363637	700	1700
237	4	4	5.70	5.50	50.0	36.36363636363637	750	1700
238	4	5	5.10	5.00	50.0	45.45454545454546	800	1700
239	4	5	5.10	5.00	50.0	45.45454545454546	850	1700
240	4	5	5.10	5.00	50.0	45.45454545454546	900	1700
241	4	5	5.10	5.00	50.0	45.45454545454546	950	1700
242	4	5	5.10	5.00	50.0	45.45454545454546	1000	1700
243	4	5	5.10	5.00	50.0	45.45454545454546	1050	1700
244	4	5	5.10	5.00	50.0	45.45454545454546	1100	1700
245	4	5	5.10	5.00	50.0	45.45454545454546	1150	1700
246	4	5	5.10	5.00	50.0	45.45454545454546	1200	1700
247	4	3	6.32	6.00	50.0	27.272727272727266	600	1750
248	4	3	6.32	6.00	50.0	27.272727272727266	650	1750
249	4	4	5.70	5.50	50.0	36.36363636363637	700	1750
250	4	4	5.70	5.50	50.0	36.36363636363637	750	1750
251	4	5	5.10	5.00	50.0	45.45454545454546	800	1750
252	4	5	5.10	5.00	50.0	45.45454545454546	850	1750
253	4	5	5.10	5.00	50.0	45.45454545454546	900	1750
254	4	5	5.10	5.00	50.0	45.45454545454546	950	1750
255	4	5	5.10	5.00	50.0	45.45454545454546	1000	1750
256	4	5	5.10	5.00	50.0	45.45454545454546	1050	1750
257	4	5	5.10	5.00	50.0	45.45454545454546	1100	1750
258	4	5	5.10	5.00	50.0	45.45454545454546	1150	1750
259	4	5	5.10	5.00	50.0	45.45454545454546	1200	1750
