	IN	OUT	RMSE	MAE	ACC. IN	ACC.OUT	enough_zero	delta
101	7	13	1.58	1.50	87.5	81.81818181818181	20	1450
102	5	10	2.24	2.00	62.5	90.9090909090909	21	1450
103	5	10	2.24	2.00	62.5	90.9090909090909	22	1450
104	5	10	2.24	2.00	62.5	90.9090909090909	23	1450
105	5	10	2.24	2.00	62.5	90.9090909090909	24	1450
106	4	9	3.16	3.00	50.0	81.81818181818181	25	1450
107	3	8	4.12	4.00	37.5	72.72727272727273	26	1450
108	3	7	4.53	4.50	37.5	63.63636363636363	27	1450
109	3	7	4.53	4.50	37.5	63.63636363636363	28	1450
110	11	14	3.00	3.00	62.5	72.72727272727273	18	1500
111	10	13	2.00	2.00	75.0	81.81818181818181	19	1500
112	7	13	1.58	1.50	87.5	81.81818181818181	20	1500
113	5	10	2.24	2.00	62.5	90.9090909090909	21	1500
114	5	10	2.24	2.00	62.5	90.9090909090909	22	1500
115	5	10	2.24	2.00	62.5	90.9090909090909	23	1500
116	5	10	2.24	2.00	62.5	90.9090909090909	24	1500
117	4	9	3.16	3.00	50.0	81.81818181818181	25	1500
118	3	8	4.12	4.00	37.5	72.72727272727273	26	1500
119	3	7	4.53	4.50	37.5	63.63636363636363	27	1500
120	3	7	4.53	4.50	37.5	63.63636363636363	28	1500
121	11	14	3.00	3.00	62.5	72.72727272727273	18	1550
122	10	13	2.00	2.00	75.0	81.81818181818181	19	1550
123	7	13	1.58	1.50	87.5	81.81818181818181	20	1550
124	5	10	2.24	2.00	62.5	90.9090909090909	21	1550
125	5	10	2.24	2.00	62.5	90.9090909090909	22	1550
126	5	10	2.24	2.00	62.5	90.9090909090909	23	1550
127	5	10	2.24	2.00	62.5	90.9090909090909	24	1550
128	4	9	3.16	3.00	50.0	81.81818181818181	25	1550
129	3	8	4.12	4.00	37.5	72.72727272727273	26	1550
130	3	7	4.53	4.50	37.5	63.63636363636363	27	1550
131	3	7	4.53	4.50	37.5	63.63636363636363	28	1550
132	11	14	3.00	3.00	62.5	72.72727272727273	18	1600
133	10	13	2.00	2.00	75.0	81.81818181818181	19	1600
134	7	13	1.58	1.50	87.5	81.81818181818181	20	1600
135	5	10	2.24	2.00	62.5	90.9090909090909	21	1600
136	5	10	2.24	2.00	62.5	90.9090909090909	22	1600
137	5	10	2.24	2.00	62.5	90.9090909090909	23	1600
138	5	10	2.24	2.00	62.5	90.9090909090909	24	1600
139	4	9	3.16	3.00	50.0	81.81818181818181	25	1600
140	3	8	4.12	4.00	37.5	72.72727272727273	26	1600
141	3	7	4.53	4.50	37.5	63.63636363636363	27	1600
142	3	7	4.53	4.50	37.5	63.63636363636363	28	1600
143	11	14	3.00	3.00	62.5	72.72727272727273	18	1650
144	10	13	2.00	2.00	75.0	81.81818181818181	19	1650
145	7	13	1.58	1.50	87.5	81.81818181818181	20	1650
146	5	10	2.24	2.00	62.5	90.9090909090909	21	1650
147	5	10	2.24	2.00	62.5	90.9090909090909	22	1650
148	5	10	2.24	2.00	62.5	90.9090909090909	23	1650
149	5	10	2.24	2.00	62.5	90.9090909090909	24	1650
150	4	9	3.16	3.00	50.0	81.81818181818181	25	1650
151	3	8	4.12	4.00	37.5	72.72727272727273	26	1650
152	3	7	4.53	4.50	37.5	63.63636363636363	27	1650
153	3	7	4.53	4.50	37.5	63.63636363636363	28	1650
154	11	14	3.00	3.00	62.5	72.72727272727273	18	1700
155	10	13	2.00	2.00	75.0	81.81818181818181	19	1700
156	7	13	1.58	1.50	87.5	81.81818181818181	20	1700
157	5	10	2.24	2.00	62.5	90.9090909090909	21	1700
158	5	10	2.24	2.00	62.5	90.9090909090909	22	1700
159	5	10	2.24	2.00	62.5	90.9090909090909	23	1700
160	5	10	2.24	2.00	62.5	90.9090909090909	24	1700
161	4	9	3.16	3.00	50.0	81.81818181818181	25	1700
162	3	8	4.12	4.00	37.5	72.72727272727273	26	1700
163	3	7	4.53	4.50	37.5	63.63636363636363	27	1700
164	3	7	4.53	4.50	37.5	63.63636363636363	28	1700
165	11	14	3.00	3.00	62.5	72.72727272727273	18	1750
166	10	13	2.00	2.00	75.0	81.81818181818181	19	1750
167	7	13	1.58	1.50	87.5	81.81818181818181	20	1750
168	5	10	2.24	2.00	62.5	90.9090909090909	21	1750
169	5	10	2.24	2.00	62.5	90.9090909090909	22	1750
170	5	10	2.24	2.00	62.5	90.9090909090909	23	1750
171	5	10	2.24	2.00	62.5	90.9090909090909	24	1750
172	4	9	3.16	3.00	50.0	81.81818181818181	25	1750
173	3	8	4.12	4.00	37.5	72.72727272727273	26	1750
174	3	7	4.53	4.50	37.5	63.63636363636363	27	1750
175	3	7	4.53	4.50	37.5	63.63636363636363	28	1750
176	11	14	3.00	3.00	62.5	72.72727272727273	18	1800
177	10	13	2.00	2.00	75.0	81.81818181818181	19	1800
178	7	13	1.58	1.50	87.5	81.81818181818181	20	1800
179	5	10	2.24	2.00	62.5	90.9090909090909	21	1800
180	5	10	2.24	2.00	62.5	90.9090909090909	22	1800
181	5	10	2.24	2.00	62.5	90.9090909090909	23	1800
182	5	10	2.24	2.00	62.5	90.9090909090909	24	1800
183	4	9	3.16	3.00	50.0	81.81818181818181	25	1800
184	3	8	4.12	4.00	37.5	72.72727272727273	26	1800
185	3	7	4.53	4.50	37.5	63.63636363636363	27	1800
186	3	7	4.53	4.50	37.5	63.63636363636363	28	1800
187	11	14	3.00	3.00	62.5	72.72727272727273	18	1850
188	10	13	2.00	2.00	75.0	81.81818181818181	19	1850
189	7	13	1.58	1.50	87.5	81.81818181818181	20	1850
190	5	10	2.24	2.00	62.5	90.9090909090909	21	1850
191	5	10	2.24	2.00	62.5	90.9090909090909	22	1850
192	5	10	2.24	2.00	62.5	90.9090909090909	23	1850
193	5	10	2.24	2.00	62.5	90.9090909090909	24	1850
194	4	9	3.16	3.00	50.0	81.81818181818181	25	1850
195	3	8	4.12	4.00	37.5	72.72727272727273	26	1850
196	3	7	4.53	4.50	37.5	63.63636363636363	27	1850
197	3	7	4.53	4.50	37.5	63.63636363636363	28	1850
198	11	14	3.00	3.00	62.5	72.72727272727273	18	1900
199	10	13	2.00	2.00	75.0	81.81818181818181	19	1900
200	7	13	1.58	1.50	87.5	81.81818181818181	20	1900
201	5	10	2.24	2.00	62.5	90.9090909090909	21	1900
202	5	10	2.24	2.00	62.5	90.9090909090909	22	1900
203	5	10	2.24	2.00	62.5	90.9090909090909	23	1900
204	5	10	2.24	2.00	62.5	90.9090909090909	24	1900
205	4	9	3.16	3.00	50.0	81.81818181818181	25	1900
206	3	8	4.12	4.00	37.5	72.72727272727273	26	1900
207	3	7	4.53	4.50	37.5	63.63636363636363	27	1900
208	3	7	4.53	4.50	37.5	63.63636363636363	28	1900
