	IN	OUT	RMSE	MAE	ACC. IN	ACC.OUT	span	delta
117	6	4	4.47	4.00	75.0	40.0	600	1250
118	7	4	4.30	3.50	87.5	40.0	650	1250
119	7	4	4.30	3.50	87.5	40.0	700	1250
120	7	4	4.30	3.50	87.5	40.0	750	1250
121	7	4	4.30	3.50	87.5	40.0	800	1250
122	7	4	4.30	3.50	87.5	40.0	850	1250
123	7	4	4.30	3.50	87.5	40.0	900	1250
124	7	4	4.30	3.50	87.5	40.0	950	1250
125	7	4	4.30	3.50	87.5	40.0	1000	1250
126	7	4	4.30	3.50	87.5	40.0	1050	1250
127	7	4	4.30	3.50	87.5	40.0	1100	1250
128	8	4	4.24	3.00	100.0	40.0	1150	1250
129	8	4	4.24	3.00	100.0	40.0	1200	1250
130	6	4	4.47	4.00	75.0	40.0	600	1300
131	7	4	4.30	3.50	87.5	40.0	650	1300
132	7	4	4.30	3.50	87.5	40.0	700	1300
133	7	4	4.30	3.50	87.5	40.0	750	1300
134	7	4	4.30	3.50	87.5	40.0	800	1300
135	7	4	4.30	3.50	87.5	40.0	850	1300
136	7	4	4.30	3.50	87.5	40.0	900	1300
137	7	4	4.30	3.50	87.5	40.0	950	1300
138	7	4	4.30	3.50	87.5	40.0	1000	1300
139	7	4	4.30	3.50	87.5	40.0	1050	1300
140	7	4	4.30	3.50	87.5	40.0	1100	1300
141	8	4	4.24	3.00	100.0	40.0	1150	1300
142	8	4	4.24	3.00	100.0	40.0	1200	1300
143	6	4	4.47	4.00	75.0	40.0	600	1350
144	7	4	4.30	3.50	87.5	40.0	650	1350
145	7	4	4.30	3.50	87.5	40.0	700	1350
146	7	4	4.30	3.50	87.5	40.0	750	1350
147	7	4	4.30	3.50	87.5	40.0	800	1350
148	7	4	4.30	3.50	87.5	40.0	850	1350
149	7	4	4.30	3.50	87.5	40.0	900	1350
150	7	4	4.30	3.50	87.5	40.0	950	1350
151	7	4	4.30	3.50	87.5	40.0	1000	1350
152	7	4	4.30	3.50	87.5	40.0	1050	1350
153	7	4	4.30	3.50	87.5	40.0	1100	1350
154	8	4	4.24	3.00	100.0	40.0	1150	1350
155	8	4	4.24	3.00	100.0	40.0	1200	1350
156	6	4	4.47	4.00	75.0	40.0	600	1400
157	7	4	4.30	3.50	87.5	40.0	650	1400
158	7	4	4.30	3.50	87.5	40.0	700	1400
159	7	4	4.30	3.50	87.5	40.0	750	1400
160	7	4	4.30	3.50	87.5	40.0	800	1400
161	7	4	4.30	3.50	87.5	40.0	850	1400
162	7	4	4.30	3.50	87.5	40.0	900	1400
163	7	4	4.30	3.50	87.5	40.0	950	1400
164	7	4	4.30	3.50	87.5	40.0	1000	1400
165	7	4	4.30	3.50	87.5	40.0	1050	1400
166	7	4	4.30	3.50	87.5	40.0	1100	1400
167	8	4	4.24	3.00	100.0	40.0	1150	1400
168	8	4	4.24	3.00	100.0	40.0	1200	1400
169	7	4	4.30	3.50	87.5	40.0	600	1450
170	8	4	4.24	3.00	100.0	40.0	650	1450
171	8	4	4.24	3.00	100.0	40.0	700	1450
172	8	5	3.54	2.50	100.0	50.0	750	1450
173	8	5	3.54	2.50	100.0	50.0	800	1450
174	8	5	3.54	2.50	100.0	50.0	850	1450
175	8	5	3.54	2.50	100.0	50.0	900	1450
176	8	5	3.54	2.50	100.0	50.0	950	1450
177	8	5	3.54	2.50	100.0	50.0	1000	1450
178	8	5	3.54	2.50	100.0	50.0	1050	1450
179	8	5	3.54	2.50	100.0	50.0	1100	1450
