	IN	OUT	RMSE	MAE	ACC. IN	ACC.OUT	enough_zero	delta
93	6	10	5.00	4.00	46.15384615384615	90.9090909090909	23	1400
94	6	7	5.70	5.50	46.15384615384615	63.63636363636363	24	1400
95	5	5	7.07	7.00	38.46153846153846	45.45454545454546	25	1400
96	5	3	8.00	8.00	38.46153846153846	27.272727272727266	26	1400
97	5	3	8.00	8.00	38.46153846153846	27.272727272727266	27	1400
98	5	3	8.00	8.00	38.46153846153846	27.272727272727266	28	1400
99	13	12	0.71	0.50	100.0	90.9090909090909	18	1450
100	13	12	0.71	0.50	100.0	90.9090909090909	19	1450
101	10	11	2.12	1.50	76.92307692307692	100.0	20	1450
102	9	10	2.92	2.50	69.23076923076923	90.9090909090909	21	1450
103	6	10	5.00	4.00	46.15384615384615	90.9090909090909	22	1450
104	6	10	5.00	4.00	46.15384615384615	90.9090909090909	23	1450
105	6	7	5.70	5.50	46.15384615384615	63.63636363636363	24	1450
106	5	5	7.07	7.00	38.46153846153846	45.45454545454546	25	1450
107	5	3	8.00	8.00	38.46153846153846	27.272727272727266	26	1450
108	5	3	8.00	8.00	38.46153846153846	27.272727272727266	27	1450
109	5	3	8.00	8.00	38.46153846153846	27.272727272727266	28	1450
110	13	12	0.71	0.50	100.0	90.9090909090909	18	1500
111	13	12	0.71	0.50	100.0	90.9090909090909	19	1500
112	10	11	2.12	1.50	76.92307692307692	100.0	20	1500
113	9	10	2.92	2.50	69.23076923076923	90.9090909090909	21	1500
114	6	10	5.00	4.00	46.15384615384615	90.9090909090909	22	1500
115	6	10	5.00	4.00	46.15384615384615	90.9090909090909	23	1500
116	6	7	5.70	5.50	46.15384615384615	63.63636363636363	24	1500
117	5	5	7.07	7.00	38.46153846153846	45.45454545454546	25	1500
118	5	3	8.00	8.00	38.46153846153846	27.272727272727266	26	1500
119	5	3	8.00	8.00	38.46153846153846	27.272727272727266	27	1500
120	5	3	8.00	8.00	38.46153846153846	27.272727272727266	28	1500
121	13	12	0.71	0.50	100.0	90.9090909090909	18	1550
122	13	12	0.71	0.50	100.0	90.9090909090909	19	1550
123	10	11	2.12	1.50	76.92307692307692	100.0	20	1550
124	9	10	2.92	2.50	69.23076923076923	90.9090909090909	21	1550
125	6	10	5.00	4.00	46.15384615384615	90.9090909090909	22	1550
126	6	10	5.00	4.00	46.15384615384615	90.9090909090909	23	1550
127	6	7	5.70	5.50	46.15384615384615	63.63636363636363	24	1550
128	5	5	7.07	7.00	38.46153846153846	45.45454545454546	25	1550
129	5	3	8.00	8.00	38.46153846153846	27.272727272727266	26	1550
130	5	3	8.00	8.00	38.46153846153846	27.272727272727266	27	1550
131	5	3	8.00	8.00	38.46153846153846	27.272727272727266	28	1550
132	13	12	0.71	0.50	100.0	90.9090909090909	18	1600
133	13	12	0.71	0.50	100.0	90.9090909090909	19	1600
134	10	11	2.12	1.50	76.92307692307692	100.0	20	1600
135	9	10	2.92	2.50	69.23076923076923	90.9090909090909	21	1600
136	6	10	5.00	4.00	46.15384615384615	90.9090909090909	22	1600
137	6	10	5.00	4.00	46.15384615384615	90.9090909090909	23	1600
138	6	7	5.70	5.50	46.15384615384615	63.63636363636363	24	1600
139	5	5	7.07	7.00	38.46153846153846	45.45454545454546	25	1600
140	5	3	8.00	8.00	38.46153846153846	27.272727272727266	26	1600
141	5	3	8.00	8.00	38.46153846153846	27.272727272727266	27	1600
142	5	3	8.00	8.00	38.46153846153846	27.272727272727266	28	1600
143	13	12	0.71	0.50	100.0	90.9090909090909	18	1650
144	13	12	0.71	0.50	100.0	90.9090909090909	19	1650
145	10	11	2.12	1.50	76.92307692307692	100.0	20	1650
146	9	10	2.92	2.50	69.23076923076923	90.9090909090909	21	1650
147	6	10	5.00	4.00	46.15384615384615	90.9090909090909	22	1650
148	6	10	5.00	4.00	46.15384615384615	90.9090909090909	23	1650
149	6	7	5.70	5.50	46.15384615384615	63.63636363636363	24	1650
