6;3;6;3;3.00;3.00;50.0;50.0;800;900
6;3;6;3;3.00;3.00;50.0;50.0;850;900
6;3;6;3;3.00;3.00;50.0;50.0;900;900
6;3;6;3;3.00;3.00;50.0;50.0;950;900
6;3;6;3;3.00;3.00;50.0;50.0;1000;900
6;3;6;3;3.00;3.00;50.0;50.0;800;950
6;3;6;3;3.00;3.00;50.0;50.0;850;950
6;3;6;3;3.00;3.00;50.0;50.0;900;950
6;3;6;3;3.00;3.00;50.0;50.0;950;950
6;3;6;3;3.00;3.00;50.0;50.0;1000;950
6;3;6;3;3.00;3.00;50.0;50.0;800;1000
6;3;6;3;3.00;3.00;50.0;50.0;850;1000
6;3;6;3;3.00;3.00;50.0;50.0;900;1000
6;3;6;3;3.00;3.00;50.0;50.0;950;1000
6;3;6;3;3.00;3.00;50.0;50.0;1000;1000
6;3;6;3;3.00;3.00;50.0;50.0;800;1050
6;3;6;3;3.00;3.00;50.0;50.0;850;1050
6;3;6;3;3.00;3.00;50.0;50.0;900;1050
6;3;6;3;3.00;3.00;50.0;50.0;950;1050
6;3;6;3;3.00;3.00;50.0;50.0;1000;1050
6;3;6;3;3.00;3.00;50.0;50.0;800;1100
6;3;6;3;3.00;3.00;50.0;50.0;850;1100
6;3;6;3;3.00;3.00;50.0;50.0;900;1100
6;3;6;3;3.00;3.00;50.0;50.0;950;1100
6;3;6;3;3.00;3.00;50.0;50.0;1000;1100
