	REAL IN	IN	REAL OUT	OUT	RMSE	MAE	ACC. IN	ACC.OUT	enough_zero	delta
0	4	5	3	2	1.00	1.00	75.0	66.66666666666667	3	800
1	4	3	3	1	1.58	1.50	75.0	33.33333333333334	4	800
2	4	3	3	0	2.24	2.00	75.0	0.0	5	800
3	4	2	3	1	2.00	2.00	50.0	33.33333333333334	6	800
4	4	1	3	2	2.24	2.00	25.0	66.66666666666667	7	800
5	4	5	3	2	1.00	1.00	75.0	66.66666666666667	3	850
6	4	3	3	1	1.58	1.50	75.0	33.33333333333334	4	850
7	4	3	3	0	2.24	2.00	75.0	0.0	5	850
8	4	2	3	1	2.00	2.00	50.0	33.33333333333334	6	850
9	4	1	3	2	2.24	2.00	25.0	66.66666666666667	7	850
10	4	5	3	2	1.00	1.00	75.0	66.66666666666667	3	900
11	4	3	3	1	1.58	1.50	75.0	33.33333333333334	4	900
12	4	3	3	0	2.24	2.00	75.0	0.0	5	900
13	4	2	3	1	2.00	2.00	50.0	33.33333333333334	6	900
14	4	1	3	2	2.24	2.00	25.0	66.66666666666667	7	900
15	4	5	3	2	1.00	1.00	75.0	66.66666666666667	3	950
16	4	3	3	1	1.58	1.50	75.0	33.33333333333334	4	950
17	4	3	3	0	2.24	2.00	75.0	0.0	5	950
18	4	2	3	1	2.00	2.00	50.0	33.33333333333334	6	950
19	4	1	3	2	2.24	2.00	25.0	66.66666666666667	7	950
20	4	5	3	2	1.00	1.00	75.0	66.66666666666667	3	1000
21	4	3	3	1	1.58	1.50	75.0	33.33333333333334	4	1000
22	4	3	3	0	2.24	2.00	75.0	0.0	5	1000
23	4	2	3	1	2.00	2.00	50.0	33.33333333333334	6	1000
24	4	1	3	2	2.24	2.00	25.0	66.66666666666667	7	1000
25	4	5	3	2	1.00	1.00	75.0	66.66666666666667	3	1050
26	4	3	3	1	1.58	1.50	75.0	33.33333333333334	4	1050
27	4	3	3	0	2.24	2.00	75.0	0.0	5	1050
28	4	2	3	1	2.00	2.00	50.0	33.33333333333334	6	1050
29	4	1	3	2	2.24	2.00	25.0	66.66666666666667	7	1050
30	4	5	3	2	1.00	1.00	75.0	66.66666666666667	3	1100
31	4	3	3	1	1.58	1.50	75.0	33.33333333333334	4	1100
32	4	3	3	0	2.24	2.00	75.0	0.0	5	1100
33	4	2	3	1	2.00	2.00	50.0	33.33333333333334	6	1100
34	4	1	3	2	2.24	2.00	25.0	66.66666666666667	7	1100
35	4	6	3	2	1.58	1.50	50.0	66.66666666666667	3	1150
36	4	4	3	1	1.41	1.00	100.0	33.33333333333334	4	1150
37	4	4	3	0	2.12	1.50	100.0	0.0	5	1150
38	4	2	3	1	2.00	2.00	50.0	33.33333333333334	6	1150
39	4	1	3	2	2.24	2.00	25.0	66.66666666666667	7	1150
