26;20;6.52;5.50;15;1400
26;19;6.40;5.00;16;1400
26;19;6.40;5.00;17;1400
26;19;6.40;5.00;18;1400
26;18;6.36;4.50;19;1400
22;17;3.61;3.00;20;1400
17;16;1.41;1.00;21;1400
17;16;1.41;1.00;22;1400
17;16;1.41;1.00;23;1400
17;16;1.41;1.00;24;1400
16;14;2.92;2.50;25;1400
26;20;6.52;5.50;15;1450
26;19;6.40;5.00;16;1450
26;19;6.40;5.00;17;1450
26;19;6.40;5.00;18;1450
26;18;6.36;4.50;19;1450
22;17;3.61;3.00;20;1450
17;16;1.41;1.00;21;1450
17;16;1.41;1.00;22;1450
17;16;1.41;1.00;23;1450
17;16;1.41;1.00;24;1450
16;14;2.92;2.50;25;1450
26;20;6.52;5.50;15;1500
26;19;6.40;5.00;16;1500
26;19;6.40;5.00;17;1500
26;19;6.40;5.00;18;1500
26;18;6.36;4.50;19;1500
22;17;3.61;3.00;20;1500
17;16;1.41;1.00;21;1500
17;16;1.41;1.00;22;1500
17;16;1.41;1.00;23;1500
17;16;1.41;1.00;24;1500
16;14;2.92;2.50;25;1500
26;20;6.52;5.50;15;1550
26;19;6.40;5.00;16;1550
26;19;6.40;5.00;17;1550
26;19;6.40;5.00;18;1550
26;18;6.36;4.50;19;1550
22;17;3.61;3.00;20;1550
17;16;1.41;1.00;21;1550
17;16;1.41;1.00;22;1550
17;16;1.41;1.00;23;1550
17;16;1.41;1.00;24;1550
16;14;2.92;2.50;25;1550
26;20;6.52;5.50;15;1600
26;19;6.40;5.00;16;1600
26;19;6.40;5.00;17;1600
26;19;6.40;5.00;18;1600
26;18;6.36;4.50;19;1600
22;17;3.61;3.00;20;1600
17;16;1.41;1.00;21;1600
17;16;1.41;1.00;22;1600
17;16;1.41;1.00;23;1600
17;16;1.41;1.00;24;1600
16;14;2.92;2.50;25;1600
26;20;6.52;5.50;15;1650
26;19;6.40;5.00;16;1650
26;19;6.40;5.00;17;1650
26;19;6.40;5.00;18;1650
26;18;6.36;4.50;19;1650
22;17;3.61;3.00;20;1650
17;16;1.41;1.00;21;1650
17;16;1.41;1.00;22;1650
17;16;1.41;1.00;23;1650
17;16;1.41;1.00;24;1650
16;14;2.92;2.50;25;1650
26;20;6.52;5.50;15;1700
26;19;6.40;5.00;16;1700
26;19;6.40;5.00;17;1700
26;19;6.40;5.00;18;1700
26;18;6.36;4.50;19;1700
22;17;3.61;3.00;20;1700
17;16;1.41;1.00;21;1700
17;16;1.41;1.00;22;1700
17;16;1.41;1.00;23;1700
17;16;1.41;1.00;24;1700
16;14;2.92;2.50;25;1700
26;20;6.52;5.50;15;1750
26;19;6.40;5.00;16;1750
