"	TIME	REAL IN	IN	REAL OUT	OUT	RMSE	MAE	ACC. IN	ACC.OUT"
"0	09_55	1	2	1	0	1.00	1.00	0.0	0.0"
['10_0', 3, 3, 1, 1, '0.00', '0.00', 100.0, 100.0]
['10_5', 0, 0, 1, 1, '0.00', '0.00', 'NaN', 'NaN']
['10_10', 1, 1, 0, 0, '0.00', '0.00', 'NaN', 'NaN']
['10_15', 1, 1, 0, 0, '0.00', '0.00', 'NaN', 'NaN']
['10_20', 1, 1, 1, 1, '0.00', '0.00', 100.0, 100.0]
['10_25', 3, 4, 3, 2, '1.00', '1.00', 66.66666666666667, 66.66666666666667]
['10_30', 0, 0, 1, 1, '0.00', '0.00', 'NaN', 'NaN']
['10_35', 1, 3, 2, 1, '1.58', '1.50', -100.0, 50.0]
['10_40', 5, 3, 5, 5, '1.41', '1.00', 60.0, 100.0]['10_40', 5, 4, 5, 5, '0.71', '0.50', 80.0, 100.0]
['10_45', 3, 4, 4, 3, '1.00', '1.00', 66.66666666666667, 75.0]
['10_50', 0, 0, 0, 1, '0.71', '0.50', 'NaN', 'NaN']
['10_55', 2, 1, 1, 1, '0.71', '0.50', 50.0, 100.0]
['11_1', 0, 0, 1, 1, '0.00', '0.00', 'NaN', 'NaN']
['11_16', 4, 0, 3, 6, '3.54', '3.50', 0.0, 0.0]
['11_21', 2, 0, 4, 5, '1.58', '1.50', 0.0, 75.0]
['11_26', 0, 0, 1, 1, '0.00', '0.00', 'NaN', 'NaN']
['11_31', 2, 0, 2, 3, '1.58', '1.50', 0.0, 50.0]
['11_36', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']
['11_41', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']
['11_46', 1, 4, 3, 0, '3.00', '3.00', -200.0, 0.0]
['11_51', 1, 1, 1, 1, '0.00', '0.00', 100.0, 100.0]
['11_56', 2, 2, 0, 0, '0.00', '0.00', 'NaN', 'NaN']
['12_1', 2, 2, 1, 0, '0.71', '0.50', 100.0, 0.0]
['12_6', 0, 0, 1, 2, '0.71', '0.50', 'NaN', 'NaN']
['12_11', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']
['12_16', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']
['12_21', 0, 1, 1, 0, '1.00', '1.00', 'NaN', 'NaN']
['12_26', 1, 2, 1, 1, '0.71', '0.50', 0.0, 100.0]
['12_31', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']
['12_36', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']
['12_41', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']
['12_46', 0, 0, 2, 2, '0.00', '0.00', 'NaN', 'NaN']
['12_51', 1, 1, 4, 4, '0.00', '0.00', 100.0, 100.0]
['12_56', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']
