	REAL IN	IN	REAL OUT	OUT	RMSE	MAE	ACC. IN	ACC.OUT	span	delta
0	5	2	5	4	2.24	2.00	40.0	80.0	950	950
1	5	2	5	4	2.24	2.00	40.0	80.0	1000	950
2	5	2	5	4	2.24	2.00	40.0	80.0	1050	950
3	5	2	5	4	2.24	2.00	40.0	80.0	1100	950
4	5	2	5	4	2.24	2.00	40.0	80.0	1150	950
5	5	2	5	4	2.24	2.00	40.0	80.0	1200	950
6	5	3	5	5	1.41	1.00	60.0	100.0	950	1000
7	5	3	5	5	1.41	1.00	60.0	100.0	1000	1000
8	5	3	5	5	1.41	1.00	60.0	100.0	1050	1000
9	5	3	5	5	1.41	1.00	60.0	100.0	1100	1000
10	5	3	5	5	1.41	1.00	60.0	100.0	1150	1000
11	5	3	5	5	1.41	1.00	60.0	100.0	1200	1000
