	IN	OUT	RMSE	MAE	ACC. IN	ACC. OUT	enough_zero	delta
0	5	6	2.92	2.50	80.00	40.00	15	1200
1	5	6	2.92	2.50	80.00	40.00	16	1200
2	5	6	2.92	2.50	80.00	40.00	17	1200
3	5	6	2.92	2.50	80.00	40.00	18	1200
4	5	6	2.92	2.50	80.00	40.00	19	1200
5	5	5	2.24	2.00	80.00	40.00	20	1200
6	4	4	1.41	1.00	100.00	50.00	21	1200
7	4	4	1.41	1.00	100.00	50.00	22	1200
8	4	4	1.41	1.00	100.00	50.00	23	1200
9	4	3	0.71	0.50	100.00	50.00	24	1200
10	3	3	1.00	1.00	75.00	66.67	25	1200
11	3	2	0.71	0.50	75.00	75.00	26	1200
12	3	2	0.71	0.50	75.00	75.00	27	1200
13	3	2	0.71	0.50	75.00	75.00	28	1200
14	3	2	0.71	0.50	75.00	75.00	29	1200
15	2	1	1.58	1.50	50.00	50.00	30	1200
16	1	1	2.24	2.00	25.00	25.00	31	1200
17	1	0	2.55	2.50	25.00	25.00	32	1200
18	1	0	2.55	2.50	25.00	25.00	33	1200
19	5	6	2.92	2.50	80.00	40.00	15	1250
20	5	6	2.92	2.50	80.00	40.00	16	1250
21	5	6	2.92	2.50	80.00	40.00	17	1250
22	5	6	2.92	2.50	80.00	40.00	18	1250
23	5	6	2.92	2.50	80.00	40.00	19	1250
24	5	5	2.24	2.00	80.00	40.00	20	1250
25	4	4	1.41	1.00	100.00	50.00	21	1250
26	4	4	1.41	1.00	100.00	50.00	22	1250
27	4	4	1.41	1.00	100.00	50.00	23	1250
28	4	3	0.71	0.50	100.00	50.00	24	1250
29	3	3	1.00	1.00	75.00	66.67	25	1250
30	3	2	0.71	0.50	75.00	75.00	26	1250
31	3	2	0.71	0.50	75.00	75.00	27	1250
32	3	2	0.71	0.50	75.00	75.00	28	1250
33	3	2	0.71	0.50	75.00	75.00	29	1250
34	2	1	1.58	1.50	50.00	50.00	30	1250
35	1	1	2.24	2.00	25.00	25.00	31	1250
