	IN	OUT	RMSE	MAE	ACC. IN	ACC. OUT	enough_zero	delta
0	5	3	2.24	2.00	40.00	40.00	20	1200
1	4	2	1.41	1.00	50.00	200.00	21	1200
2	3	2	0.71	0.50	66.67	150.00	22	1200
3	3	2	0.71	0.50	66.67	150.00	23	1200
4	3	1	1.00	1.00	66.67	150.00	24	1200
5	2	0	1.41	1.00	100.00	100.00	25	1200
6	2	0	1.41	1.00	100.00	100.00	26	1200
7	2	0	1.41	1.00	100.00	100.00	27	1200
8	2	0	1.41	1.00	100.00	100.00	28	1200
9	1	0	1.58	1.50	50.00	50.00	29	1200
10	1	0	1.58	1.50	50.00	50.00	30	1200
11	0	0	2.00	2.00	0.00	0.00	31	1200
12	0	0	2.00	2.00	0.00	0.00	32	1200
13	0	0	2.00	2.00	0.00	0.00	33	1200
14	5	3	2.24	2.00	40.00	40.00	20	1250
15	4	2	1.41	1.00	50.00	200.00	21	1250
16	3	2	0.71	0.50	66.67	150.00	22	1250
17	3	2	0.71	0.50	66.67	150.00	23	1250
18	3	1	1.00	1.00	66.67	150.00	24	1250
19	2	0	1.41	1.00	100.00	100.00	25	1250
20	2	0	1.41	1.00	100.00	100.00	26	1250
21	2	0	1.41	1.00	100.00	100.00	27	1250
22	2	0	1.41	1.00	100.00	100.00	28	1250
23	1	0	1.58	1.50	50.00	50.00	29	1250
24	1	0	1.58	1.50	50.00	50.00	30	1250
25	0	0	2.00	2.00	0.00	0.00	31	1250
26	0	0	2.00	2.00	0.00	0.00	32	1250
27	0	0	2.00	2.00	0.00	0.00	33	1250
28	5	3	2.24	2.00	40.00	40.00	20	1300
29	4	2	1.41	1.00	50.00	200.00	21	1300
30	3	2	0.71	0.50	66.67	150.00	22	1300
31	3	2	0.71	0.50	66.67	150.00	23	1300
32	3	1	1.00	1.00	66.67	150.00	24	1300
33	2	0	1.41	1.00	100.00	100.00	25	1300
34	2	0	1.41	1.00	100.00	100.00	26	1300
35	2	0	1.41	1.00	100.00	100.00	27	1300
36	2	0	1.41	1.00	100.00	100.00	28	1300
37	1	0	1.58	1.50	50.00	50.00	29	1300
38	1	0	1.58	1.50	50.00	50.00	30	1300
39	0	0	2.00	2.00	0.00	0.00	31	1300
40	0	0	2.00	2.00	0.00	0.00	32	1300
41	0	0	2.00	2.00	0.00	0.00	33	1300
42	5	3	2.24	2.00	40.00	40.00	20	1350
43	4	2	1.41	1.00	50.00	200.00	21	1350
44	3	2	0.71	0.50	66.67	150.00	22	1350
45	3	2	0.71	0.50	66.67	150.00	23	1350
46	3	1	1.00	1.00	66.67	150.00	24	1350
47	2	0	1.41	1.00	100.00	100.00	25	1350
48	2	0	1.41	1.00	100.00	100.00	26	1350
49	2	0	1.41	1.00	100.00	100.00	27	1350
50	2	0	1.41	1.00	100.00	100.00	28	1350
51	1	0	1.58	1.50	50.00	50.00	29	1350
52	1	0	1.58	1.50	50.00	50.00	30	1350
53	0	0	2.00	2.00	0.00	0.00	31	1350
54	0	0	2.00	2.00	0.00	0.00	32	1350
55	0	0	2.00	2.00	0.00	0.00	33	1350
56	5	3	2.24	2.00	40.00	40.00	20	1400
57	4	2	1.41	1.00	50.00	200.00	21	1400
58	3	2	0.71	0.50	66.67	150.00	22	1400
59	3	2	0.71	0.50	66.67	150.00	23	1400
60	3	1	1.00	1.00	66.67	150.00	24	1400
61	2	0	1.41	1.00	100.00	100.00	25	1400
62	2	0	1.41	1.00	100.00	100.00	26	1400
63	2	0	1.41	1.00	100.00	100.00	27	1400
64	2	0	1.41	1.00	100.00	100.00	28	1400
65	1	0	1.58	1.50	50.00	50.00	29	1400
66	1	0	1.58	1.50	50.00	50.00	30	1400
67	0	0	2.00	2.00	0.00	0.00	31	1400
68	0	0	2.00	2.00	0.00	0.00	32	1400
69	0	0	2.00	2.00	0.00	0.00	33	1400
70	5	3	2.24	2.00	40.00	40.00	20	1450
71	4	2	1.41	1.00	50.00	200.00	21	1450
72	3	2	0.71	0.50	66.67	150.00	22	1450
73	3	2	0.71	0.50	66.67	150.00	23	1450
74	3	1	1.00	1.00	66.67	150.00	24	1450
75	2	0	1.41	1.00	100.00	100.00	25	1450
76	2	0	1.41	1.00	100.00	100.00	26	1450
77	2	0	1.41	1.00	100.00	100.00	27	1450
78	2	0	1.41	1.00	100.00	100.00	28	1450
79	1	0	1.58	1.50	50.00	50.00	29	1450
80	1	0	1.58	1.50	50.00	50.00	30	1450
81	0	0	2.00	2.00	0.00	0.00	31	1450
82	0	0	2.00	2.00	0.00	0.00	32	1450
83	0	0	2.00	2.00	0.00	0.00	33	1450
84	5	3	2.24	2.00	40.00	40.00	20	1500
85	4	2	1.41	1.00	50.00	200.00	21	1500
86	3	2	0.71	0.50	66.67	150.00	22	1500
87	3	2	0.71	0.50	66.67	150.00	23	1500
88	3	1	1.00	1.00	66.67	150.00	24	1500
89	2	0	1.41	1.00	100.00	100.00	25	1500
90	2	0	1.41	1.00	100.00	100.00	26	1500
91	2	0	1.41	1.00	100.00	100.00	27	1500
92	2	0	1.41	1.00	100.00	100.00	28	1500
93	1	0	1.58	1.50	50.00	50.00	29	1500
94	1	0	1.58	1.50	50.00	50.00	30	1500
95	0	0	2.00	2.00	0.00	0.00	31	1500
96	0	0	2.00	2.00	0.00	0.00	32	1500
97	0	0	2.00	2.00	0.00	0.00	33	1500
98	5	3	2.24	2.00	40.00	40.00	20	1550
99	4	2	1.41	1.00	50.00	200.00	21	1550
100	3	2	0.71	0.50	66.67	150.00	22	1550
101	3	2	0.71	0.50	66.67	150.00	23	1550
102	3	1	1.00	1.00	66.67	150.00	24	1550
103	2	0	1.41	1.00	100.00	100.00	25	1550
104	2	0	1.41	1.00	100.00	100.00	26	1550
105	2	0	1.41	1.00	100.00	100.00	27	1550
106	2	0	1.41	1.00	100.00	100.00	28	1550
107	1	0	1.58	1.50	50.00	50.00	29	1550
108	1	0	1.58	1.50	50.00	50.00	30	1550
109	0	0	2.00	2.00	0.00	0.00	31	1550
110	0	0	2.00	2.00	0.00	0.00	32	1550
111	0	0	2.00	2.00	0.00	0.00	33	1550
112	5	3	2.24	2.00	40.00	40.00	20	1600
113	4	2	1.41	1.00	50.00	200.00	21	1600
114	3	2	0.71	0.50	66.67	150.00	22	1600
115	3	2	0.71	0.50	66.67	150.00	23	1600
116	3	1	1.00	1.00	66.67	150.00	24	1600
117	2	0	1.41	1.00	100.00	100.00	25	1600
118	2	0	1.41	1.00	100.00	100.00	26	1600
119	2	0	1.41	1.00	100.00	100.00	27	1600
120	2	0	1.41	1.00	100.00	100.00	28	1600
121	1	0	1.58	1.50	50.00	50.00	29	1600
122	1	0	1.58	1.50	50.00	50.00	30	1600
123	0	0	2.00	2.00	0.00	0.00	31	1600
124	0	0	2.00	2.00	0.00	0.00	32	1600
125	0	0	2.00	2.00	0.00	0.00	33	1600
126	5	3	2.24	2.00	40.00	40.00	20	1650
127	4	2	1.41	1.00	50.00	200.00	21	1650
128	3	2	0.71	0.50	66.67	150.00	22	1650
129	3	2	0.71	0.50	66.67	150.00	23	1650
130	3	1	1.00	1.00	66.67	150.00	24	1650
131	2	0	1.41	1.00	100.00	100.00	25	1650
132	2	0	1.41	1.00	100.00	100.00	26	1650
133	2	0	1.41	1.00	100.00	100.00	27	1650
134	2	0	1.41	1.00	100.00	100.00	28	1650
135	1	0	1.58	1.50	50.00	50.00	29	1650
136	1	0	1.58	1.50	50.00	50.00	30	1650
137	0	0	2.00	2.00	0.00	0.00	31	1650
138	0	0	2.00	2.00	0.00	0.00	32	1650
139	0	0	2.00	2.00	0.00	0.00	33	1650
140	5	3	2.24	2.00	40.00	40.00	20	1700
141	4	2	1.41	1.00	50.00	200.00	21	1700
142	3	2	0.71	0.50	66.67	150.00	22	1700
143	3	2	0.71	0.50	66.67	150.00	23	1700
144	3	1	1.00	1.00	66.67	150.00	24	1700
145	2	0	1.41	1.00	100.00	100.00	25	1700
146	2	0	1.41	1.00	100.00	100.00	26	1700
147	2	0	1.41	1.00	100.00	100.00	27	1700
148	2	0	1.41	1.00	100.00	100.00	28	1700
149	1	0	1.58	1.50	50.00	50.00	29	1700
150	1	0	1.58	1.50	50.00	50.00	30	1700
151	0	0	2.00	2.00	0.00	0.00	31	1700
152	0	0	2.00	2.00	0.00	0.00	32	1700
153	0	0	2.00	2.00	0.00	0.00	33	1700
154	5	3	2.24	2.00	40.00	40.00	20	1750
155	4	2	1.41	1.00	50.00	200.00	21	1750
156	3	2	0.71	0.50	66.67	150.00	22	1750
157	3	2	0.71	0.50	66.67	150.00	23	1750
158	3	1	1.00	1.00	66.67	150.00	24	1750
159	2	0	1.41	1.00	100.00	100.00	25	1750
160	2	0	1.41	1.00	100.00	100.00	26	1750
161	2	0	1.41	1.00	100.00	100.00	27	1750
162	2	0	1.41	1.00	100.00	100.00	28	1750
163	1	0	1.58	1.50	50.00	50.00	29	1750
164	1	0	1.58	1.50	50.00	50.00	30	1750
165	0	0	2.00	2.00	0.00	0.00	31	1750
166	0	0	2.00	2.00	0.00	0.00	32	1750
167	0	0	2.00	2.00	0.00	0.00	33	1750
168	5	3	2.24	2.00	40.00	40.00	20	1800
169	4	2	1.41	1.00	50.00	200.00	21	1800
170	3	2	0.71	0.50	66.67	150.00	22	1800
171	3	2	0.71	0.50	66.67	150.00	23	1800
172	3	1	1.00	1.00	66.67	150.00	24	1800
173	2	0	1.41	1.00	100.00	100.00	25	1800
174	2	0	1.41	1.00	100.00	100.00	26	1800
175	2	0	1.41	1.00	100.00	100.00	27	1800
176	2	0	1.41	1.00	100.00	100.00	28	1800
177	1	0	1.58	1.50	50.00	50.00	29	1800
178	1	0	1.58	1.50	50.00	50.00	30	1800
179	0	0	2.00	2.00	0.00	0.00	31	1800
180	0	0	2.00	2.00	0.00	0.00	32	1800
181	0	0	2.00	2.00	0.00	0.00	33	1800
182	5	3	2.24	2.00	40.00	40.00	20	1850
183	4	2	1.41	1.00	50.00	200.00	21	1850
184	3	2	0.71	0.50	66.67	150.00	22	1850
185	3	2	0.71	0.50	66.67	150.00	23	1850
186	3	1	1.00	1.00	66.67	150.00	24	1850
187	2	0	1.41	1.00	100.00	100.00	25	1850
188	2	0	1.41	1.00	100.00	100.00	26	1850
189	2	0	1.41	1.00	100.00	100.00	27	1850
190	2	0	1.41	1.00	100.00	100.00	28	1850
191	1	0	1.58	1.50	50.00	50.00	29	1850
192	1	0	1.58	1.50	50.00	50.00	30	1850
193	0	0	2.00	2.00	0.00	0.00	31	1850
194	0	0	2.00	2.00	0.00	0.00	32	1850
195	0	0	2.00	2.00	0.00	0.00	33	1850
196	5	3	2.24	2.00	40.00	40.00	20	1900
197	4	2	1.41	1.00	50.00	200.00	21	1900
198	3	2	0.71	0.50	66.67	150.00	22	1900
199	3	2	0.71	0.50	66.67	150.00	23	1900
200	3	1	1.00	1.00	66.67	150.00	24	1900
201	2	0	1.41	1.00	100.00	100.00	25	1900
202	2	0	1.41	1.00	100.00	100.00	26	1900
203	2	0	1.41	1.00	100.00	100.00	27	1900
204	2	0	1.41	1.00	100.00	100.00	28	1900
205	1	0	1.58	1.50	50.00	50.00	29	1900
