	IN	OUT	RMSE	MAE	span	delta
0	1	1	2.00	2.00	400	800
1	1	1	2.00	2.00	450	800
2	1	1	2.00	2.00	500	800
3	1	1	2.00	2.00	550	800
4	1	1	2.00	2.00	600	800
5	1	1	2.00	2.00	650	800
6	1	1	2.00	2.00	700	800
7	1	2	1.58	1.50	750	800
8	1	2	1.58	1.50	800	800
9	1	2	1.58	1.50	850	800
10	1	2	1.58	1.50	900	800
11	1	2	1.58	1.50	950	800
12	1	2	1.58	1.50	1000	800
13	1	2	1.58	1.50	1050	800
14	1	2	1.58	1.50	1100	800
15	1	2	1.58	1.50	1150	800
16	1	2	1.58	1.50	1200	800
17	1	1	2.00	2.00	400	850
18	1	1	2.00	2.00	450	850
19	1	1	2.00	2.00	500	850
20	1	1	2.00	2.00	550	850
21	1	1	2.00	2.00	600	850
22	1	1	2.00	2.00	650	850
23	1	1	2.00	2.00	700	850
24	1	2	1.58	1.50	750	850
25	1	2	1.58	1.50	800	850
26	1	2	1.58	1.50	850	850
27	1	2	1.58	1.50	900	850
28	1	2	1.58	1.50	950	850
29	1	2	1.58	1.50	1000	850
30	1	2	1.58	1.50	1050	850
31	1	2	1.58	1.50	1100	850
32	1	2	1.58	1.50	1150	850
33	1	2	1.58	1.50	1200	850
34	1	1	2.00	2.00	400	900
35	1	1	2.00	2.00	450	900
36	1	1	2.00	2.00	500	900
37	1	1	2.00	2.00	550	900
38	1	1	2.00	2.00	600	900
39	1	1	2.00	2.00	650	900
40	1	1	2.00	2.00	700	900
41	1	2	1.58	1.50	750	900
42	1	2	1.58	1.50	800	900
43	1	2	1.58	1.50	850	900
44	1	2	1.58	1.50	900	900
45	1	2	1.58	1.50	950	900
46	1	2	1.58	1.50	1000	900
47	1	2	1.58	1.50	1050	900
48	1	2	1.58	1.50	1100	900
49	1	2	1.58	1.50	1150	900
50	1	2	1.58	1.50	1200	900
51	1	1	2.00	2.00	400	950
52	1	1	2.00	2.00	450	950
53	1	1	2.00	2.00	500	950
54	1	1	2.00	2.00	550	950
55	1	1	2.00	2.00	600	950
56	1	1	2.00	2.00	650	950
57	1	1	2.00	2.00	700	950
58	1	2	1.58	1.50	750	950
59	1	2	1.58	1.50	800	950
60	1	2	1.58	1.50	850	950
61	1	2	1.58	1.50	900	950
62	1	2	1.58	1.50	950	950
63	1	2	1.58	1.50	1000	950
64	1	2	1.58	1.50	1050	950
65	1	2	1.58	1.50	1100	950
66	1	2	1.58	1.50	1150	950
67	1	2	1.58	1.50	1200	950
68	1	1	2.00	2.00	400	1000
69	1	1	2.00	2.00	450	1000
70	1	1	2.00	2.00	500	1000
71	1	1	2.00	2.00	550	1000
