	IN	OUT	RMSE	MAE	enough_zero	delta
0	5	6	2.55	2.50	15	1000
1	4	5	1.58	1.50	16	1000
2	4	5	1.58	1.50	17	1000
3	3	4	0.71	0.50	18	1000
4	3	4	0.71	0.50	19	1000
5	3	4	0.71	0.50	20	1000
6	3	4	0.71	0.50	21	1000
7	3	4	0.71	0.50	22	1000
8	3	4	0.71	0.50	23	1000
9	3	4	0.71	0.50	24	1000
10	3	3	0.00	0.00	25	1000
11	2	2	1.00	1.00	26	1000
12	2	2	1.00	1.00	27	1000
13	2	2	1.00	1.00	28	1000
14	2	2	1.00	1.00	29	1000
15	2	2	1.00	1.00	30	1000
16	2	1	1.58	1.50	31	1000
17	0	1	2.55	2.50	32	1000
18	0	1	2.55	2.50	33	1000
19	5	6	2.55	2.50	15	1050
20	4	5	1.58	1.50	16	1050
21	4	5	1.58	1.50	17	1050
22	3	4	0.71	0.50	18	1050
23	3	4	0.71	0.50	19	1050
24	3	4	0.71	0.50	20	1050
25	3	4	0.71	0.50	21	1050
26	3	4	0.71	0.50	22	1050
27	3	4	0.71	0.50	23	1050
28	3	4	0.71	0.50	24	1050
29	3	3	0.00	0.00	25	1050
30	2	2	1.00	1.00	26	1050
31	2	2	1.00	1.00	27	1050
32	2	2	1.00	1.00	28	1050
33	2	2	1.00	1.00	29	1050
34	2	2	1.00	1.00	30	1050
35	2	1	1.58	1.50	31	1050
36	0	1	2.55	2.50	32	1050
37	0	1	2.55	2.50	33	1050
38	5	6	2.55	2.50	15	1100
39	4	5	1.58	1.50	16	1100
40	4	5	1.58	1.50	17	1100
41	3	4	0.71	0.50	18	1100
42	3	4	0.71	0.50	19	1100
43	3	4	0.71	0.50	20	1100
44	3	4	0.71	0.50	21	1100
45	3	4	0.71	0.50	22	1100
46	3	4	0.71	0.50	23	1100
47	3	4	0.71	0.50	24	1100
48	3	3	0.00	0.00	25	1100
49	2	2	1.00	1.00	26	1100
50	2	2	1.00	1.00	27	1100
51	2	2	1.00	1.00	28	1100
52	2	2	1.00	1.00	29	1100
53	2	2	1.00	1.00	30	1100
54	2	1	1.58	1.50	31	1100
55	0	1	2.55	2.50	32	1100
56	0	1	2.55	2.50	33	1100
57	5	6	2.55	2.50	15	1150
58	4	5	1.58	1.50	16	1150
59	4	5	1.58	1.50	17	1150
60	3	4	0.71	0.50	18	1150
61	3	4	0.71	0.50	19	1150
62	3	4	0.71	0.50	20	1150
63	3	4	0.71	0.50	21	1150
64	3	4	0.71	0.50	22	1150
65	3	4	0.71	0.50	23	1150
66	3	4	0.71	0.50	24	1150
67	3	3	0.00	0.00	25	1150
68	2	2	1.00	1.00	26	1150
69	2	2	1.00	1.00	27	1150
70	2	2	1.00	1.00	28	1150
71	2	2	1.00	1.00	29	1150
72	2	2	1.00	1.00	30	1150
73	2	1	1.58	1.50	31	1150
74	0	1	2.55	2.50	32	1150
75	0	1	2.55	2.50	33	1150
76	5	6	2.55	2.50	15	1200
77	4	5	1.58	1.50	16	1200
78	4	5	1.58	1.50	17	1200
79	3	4	0.71	0.50	18	1200
80	3	4	0.71	0.50	19	1200
81	3	4	0.71	0.50	20	1200
82	3	4	0.71	0.50	21	1200
83	3	4	0.71	0.50	22	1200
84	3	4	0.71	0.50	23	1200
85	3	4	0.71	0.50	24	1200
86	3	3	0.00	0.00	25	1200
87	2	2	1.00	1.00	26	1200
88	2	2	1.00	1.00	27	1200
89	2	2	1.00	1.00	28	1200
90	2	2	1.00	1.00	29	1200
91	2	2	1.00	1.00	30	1200
92	2	1	1.58	1.50	31	1200
93	0	1	2.55	2.50	32	1200
94	0	1	2.55	2.50	33	1200
95	5	6	2.55	2.50	15	1250
96	4	5	1.58	1.50	16	1250
97	4	5	1.58	1.50	17	1250
98	3	4	0.71	0.50	18	1250
99	3	4	0.71	0.50	19	1250
100	3	4	0.71	0.50	20	1250
101	3	4	0.71	0.50	21	1250
102	3	4	0.71	0.50	22	1250
103	3	4	0.71	0.50	23	1250
104	3	4	0.71	0.50	24	1250
105	3	3	0.00	0.00	25	1250
106	2	2	1.00	1.00	26	1250
107	2	2	1.00	1.00	27	1250
108	2	2	1.00	1.00	28	1250
109	2	2	1.00	1.00	29	1250
110	2	2	1.00	1.00	30	1250
111	2	1	1.58	1.50	31	1250
112	0	1	2.55	2.50	32	1250
113	0	1	2.55	2.50	33	1250
114	5	6	2.55	2.50	15	1300
115	4	5	1.58	1.50	16	1300
116	4	5	1.58	1.50	17	1300
117	3	4	0.71	0.50	18	1300
