	IN	OUT	RMSE	MAE	enough_zero	delta
0	4	5	2.83	2.00	15	1000
1	4	5	2.83	2.00	16	1000
2	4	5	2.83	2.00	17	1000
3	4	5	2.83	2.00	18	1000
4	4	5	2.83	2.00	19	1000
5	4	5	2.83	2.00	20	1000
6	3	4	2.24	2.00	21	1000
7	2	4	1.58	1.50	22	1000
8	2	4	1.58	1.50	23	1000
9	2	4	1.58	1.50	24	1000
10	1	3	1.58	1.50	25	1000
11	1	2	2.24	2.00	26	1000
12	1	2	2.24	2.00	27	1000
13	1	2	2.24	2.00	28	1000
14	1	2	2.24	2.00	29	1000
15	1	1	2.92	2.50	30	1000
16	0	1	2.83	2.00	31	1000
17	0	0	3.54	2.50	32	1000
18	0	0	3.54	2.50	33	1000
19	4	5	2.83	2.00	15	1050
20	4	5	2.83	2.00	16	1050
21	4	5	2.83	2.00	17	1050
22	4	5	2.83	2.00	18	1050
23	4	5	2.83	2.00	19	1050
24	4	5	2.83	2.00	20	1050
25	3	4	2.24	2.00	21	1050
26	2	4	1.58	1.50	22	1050
27	2	4	1.58	1.50	23	1050
28	2	4	1.58	1.50	24	1050
29	1	3	1.58	1.50	25	1050
30	1	2	2.24	2.00	26	1050
31	1	2	2.24	2.00	27	1050
32	1	2	2.24	2.00	28	1050
33	1	2	2.24	2.00	29	1050
34	1	1	2.92	2.50	30	1050
35	0	1	2.83	2.00	31	1050
36	0	0	3.54	2.50	32	1050
37	0	0	3.54	2.50	33	1050
38	4	5	2.83	2.00	15	1100
39	4	5	2.83	2.00	16	1100
40	4	5	2.83	2.00	17	1100
41	4	5	2.83	2.00	18	1100
42	4	5	2.83	2.00	19	1100
43	4	5	2.83	2.00	20	1100
44	3	4	2.24	2.00	21	1100
45	2	4	1.58	1.50	22	1100
46	2	4	1.58	1.50	23	1100
47	2	4	1.58	1.50	24	1100
48	1	3	1.58	1.50	25	1100
49	1	2	2.24	2.00	26	1100
50	1	2	2.24	2.00	27	1100
51	1	2	2.24	2.00	28	1100
52	1	2	2.24	2.00	29	1100
53	1	1	2.92	2.50	30	1100
54	0	1	2.83	2.00	31	1100
55	0	0	3.54	2.50	32	1100
56	0	0	3.54	2.50	33	1100
57	4	5	2.83	2.00	15	1150
58	4	5	2.83	2.00	16	1150
59	4	5	2.83	2.00	17	1150
60	4	5	2.83	2.00	18	1150
61	4	5	2.83	2.00	19	1150
62	4	5	2.83	2.00	20	1150
63	3	4	2.24	2.00	21	1150
64	2	4	1.58	1.50	22	1150
65	2	4	1.58	1.50	23	1150
66	2	4	1.58	1.50	24	1150
67	1	3	1.58	1.50	25	1150
68	1	2	2.24	2.00	26	1150
69	1	2	2.24	2.00	27	1150
70	1	2	2.24	2.00	28	1150
71	1	2	2.24	2.00	29	1150
72	1	1	2.92	2.50	30	1150
73	0	1	2.83	2.00	31	1150
74	0	0	3.54	2.50	32	1150
75	0	0	3.54	2.50	33	1150
76	4	5	2.83	2.00	15	1200
77	4	5	2.83	2.00	16	1200
78	4	5	2.83	2.00	17	1200
79	4	5	2.83	2.00	18	1200
80	4	5	2.83	2.00	19	1200
81	4	5	2.83	2.00	20	1200
82	3	4	2.24	2.00	21	1200
83	2	4	1.58	1.50	22	1200
84	2	4	1.58	1.50	23	1200
85	2	4	1.58	1.50	24	1200
86	1	3	1.58	1.50	25	1200
87	1	2	2.24	2.00	26	1200
88	1	2	2.24	2.00	27	1200
89	1	2	2.24	2.00	28	1200
90	1	2	2.24	2.00	29	1200
91	1	1	2.92	2.50	30	1200
92	0	1	2.83	2.00	31	1200
93	0	0	3.54	2.50	32	1200
94	0	0	3.54	2.50	33	1200
95	4	5	2.83	2.00	15	1250
96	4	5	2.83	2.00	16	1250
97	4	5	2.83	2.00	17	1250
98	4	5	2.83	2.00	18	1250
99	4	5	2.83	2.00	19	1250
100	4	5	2.83	2.00	20	1250
101	3	4	2.24	2.00	21	1250
102	2	4	1.58	1.50	22	1250
103	2	4	1.58	1.50	23	1250
104	2	4	1.58	1.50	24	1250
105	1	3	1.58	1.50	25	1250
106	1	2	2.24	2.00	26	1250
107	1	2	2.24	2.00	27	1250
108	1	2	2.24	2.00	28	1250
109	1	2	2.24	2.00	29	1250
110	1	1	2.92	2.50	30	1250
111	0	1	2.83	2.00	31	1250
112	0	0	3.54	2.50	32	1250
113	0	0	3.54	2.50	33	1250
114	4	5	2.83	2.00	15	1300
115	4	5	2.83	2.00	16	1300
116	4	5	2.83	2.00	17	1300
117	4	5	2.83	2.00	18	1300
118	4	5	2.83	2.00	19	1300
119	4	5	2.83	2.00	20	1300
120	3	4	2.24	2.00	21	1300
121	2	4	1.58	1.50	22	1300
122	2	4	1.58	1.50	23	1300
123	2	4	1.58	1.50	24	1300
124	2	3	2.00	2.00	25	1300
125	2	2	2.55	2.50	26	1300
126	2	2	2.55	2.50	27	1300
127	2	2	2.55	2.50	28	1300
128	2	2	2.55	2.50	29	1300
129	2	1	3.16	3.00	30	1300
130	1	1	2.92	2.50	31	1300
131	0	0	3.54	2.50	32	1300
132	0	0	3.54	2.50	33	1300
133	4	5	2.83	2.00	15	1350
134	4	5	2.83	2.00	16	1350
