TS,TypeOfEvent,,,,,infra,tof
1538040463555,0,,,,,,
"1538040525500,5",0,,,,,,
1538040563556,0,,,,,,
1538040584819,0,,,,,,
1538040599927,0,,,,,,
1538040601133,0,,,,,,
,,,,,,,
1538040740265,1,,,,,,
1538040741496,1,,,,,,
1538040818333,1,,,,,,
1538040865824,1,,,,,,
1538040902168,1,,,,,,
1538040928442,1,,,,,,
1538040938180,1,,,,,,
1538041009648,1,,,,,,
1538040735705,0,,,,,,
1538040936091,0,,,,,,
1538040945828,0,,,,,,
1538041006280,0,,,,,,
,,,,,,,
"1538041042429,5",1,,,,,,
1538041044538,1,,,,,,
"1538041073637,5",1,,,,,,
"1538041079888,5",1,,,,,,
1538041087524,1,,,,,,
"1538041149233,5",1,,,,,,
1538041196296,1,,,,,,
"1538041202307,5",1,,,,,,
1538041244391,1,,,,,,
1538041257483,1,,,,,,
1538041052674,0,,,,,,
"1538041161870,5",0,,,,,,
1538041170492,0,,,,,,
"1538041201373,5",0,,,,,,
,,,,,,,
"1538041413541,5",1,,,,,,
1538041466392,1,,,,,,
1538041490788,1,,,,,,
1538041510799,1,,,,,,
1538041535078,1,,,,,,
"1538041537213,5",1,,,,,,
1538041339155,0,,,,,,
1538041424680,0,,,,,,
"1538041435493,5",0,,,,,,
1538041536222,0,,,,,,
"1538041618425,5",0,,,,,,
"1538041619484,5",0,,,,,,
,,,,,,,
,,,,,,,
1538041958145,1,,,,,,
1538042197040,1,,,,,,
1538041960037,0,,,,,,
1538041967661,0,,,,,,
1538041982709,0,,,,,,
1538042005657,0,,,,,,
1538042099724,0,,,,,,
"1538042101149,5",0,,,,,,
1538042104013,0,,,,,,
1538042183500,0,,,,,,
1538042220165,0,,,,,,
,,,,,,,
1538042336243,1,,,,,,
1538042495256,1,,,,,,
1538042257468,0,,,,,,
1538042297443,0,,,,,,
"1538042335943,5",0,,,,,,
1538042349496,0,,,,,,
1538042376574,0,,,,,,
"1538042417998,5",0,,,,,,
"1538042421110,5",0,,,,,,
1538042433845,0,,,,,,
1538042481119,0,,,,,,
1538042501292,0,,,,,,
