	IN	OUT	RMSE	MAE	ACC. IN	ACC. OUT	enough_zero	delta
102	2	2	3.81	3.50	50.00	28.57	24	1550
103	1	2	4.12	4.00	25.00	28.57	25	1550
104	0	1	5.10	5.00	0.00	14.29	26	1550
105	0	1	5.10	5.00	0.00	14.29	27	1550
106	0	1	5.10	5.00	0.00	14.29	28	1550
107	0	0	5.70	5.50	0.00	0.00	29	1550
108	0	0	5.70	5.50	0.00	0.00	30	1550
109	0	0	5.70	5.50	0.00	0.00	31	1550
110	0	0	5.70	5.50	0.00	0.00	32	1550
111	0	0	5.70	5.50	0.00	0.00	33	1550
112	7	7	2.12	1.50	175.00	100.00	20	1600
113	5	5	1.58	1.50	125.00	71.43	21	1600
114	5	5	1.58	1.50	125.00	71.43	22	1600
115	3	3	2.92	2.50	75.00	42.86	23	1600
116	2	2	3.81	3.50	50.00	28.57	24	1600
117	1	2	4.12	4.00	25.00	28.57	25	1600
118	0	1	5.10	5.00	0.00	14.29	26	1600
119	0	1	5.10	5.00	0.00	14.29	27	1600
120	0	1	5.10	5.00	0.00	14.29	28	1600
121	0	0	5.70	5.50	0.00	0.00	29	1600
122	0	0	5.70	5.50	0.00	0.00	30	1600
123	0	0	5.70	5.50	0.00	0.00	31	1600
124	0	0	5.70	5.50	0.00	0.00	32	1600
125	0	0	5.70	5.50	0.00	0.00	33	1600
