	IN	OUT	RMSE	MAE	enough_zero	delta
0	16	27	12.35	10.50	15	1400
1	16	27	12.35	10.50	16	1400
2	16	27	12.35	10.50	17	1400
3	16	27	12.35	10.50	18	1400
4	15	26	11.51	9.50	19	1400
5	14	26	11.40	9.00	20	1400
6	13	23	9.22	7.00	21	1400
7	12	22	8.49	6.00	22	1400
8	9	20	7.38	6.50	23	1400
9	9	20	7.38	6.50	24	1400
10	9	17	5.39	5.00	25	1400
11	16	27	12.35	10.50	15	1450
12	16	27	12.35	10.50	16	1450
13	16	27	12.35	10.50	17	1450
14	16	27	12.35	10.50	18	1450
15	15	26	11.51	9.50	19	1450
16	14	26	11.40	9.00	20	1450
17	13	23	9.22	7.00	21	1450
18	12	22	8.49	6.00	22	1450
19	9	20	7.38	6.50	23	1450
20	9	20	7.38	6.50	24	1450
21	9	17	5.39	5.00	25	1450
22	16	27	12.35	10.50	15	1500
23	16	27	12.35	10.50	16	1500
24	16	27	12.35	10.50	17	1500
25	16	27	12.35	10.50	18	1500
26	15	26	11.51	9.50	19	1500
27	14	26	11.40	9.00	20	1500
28	13	23	9.22	7.00	21	1500
29	12	22	8.49	6.00	22	1500
30	9	20	7.38	6.50	23	1500
31	9	20	7.38	6.50	24	1500
32	9	17	5.39	5.00	25	1500
33	16	27	12.35	10.50	15	1550
34	16	27	12.35	10.50	16	1550
35	16	27	12.35	10.50	17	1550
36	16	27	12.35	10.50	18	1550
37	15	26	11.51	9.50	19	1550
38	14	26	11.40	9.00	20	1550
39	13	23	9.22	7.00	21	1550
40	12	22	8.49	6.00	22	1550
41	9	20	7.38	6.50	23	1550
42	9	20	7.38	6.50	24	1550
43	9	17	5.39	5.00	25	1550
44	16	27	12.35	10.50	15	1600
45	16	27	12.35	10.50	16	1600
46	16	27	12.35	10.50	17	1600
47	16	27	12.35	10.50	18	1600
48	15	26	11.51	9.50	19	1600
49	14	26	11.40	9.00	20	1600
50	13	23	9.22	7.00	21	1600
51	12	22	8.49	6.00	22	1600
52	9	20	7.38	6.50	23	1600
53	9	20	7.38	6.50	24	1600
54	9	17	5.39	5.00	25	1600
55	16	27	12.35	10.50	15	1650
56	16	27	12.35	10.50	16	1650
57	16	27	12.35	10.50	17	1650
58	16	27	12.35	10.50	18	1650
59	15	26	11.51	9.50	19	1650
60	14	26	11.40	9.00	20	1650
61	13	23	9.22	7.00	21	1650
62	12	22	8.49	6.00	22	1650
63	9	20	7.38	6.50	23	1650
64	9	20	7.38	6.50	24	1650
65	9	17	5.39	5.00	25	1650
66	16	27	12.35	10.50	15	1700
67	16	27	12.35	10.50	16	1700
68	16	27	12.35	10.50	17	1700
69	16	27	12.35	10.50	18	1700
70	15	26	11.51	9.50	19	1700
71	14	26	11.40	9.00	20	1700
72	13	23	9.22	7.00	21	1700
73	12	22	8.49	6.00	22	1700
74	9	20	7.38	6.50	23	1700
75	9	20	7.38	6.50	24	1700
76	9	17	5.39	5.00	25	1700
77	16	28	13.04	11.00	15	1750
78	16	28	13.04	11.00	16	1750
79	16	28	13.04	11.00	17	1750
80	16	28	13.04	11.00	18	1750
81	15	27	12.21	10.00	19	1750
82	14	27	12.10	9.50	20	1750
83	13	24	9.92	7.50	21	1750
84	12	23	9.19	6.50	22	1750
85	9	21	8.06	7.00	23	1750
86	9	21	8.06	7.00	24	1750
87	9	18	6.04	5.50	25	1750
88	16	28	13.04	11.00	15	1800
89	16	28	13.04	11.00	16	1800
90	16	28	13.04	11.00	17	1800
91	16	28	13.04	11.00	18	1800
92	15	27	12.21	10.00	19	1800
93	14	27	12.10	9.50	20	1800
94	13	24	9.92	7.50	21	1800
95	12	23	9.19	6.50	22	1800
96	9	21	8.06	7.00	23	1800
97	9	21	8.06	7.00	24	1800
98	9	18	6.04	5.50	25	1800
99	16	28	13.04	11.00	15	1850
100	16	28	13.04	11.00	16	1850
101	16	28	13.04	11.00	17	1850
102	16	28	13.04	11.00	18	1850
103	15	27	12.21	10.00	19	1850
104	14	27	12.10	9.50	20	1850
105	13	24	9.92	7.50	21	1850
106	12	23	9.19	6.50	22	1850
107	9	21	8.06	7.00	23	1850
108	9	21	8.06	7.00	24	1850
109	9	18	6.04	5.50	25	1850
110	16	28	13.04	11.00	15	1900
111	16	28	13.04	11.00	16	1900
112	16	28	13.04	11.00	17	1900
113	16	28	13.04	11.00	18	1900
114	15	27	12.21	10.00	19	1900
115	14	27	12.10	9.50	20	1900
116	13	24	9.92	7.50	21	1900
117	12	23	9.19	6.50	22	1900
118	9	21	8.06	7.00	23	1900
119	9	21	8.06	7.00	24	1900
120	9	18	6.04	5.50	25	1900
121	16	28	13.04	11.00	15	1950
122	16	28	13.04	11.00	16	1950
123	16	28	13.04	11.00	17	1950
124	16	28	13.04	11.00	18	1950
125	15	27	12.21	10.00	19	1950
126	14	27	12.10	9.50	20	1950
127	13	24	9.92	7.50	21	1950
128	12	23	9.19	6.50	22	1950
129	9	21	8.06	7.00	23	1950
130	9	21	8.06	7.00	24	1950
131	9	18	6.04	5.50	25	1950
132	16	28	13.04	11.00	15	2000
133	16	28	13.04	11.00	16	2000
134	16	28	13.04	11.00	17	2000
135	16	28	13.04	11.00	18	2000
136	15	27	12.21	10.00	19	2000
137	14	27	12.10	9.50	20	2000
138	13	24	9.92	7.50	21	2000
139	12	23	9.19	6.50	22	2000
140	9	21	8.06	7.00	23	2000
141	9	21	8.06	7.00	24	2000
142	9	18	6.04	5.50	25	2000
