	IN	OUT	RMSE	MAE	ACC. IN	ACC. OUT	enough_zero	delta
0	17	22	3.61	3.00	94.44	100.00	20	1200
1	16	19	2.00	2.00	88.89	106.25	21	1200
2	16	18	1.58	1.50	88.89	106.25	22	1200
3	13	13	4.53	4.50	72.22	72.22	23	1200
4	12	11	6.00	6.00	66.67	66.67	24	1200
5	8	10	8.63	8.50	44.44	44.44	25	1200
6	6	8	10.61	10.50	33.33	33.33	26	1200
7	5	6	12.04	12.00	27.78	27.78	27	1200
8	4	4	13.51	13.50	22.22	22.22	28	1200
9	4	4	13.51	13.50	22.22	22.22	29	1200
10	3	4	14.04	14.00	16.67	16.67	30	1200
11	3	4	14.04	14.00	16.67	16.67	31	1200
12	3	3	14.51	14.50	16.67	16.67	32	1200
13	1	2	16.03	16.00	5.56	5.56	33	1200
14	18	22	3.54	2.50	100.00	94.44	20	1250
15	17	19	1.58	1.50	94.44	100.00	21	1250
16	16	18	1.58	1.50	88.89	106.25	22	1250
17	13	13	4.53	4.50	72.22	72.22	23	1250
18	12	11	6.00	6.00	66.67	66.67	24	1250
19	8	10	8.63	8.50	44.44	44.44	25	1250
20	6	8	10.61	10.50	33.33	33.33	26	1250
21	5	6	12.04	12.00	27.78	27.78	27	1250
22	4	4	13.51	13.50	22.22	22.22	28	1250
23	4	4	13.51	13.50	22.22	22.22	29	1250
24	3	4	14.04	14.00	16.67	16.67	30	1250
25	3	4	14.04	14.00	16.67	16.67	31	1250
26	3	3	14.51	14.50	16.67	16.67	32	1250
27	1	2	16.03	16.00	5.56	5.56	33	1250
28	18	22	3.54	2.50	100.00	94.44	20	1300
29	17	19	1.58	1.50	94.44	100.00	21	1300
30	16	18	1.58	1.50	88.89	106.25	22	1300
31	13	13	4.53	4.50	72.22	72.22	23	1300
32	12	11	6.00	6.00	66.67	66.67	24	1300
33	8	10	8.63	8.50	44.44	44.44	25	1300
34	6	8	10.61	10.50	33.33	33.33	26	1300
35	5	6	12.04	12.00	27.78	27.78	27	1300
36	4	4	13.51	13.50	22.22	22.22	28	1300
37	4	4	13.51	13.50	22.22	22.22	29	1300
38	3	4	14.04	14.00	16.67	16.67	30	1300
39	3	4	14.04	14.00	16.67	16.67	31	1300
40	3	3	14.51	14.50	16.67	16.67	32	1300
41	1	2	16.03	16.00	5.56	5.56	33	1300
