	IN	OUT	RMSE	MAE	enough_zero	delta
0	7	14	6.52	5.50	15	1400
1	7	14	6.52	5.50	16	1400
2	6	12	5.00	4.00	17	1400
3	6	12	5.00	4.00	18	1400
4	6	12	5.00	4.00	19	1400
5	6	11	4.30	3.50	20	1400
6	6	9	2.92	2.50	21	1400
7	5	8	2.12	1.50	22	1400
8	4	7	1.58	1.50	23	1400
9	4	6	1.00	1.00	24	1400
10	4	5	0.71	0.50	25	1400
11	7	14	6.52	5.50	15	1450
12	7	14	6.52	5.50	16	1450
13	6	12	5.00	4.00	17	1450
14	6	12	5.00	4.00	18	1450
15	6	12	5.00	4.00	19	1450
16	6	11	4.30	3.50	20	1450
17	6	9	2.92	2.50	21	1450
18	5	8	2.12	1.50	22	1450
19	4	7	1.58	1.50	23	1450
20	4	6	1.00	1.00	24	1450
21	4	5	0.71	0.50	25	1450
22	7	14	6.52	5.50	15	1500
23	7	14	6.52	5.50	16	1500
24	6	12	5.00	4.00	17	1500
25	6	12	5.00	4.00	18	1500
26	6	12	5.00	4.00	19	1500
27	6	11	4.30	3.50	20	1500
28	6	9	2.92	2.50	21	1500
29	5	8	2.12	1.50	22	1500
30	4	7	1.58	1.50	23	1500
31	4	6	1.00	1.00	24	1500
32	4	5	0.71	0.50	25	1500
33	7	14	6.52	5.50	15	1550
34	7	14	6.52	5.50	16	1550
35	6	12	5.00	4.00	17	1550
36	6	12	5.00	4.00	18	1550
37	6	12	5.00	4.00	19	1550
38	6	11	4.30	3.50	20	1550
39	6	9	2.92	2.50	21	1550
40	5	8	2.12	1.50	22	1550
41	4	7	1.58	1.50	23	1550
42	4	6	1.00	1.00	24	1550
43	4	5	0.71	0.50	25	1550
44	7	14	6.52	5.50	15	1600
45	7	14	6.52	5.50	16	1600
46	6	12	5.00	4.00	17	1600
47	6	12	5.00	4.00	18	1600
48	6	12	5.00	4.00	19	1600
49	6	11	4.30	3.50	20	1600
50	6	9	2.92	2.50	21	1600
51	5	8	2.12	1.50	22	1600
52	4	7	1.58	1.50	23	1600
53	4	6	1.00	1.00	24	1600
54	4	5	0.71	0.50	25	1600
55	7	14	6.52	5.50	15	1650
56	7	14	6.52	5.50	16	1650
57	6	12	5.00	4.00	17	1650
58	6	12	5.00	4.00	18	1650
59	6	12	5.00	4.00	19	1650
60	6	11	4.30	3.50	20	1650
61	6	9	2.92	2.50	21	1650
62	5	8	2.12	1.50	22	1650
63	4	7	1.58	1.50	23	1650
64	4	6	1.00	1.00	24	1650
65	4	5	0.71	0.50	25	1650
66	7	14	6.52	5.50	15	1700
67	7	14	6.52	5.50	16	1700
68	6	12	5.00	4.00	17	1700
69	6	12	5.00	4.00	18	1700
70	6	12	5.00	4.00	19	1700
71	6	11	4.30	3.50	20	1700
72	6	9	2.92	2.50	21	1700
73	5	8	2.12	1.50	22	1700
74	4	7	1.58	1.50	23	1700
75	4	6	1.00	1.00	24	1700
76	4	5	0.71	0.50	25	1700
77	7	14	6.52	5.50	15	1750
78	7	14	6.52	5.50	16	1750
79	6	12	5.00	4.00	17	1750
80	6	12	5.00	4.00	18	1750
81	6	12	5.00	4.00	19	1750
82	6	11	4.30	3.50	20	1750
83	6	9	2.92	2.50	21	1750
84	5	8	2.12	1.50	22	1750
85	4	7	1.58	1.50	23	1750
86	4	6	1.00	1.00	24	1750
87	4	5	0.71	0.50	25	1750
88	7	14	6.52	5.50	15	1800
89	7	14	6.52	5.50	16	1800
90	6	12	5.00	4.00	17	1800
91	6	12	5.00	4.00	18	1800
92	6	12	5.00	4.00	19	1800
93	6	11	4.30	3.50	20	1800
94	6	9	2.92	2.50	21	1800
95	5	8	2.12	1.50	22	1800
96	4	7	1.58	1.50	23	1800
97	4	6	1.00	1.00	24	1800
98	4	5	0.71	0.50	25	1800
99	7	14	6.52	5.50	15	1850
100	7	14	6.52	5.50	16	1850
101	6	12	5.00	4.00	17	1850
102	6	12	5.00	4.00	18	1850
103	6	12	5.00	4.00	19	1850
104	6	11	4.30	3.50	20	1850
105	6	9	2.92	2.50	21	1850
106	5	8	2.12	1.50	22	1850
107	4	7	1.58	1.50	23	1850
108	4	6	1.00	1.00	24	1850
109	4	5	0.71	0.50	25	1850
110	7	14	6.52	5.50	15	1900
111	7	14	6.52	5.50	16	1900
112	6	12	5.00	4.00	17	1900
113	6	12	5.00	4.00	18	1900
114	6	12	5.00	4.00	19	1900
115	6	11	4.30	3.50	20	1900
116	6	9	2.92	2.50	21	1900
117	5	8	2.12	1.50	22	1900
118	4	7	1.58	1.50	23	1900
119	4	6	1.00	1.00	24	1900
120	4	5	0.71	0.50	25	1900
121	7	14	6.52	5.50	15	1950
122	7	14	6.52	5.50	16	1950
123	6	12	5.00	4.00	17	1950
124	6	12	5.00	4.00	18	1950
125	6	12	5.00	4.00	19	1950
126	6	11	4.30	3.50	20	1950
127	6	9	2.92	2.50	21	1950
128	5	8	2.12	1.50	22	1950
129	4	7	1.58	1.50	23	1950
130	4	6	1.00	1.00	24	1950
131	4	5	0.71	0.50	25	1950
132	7	14	6.52	5.50	15	2000
133	7	14	6.52	5.50	16	2000
134	6	12	5.00	4.00	17	2000
135	6	12	5.00	4.00	18	2000
136	6	12	5.00	4.00	19	2000
137	6	11	4.30	3.50	20	2000
138	6	9	2.92	2.50	21	2000
139	5	8	2.12	1.50	22	2000
140	4	7	1.58	1.50	23	2000
141	4	6	1.00	1.00	24	2000
142	4	5	0.71	0.50	25	2000
