	IN	OUT	RMSE	MAE	ACC. IN	ACC. OUT	span	delta
0	4	8	0.71	0.50	100.00	114.29	800	1200
1	4	8	0.71	0.50	100.00	114.29	850	1200
2	4	8	0.71	0.50	100.00	114.29	900	1200
3	4	8	0.71	0.50	100.00	114.29	950	1200
4	4	8	0.71	0.50	100.00	114.29	1000	1200
5	4	8	0.71	0.50	100.00	114.29	1050	1200
6	4	8	0.71	0.50	100.00	114.29	1100	1200
7	4	8	0.71	0.50	100.00	114.29	1150	1200
8	4	8	0.71	0.50	100.00	114.29	1200	1200
9	4	8	0.71	0.50	100.00	114.29	800	1250
10	4	8	0.71	0.50	100.00	114.29	850	1250
11	4	8	0.71	0.50	100.00	114.29	900	1250
12	4	8	0.71	0.50	100.00	114.29	950	1250
13	4	8	0.71	0.50	100.00	114.29	1000	1250
14	4	8	0.71	0.50	100.00	114.29	1050	1250
15	4	8	0.71	0.50	100.00	114.29	1100	1250
16	4	8	0.71	0.50	100.00	114.29	1150	1250
17	4	8	0.71	0.50	100.00	114.29	1200	1250
18	4	8	0.71	0.50	100.00	114.29	800	1300
19	4	8	0.71	0.50	100.00	114.29	850	1300
20	4	8	0.71	0.50	100.00	114.29	900	1300
21	4	8	0.71	0.50	100.00	114.29	950	1300
22	4	8	0.71	0.50	100.00	114.29	1000	1300
23	4	8	0.71	0.50	100.00	114.29	1050	1300
24	4	8	0.71	0.50	100.00	114.29	1100	1300
25	4	8	0.71	0.50	100.00	114.29	1150	1300
26	4	8	0.71	0.50	100.00	114.29	1200	1300
27	4	8	0.71	0.50	100.00	114.29	800	1350
28	4	8	0.71	0.50	100.00	114.29	850	1350
29	4	8	0.71	0.50	100.00	114.29	900	1350
30	4	8	0.71	0.50	100.00	114.29	950	1350
31	4	8	0.71	0.50	100.00	114.29	1000	1350
32	4	8	0.71	0.50	100.00	114.29	1050	1350
33	4	8	0.71	0.50	100.00	114.29	1100	1350
34	4	8	0.71	0.50	100.00	114.29	1150	1350
35	4	8	0.71	0.50	100.00	114.29	1200	1350
36	4	8	0.71	0.50	100.00	114.29	800	1400
37	4	8	0.71	0.50	100.00	114.29	850	1400
38	4	8	0.71	0.50	100.00	114.29	900	1400
39	4	8	0.71	0.50	100.00	114.29	950	1400
40	4	8	0.71	0.50	100.00	114.29	1000	1400
41	4	8	0.71	0.50	100.00	114.29	1050	1400
42	4	8	0.71	0.50	100.00	114.29	1100	1400
43	4	8	0.71	0.50	100.00	114.29	1150	1400
44	4	8	0.71	0.50	100.00	114.29	1200	1400
45	4	8	0.71	0.50	100.00	114.29	800	1450
46	4	8	0.71	0.50	100.00	114.29	850	1450
47	4	8	0.71	0.50	100.00	114.29	900	1450
48	4	8	0.71	0.50	100.00	114.29	950	1450
49	4	8	0.71	0.50	100.00	114.29	1000	1450
50	4	8	0.71	0.50	100.00	114.29	1050	1450
51	4	8	0.71	0.50	100.00	114.29	1100	1450
52	4	8	0.71	0.50	100.00	114.29	1150	1450
53	4	8	0.71	0.50	100.00	114.29	1200	1450
54	4	8	0.71	0.50	100.00	114.29	800	1500
55	4	8	0.71	0.50	100.00	114.29	850	1500
56	4	8	0.71	0.50	100.00	114.29	900	1500
57	4	8	0.71	0.50	100.00	114.29	950	1500
58	4	8	0.71	0.50	100.00	114.29	1000	1500
59	4	8	0.71	0.50	100.00	114.29	1050	1500
60	4	8	0.71	0.50	100.00	114.29	1100	1500
61	4	8	0.71	0.50	100.00	114.29	1150	1500
62	4	8	0.71	0.50	100.00	114.29	1200	1500
63	4	8	0.71	0.50	100.00	114.29	800	1550
64	4	8	0.71	0.50	100.00	114.29	850	1550
65	4	8	0.71	0.50	100.00	114.29	900	1550
66	4	8	0.71	0.50	100.00	114.29	950	1550
67	4	8	0.71	0.50	100.00	114.29	1000	1550
68	4	8	0.71	0.50	100.00	114.29	1050	1550
69	4	8	0.71	0.50	100.00	114.29	1100	1550
70	4	8	0.71	0.50	100.00	114.29	1150	1550
71	4	8	0.71	0.50	100.00	114.29	1200	1550
72	4	8	0.71	0.50	100.00	114.29	800	1600
73	4	8	0.71	0.50	100.00	114.29	850	1600
74	4	8	0.71	0.50	100.00	114.29	900	1600
75	4	8	0.71	0.50	100.00	114.29	950	1600
76	4	8	0.71	0.50	100.00	114.29	1000	1600
77	4	8	0.71	0.50	100.00	114.29	1050	1600
78	4	8	0.71	0.50	100.00	114.29	1100	1600
79	4	8	0.71	0.50	100.00	114.29	1150	1600
80	4	8	0.71	0.50	100.00	114.29	1200	1600
81	4	8	0.71	0.50	100.00	114.29	800	1650
82	4	8	0.71	0.50	100.00	114.29	850	1650
83	4	8	0.71	0.50	100.00	114.29	900	1650
84	4	8	0.71	0.50	100.00	114.29	950	1650
85	4	8	0.71	0.50	100.00	114.29	1000	1650
86	4	8	0.71	0.50	100.00	114.29	1050	1650
87	4	8	0.71	0.50	100.00	114.29	1100	1650
88	4	8	0.71	0.50	100.00	114.29	1150	1650
89	4	8	0.71	0.50	100.00	114.29	1200	1650
90	4	8	0.71	0.50	100.00	114.29	800	1700
91	4	8	0.71	0.50	100.00	114.29	850	1700
92	4	8	0.71	0.50	100.00	114.29	900	1700
93	4	8	0.71	0.50	100.00	114.29	950	1700
94	4	8	0.71	0.50	100.00	114.29	1000	1700
95	4	8	0.71	0.50	100.00	114.29	1050	1700
96	4	8	0.71	0.50	100.00	114.29	1100	1700
97	4	8	0.71	0.50	100.00	114.29	1150	1700
98	4	8	0.71	0.50	100.00	114.29	1200	1700
