	IN	OUT	RMSE	MAE	span	delta
0	9	9	0.71	0.50	800	1200
1	9	9	0.71	0.50	850	1200
2	9	9	0.71	0.50	900	1200
3	9	9	0.71	0.50	950	1200
4	9	9	0.71	0.50	1000	1200
5	9	9	0.71	0.50	1050	1200
6	9	9	0.71	0.50	1100	1200
7	9	9	0.71	0.50	1150	1200
8	9	9	0.71	0.50	1200	1200
9	9	9	0.71	0.50	800	1250
10	9	9	0.71	0.50	850	1250
11	9	9	0.71	0.50	900	1250
12	9	9	0.71	0.50	950	1250
13	9	9	0.71	0.50	1000	1250
14	9	9	0.71	0.50	1050	1250
15	9	9	0.71	0.50	1100	1250
16	9	9	0.71	0.50	1150	1250
17	9	9	0.71	0.50	1200	1250
18	9	9	0.71	0.50	800	1300
19	9	9	0.71	0.50	850	1300
20	9	9	0.71	0.50	900	1300
21	9	9	0.71	0.50	950	1300
22	9	9	0.71	0.50	1000	1300
23	9	9	0.71	0.50	1050	1300
24	9	9	0.71	0.50	1100	1300
25	9	9	0.71	0.50	1150	1300
26	9	9	0.71	0.50	1200	1300
27	9	9	0.71	0.50	800	1350
28	9	9	0.71	0.50	850	1350
29	9	9	0.71	0.50	900	1350
30	9	9	0.71	0.50	950	1350
31	9	9	0.71	0.50	1000	1350
32	9	9	0.71	0.50	1050	1350
33	9	9	0.71	0.50	1100	1350
34	9	9	0.71	0.50	1150	1350
35	9	9	0.71	0.50	1200	1350
36	9	9	0.71	0.50	800	1400
37	9	9	0.71	0.50	850	1400
38	9	9	0.71	0.50	900	1400
39	9	9	0.71	0.50	950	1400
40	9	9	0.71	0.50	1000	1400
41	9	9	0.71	0.50	1050	1400
42	9	9	0.71	0.50	1100	1400
43	9	9	0.71	0.50	1150	1400
44	9	9	0.71	0.50	1200	1400
45	9	9	0.71	0.50	800	1450
46	9	9	0.71	0.50	850	1450
47	9	9	0.71	0.50	900	1450
48	9	9	0.71	0.50	950	1450
49	9	9	0.71	0.50	1000	1450
50	9	9	0.71	0.50	1050	1450
51	9	9	0.71	0.50	1100	1450
52	9	9	0.71	0.50	1150	1450
53	9	9	0.71	0.50	1200	1450
54	9	9	0.71	0.50	800	1500
55	9	9	0.71	0.50	850	1500
56	9	9	0.71	0.50	900	1500
57	9	9	0.71	0.50	950	1500
58	9	9	0.71	0.50	1000	1500
59	9	9	0.71	0.50	1050	1500
60	9	9	0.71	0.50	1100	1500
61	9	9	0.71	0.50	1150	1500
62	9	9	0.71	0.50	1200	1500
63	9	9	0.71	0.50	800	1550
64	9	9	0.71	0.50	850	1550
65	9	9	0.71	0.50	900	1550
66	9	9	0.71	0.50	950	1550
67	9	9	0.71	0.50	1000	1550
68	9	9	0.71	0.50	1050	1550
69	9	9	0.71	0.50	1100	1550
70	9	9	0.71	0.50	1150	1550
71	9	9	0.71	0.50	1200	1550
72	9	9	0.71	0.50	800	1600
73	9	9	0.71	0.50	850	1600
74	9	9	0.71	0.50	900	1600
75	9	9	0.71	0.50	950	1600
76	9	9	0.71	0.50	1000	1600
77	9	9	0.71	0.50	1050	1600
78	9	9	0.71	0.50	1100	1600
79	9	9	0.71	0.50	1150	1600
80	9	9	0.71	0.50	1200	1600
81	9	9	0.71	0.50	800	1650
82	9	9	0.71	0.50	850	1650
83	9	9	0.71	0.50	900	1650
84	9	9	0.71	0.50	950	1650
85	9	9	0.71	0.50	1000	1650
86	9	9	0.71	0.50	1050	1650
87	9	9	0.71	0.50	1100	1650
88	9	9	0.71	0.50	1150	1650
89	9	9	0.71	0.50	1200	1650
90	9	9	0.71	0.50	800	1700
91	9	9	0.71	0.50	850	1700
92	9	9	0.71	0.50	900	1700
93	9	9	0.71	0.50	950	1700
94	9	9	0.71	0.50	1000	1700
95	9	9	0.71	0.50	1050	1700
96	9	9	0.71	0.50	1100	1700
97	9	9	0.71	0.50	1150	1700
98	9	9	0.71	0.50	1200	1700
