	IN	OUT	RMSE	MAE	ACC. IN	ACC. OUT	enough_zero	delta
117	8	6	1.00	1.00	87.50	62.50	18	1500
118	8	6	1.00	1.00	87.50	62.50	19	1500
119	5	5	1.41	1.00	71.43	71.43	20	1500
120	5	5	1.41	1.00	71.43	71.43	21	1500
121	3	5	2.83	2.00	42.86	42.86	22	1500
122	3	5	2.83	2.00	42.86	42.86	23	1500
123	3	5	2.83	2.00	42.86	42.86	24	1500
124	3	4	2.92	2.50	42.86	42.86	25	1500
125	3	2	3.54	3.50	42.86	42.86	26	1500
126	3	2	3.54	3.50	42.86	42.86	27	1500
127	3	2	3.54	3.50	42.86	42.86	28	1500
128	3	2	3.54	3.50	42.86	42.86	29	1500
129	2	2	4.12	4.00	28.57	28.57	30	1500
130	2	2	4.12	4.00	28.57	28.57	31	1500
131	0	1	5.70	5.50	0.00	0.00	32	1500
132	0	0	6.08	6.00	0.00	0.00	33	1500
133	8	9	2.92	2.50	87.50	62.50	15	1550
134	8	6	1.00	1.00	87.50	62.50	16	1550
135	8	6	1.00	1.00	87.50	62.50	17	1550
136	8	6	1.00	1.00	87.50	62.50	18	1550
137	8	6	1.00	1.00	87.50	62.50	19	1550
138	5	5	1.41	1.00	71.43	71.43	20	1550
139	5	5	1.41	1.00	71.43	71.43	21	1550
140	3	5	2.83	2.00	42.86	42.86	22	1550
141	3	5	2.83	2.00	42.86	42.86	23	1550
142	3	5	2.83	2.00	42.86	42.86	24	1550
143	3	4	2.92	2.50	42.86	42.86	25	1550
144	3	2	3.54	3.50	42.86	42.86	26	1550
145	3	2	3.54	3.50	42.86	42.86	27	1550
146	3	2	3.54	3.50	42.86	42.86	28	1550
147	3	2	3.54	3.50	42.86	42.86	29	1550
148	2	2	4.12	4.00	28.57	28.57	30	1550
149	2	2	4.12	4.00	28.57	28.57	31	1550
150	0	1	5.70	5.50	0.00	0.00	32	1550
151	0	0	6.08	6.00	0.00	0.00	33	1550
152	8	9	2.92	2.50	87.50	62.50	15	1600
153	8	6	1.00	1.00	87.50	62.50	16	1600
154	8	6	1.00	1.00	87.50	62.50	17	1600
155	8	6	1.00	1.00	87.50	62.50	18	1600
156	8	6	1.00	1.00	87.50	62.50	19	1600
157	5	5	1.41	1.00	71.43	71.43	20	1600
158	5	5	1.41	1.00	71.43	71.43	21	1600
159	3	5	2.83	2.00	42.86	42.86	22	1600
160	3	5	2.83	2.00	42.86	42.86	23	1600
161	3	5	2.83	2.00	42.86	42.86	24	1600
162	3	4	2.92	2.50	42.86	42.86	25	1600
163	3	2	3.54	3.50	42.86	42.86	26	1600
164	3	2	3.54	3.50	42.86	42.86	27	1600
165	3	2	3.54	3.50	42.86	42.86	28	1600
166	3	2	3.54	3.50	42.86	42.86	29	1600
167	2	2	4.12	4.00	28.57	28.57	30	1600
168	2	2	4.12	4.00	28.57	28.57	31	1600
169	0	1	5.70	5.50	0.00	0.00	32	1600
170	0	0	6.08	6.00	0.00	0.00	33	1600
171	8	9	2.92	2.50	87.50	62.50	15	1650
172	8	6	1.00	1.00	87.50	62.50	16	1650
173	8	6	1.00	1.00	87.50	62.50	17	1650
174	8	6	1.00	1.00	87.50	62.50	18	1650
175	8	6	1.00	1.00	87.50	62.50	19	1650
176	5	5	1.41	1.00	71.43	71.43	20	1650
177	5	5	1.41	1.00	71.43	71.43	21	1650
178	3	5	2.83	2.00	42.86	42.86	22	1650
179	3	5	2.83	2.00	42.86	42.86	23	1650
180	3	5	2.83	2.00	42.86	42.86	24	1650
181	3	4	2.92	2.50	42.86	42.86	25	1650
182	3	2	3.54	3.50	42.86	42.86	26	1650
183	3	2	3.54	3.50	42.86	42.86	27	1650
184	3	2	3.54	3.50	42.86	42.86	28	1650
185	3	2	3.54	3.50	42.86	42.86	29	1650
186	2	2	4.12	4.00	28.57	28.57	30	1650
187	2	2	4.12	4.00	28.57	28.57	31	1650
188	0	1	5.70	5.50	0.00	0.00	32	1650
189	0	0	6.08	6.00	0.00	0.00	33	1650
190	8	9	2.92	2.50	87.50	62.50	15	1700
191	8	6	1.00	1.00	87.50	62.50	16	1700
192	8	6	1.00	1.00	87.50	62.50	17	1700
193	8	6	1.00	1.00	87.50	62.50	18	1700
194	8	6	1.00	1.00	87.50	62.50	19	1700
195	5	5	1.41	1.00	71.43	71.43	20	1700
196	5	5	1.41	1.00	71.43	71.43	21	1700
197	3	5	2.83	2.00	42.86	42.86	22	1700
