	IN	OUT	RMSE	MAE	ACC. IN	ACC. OUT	span	delta
0	5	2	2.55	2.50	71.43	71.43	700	1200
1	5	2	2.55	2.50	71.43	71.43	750	1200
2	5	2	2.55	2.50	71.43	71.43	800	1200
3	5	2	2.55	2.50	71.43	71.43	850	1200
4	5	2	2.55	2.50	71.43	71.43	900	1200
5	5	2	2.55	2.50	71.43	71.43	950	1200
6	5	2	2.55	2.50	71.43	71.43	1000	1200
7	5	2	2.55	2.50	71.43	71.43	1050	1200
8	5	2	2.55	2.50	71.43	71.43	1100	1200
9	5	2	2.55	2.50	71.43	71.43	1150	1200
10	5	2	2.55	2.50	71.43	71.43	1200	1200
11	5	3	2.00	2.00	71.43	71.43	700	1250
12	5	3	2.00	2.00	71.43	71.43	750	1250
13	5	3	2.00	2.00	71.43	71.43	800	1250
14	5	3	2.00	2.00	71.43	71.43	850	1250
15	5	3	2.00	2.00	71.43	71.43	900	1250
16	5	3	2.00	2.00	71.43	71.43	950	1250
17	5	3	2.00	2.00	71.43	71.43	1000	1250
18	5	3	2.00	2.00	71.43	71.43	1050	1250
19	5	3	2.00	2.00	71.43	71.43	1100	1250
20	5	3	2.00	2.00	71.43	71.43	1150	1250
21	5	3	2.00	2.00	71.43	71.43	1200	1250
22	5	3	2.00	2.00	71.43	71.43	700	1300
23	5	3	2.00	2.00	71.43	71.43	750	1300
24	5	3	2.00	2.00	71.43	71.43	800	1300
25	5	3	2.00	2.00	71.43	71.43	850	1300
26	5	3	2.00	2.00	71.43	71.43	900	1300
27	5	3	2.00	2.00	71.43	71.43	950	1300
28	5	3	2.00	2.00	71.43	71.43	1000	1300
29	5	3	2.00	2.00	71.43	71.43	1050	1300
30	5	3	2.00	2.00	71.43	71.43	1100	1300
31	5	3	2.00	2.00	71.43	71.43	1150	1300
32	5	3	2.00	2.00	71.43	71.43	1200	1300
33	5	3	2.00	2.00	71.43	71.43	700	1350
34	5	3	2.00	2.00	71.43	71.43	750	1350
35	5	3	2.00	2.00	71.43	71.43	800	1350
36	5	3	2.00	2.00	71.43	71.43	850	1350
37	5	3	2.00	2.00	71.43	71.43	900	1350
38	5	3	2.00	2.00	71.43	71.43	950	1350
39	5	3	2.00	2.00	71.43	71.43	1000	1350
40	5	3	2.00	2.00	71.43	71.43	1050	1350
41	5	3	2.00	2.00	71.43	71.43	1100	1350
42	5	3	2.00	2.00	71.43	71.43	1150	1350
43	5	3	2.00	2.00	71.43	71.43	1200	1350
44	5	3	2.00	2.00	71.43	71.43	700	1400
45	5	3	2.00	2.00	71.43	71.43	750	1400
46	5	3	2.00	2.00	71.43	71.43	800	1400
47	5	3	2.00	2.00	71.43	71.43	850	1400
48	5	3	2.00	2.00	71.43	71.43	900	1400
49	5	3	2.00	2.00	71.43	71.43	950	1400
50	5	3	2.00	2.00	71.43	71.43	1000	1400
51	5	3	2.00	2.00	71.43	71.43	1050	1400
52	5	3	2.00	2.00	71.43	71.43	1100	1400
53	5	3	2.00	2.00	71.43	71.43	1150	1400
54	5	3	2.00	2.00	71.43	71.43	1200	1400
55	5	3	2.00	2.00	71.43	71.43	700	1450
56	5	3	2.00	2.00	71.43	71.43	750	1450
57	5	3	2.00	2.00	71.43	71.43	800	1450
58	5	3	2.00	2.00	71.43	71.43	850	1450
59	5	3	2.00	2.00	71.43	71.43	900	1450
60	5	3	2.00	2.00	71.43	71.43	950	1450
61	5	3	2.00	2.00	71.43	71.43	1000	1450
62	5	3	2.00	2.00	71.43	71.43	1050	1450
63	5	3	2.00	2.00	71.43	71.43	1100	1450
64	5	3	2.00	2.00	71.43	71.43	1150	1450
65	5	3	2.00	2.00	71.43	71.43	1200	1450
66	5	3	2.00	2.00	71.43	71.43	700	1500
67	5	3	2.00	2.00	71.43	71.43	750	1500
68	5	3	2.00	2.00	71.43	71.43	800	1500
69	5	3	2.00	2.00	71.43	71.43	850	1500
70	5	3	2.00	2.00	71.43	71.43	900	1500
71	5	3	2.00	2.00	71.43	71.43	950	1500
72	5	3	2.00	2.00	71.43	71.43	1000	1500
73	5	3	2.00	2.00	71.43	71.43	1050	1500
74	5	3	2.00	2.00	71.43	71.43	1100	1500
75	5	3	2.00	2.00	71.43	71.43	1150	1500
76	5	3	2.00	2.00	71.43	71.43	1200	1500
77	5	3	2.00	2.00	71.43	71.43	700	1550
78	5	3	2.00	2.00	71.43	71.43	750	1550
79	5	3	2.00	2.00	71.43	71.43	800	1550
80	5	3	2.00	2.00	71.43	71.43	850	1550
81	5	3	2.00	2.00	71.43	71.43	900	1550
82	5	3	2.00	2.00	71.43	71.43	950	1550
83	5	3	2.00	2.00	71.43	71.43	1000	1550
84	5	3	2.00	2.00	71.43	71.43	1050	1550
85	5	3	2.00	2.00	71.43	71.43	1100	1550
86	5	3	2.00	2.00	71.43	71.43	1150	1550
87	5	3	2.00	2.00	71.43	71.43	1200	1550
88	6	4	1.00	1.00	85.71	85.71	700	1600
89	6	4	1.00	1.00	85.71	85.71	750	1600
90	6	4	1.00	1.00	85.71	85.71	800	1600
91	6	4	1.00	1.00	85.71	85.71	850	1600
92	6	4	1.00	1.00	85.71	85.71	900	1600
93	6	4	1.00	1.00	85.71	85.71	950	1600
94	6	4	1.00	1.00	85.71	85.71	1000	1600
95	6	4	1.00	1.00	85.71	85.71	1050	1600
96	6	4	1.00	1.00	85.71	85.71	1100	1600
97	6	4	1.00	1.00	85.71	85.71	1150	1600
98	6	4	1.00	1.00	85.71	85.71	1200	1600
99	6	4	1.00	1.00	85.71	85.71	700	1650
100	6	4	1.00	1.00	85.71	85.71	750	1650
101	6	4	1.00	1.00	85.71	85.71	800	1650
102	6	4	1.00	1.00	85.71	85.71	850	1650
103	6	4	1.00	1.00	85.71	85.71	900	1650
104	6	4	1.00	1.00	85.71	85.71	950	1650
105	6	4	1.00	1.00	85.71	85.71	1000	1650
106	6	4	1.00	1.00	85.71	85.71	1050	1650
107	6	4	1.00	1.00	85.71	85.71	1100	1650
108	6	4	1.00	1.00	85.71	85.71	1150	1650
109	6	4	1.00	1.00	85.71	85.71	1200	1650
110	6	4	1.00	1.00	85.71	85.71	700	1700
111	6	4	1.00	1.00	85.71	85.71	750	1700
112	6	4	1.00	1.00	85.71	85.71	800	1700
113	6	4	1.00	1.00	85.71	85.71	850	1700
114	6	4	1.00	1.00	85.71	85.71	900	1700
115	6	4	1.00	1.00	85.71	85.71	950	1700
116	6	4	1.00	1.00	85.71	85.71	1000	1700
117	6	4	1.00	1.00	85.71	85.71	1050	1700
118	6	4	1.00	1.00	85.71	85.71	1100	1700
119	6	4	1.00	1.00	85.71	85.71	1150	1700
120	6	4	1.00	1.00	85.71	85.71	1200	1700
121	6	4	1.00	1.00	85.71	85.71	700	1750
122	6	4	1.00	1.00	85.71	85.71	750	1750
123	6	4	1.00	1.00	85.71	85.71	800	1750
124	6	4	1.00	1.00	85.71	85.71	850	1750
125	6	4	1.00	1.00	85.71	85.71	900	1750
126	6	4	1.00	1.00	85.71	85.71	950	1750
127	6	4	1.00	1.00	85.71	85.71	1000	1750
128	6	4	1.00	1.00	85.71	85.71	1050	1750
129	6	4	1.00	1.00	85.71	85.71	1100	1750
130	6	4	1.00	1.00	85.71	85.71	1150	1750
131	6	4	1.00	1.00	85.71	85.71	1200	1750
132	6	4	1.00	1.00	85.71	85.71	700	1800
133	6	4	1.00	1.00	85.71	85.71	750	1800
134	6	4	1.00	1.00	85.71	85.71	800	1800
135	6	4	1.00	1.00	85.71	85.71	850	1800
136	6	4	1.00	1.00	85.71	85.71	900	1800
137	6	4	1.00	1.00	85.71	85.71	950	1800
138	6	4	1.00	1.00	85.71	85.71	1000	1800
139	6	4	1.00	1.00	85.71	85.71	1050	1800
140	6	4	1.00	1.00	85.71	85.71	1100	1800
141	6	4	1.00	1.00	85.71	85.71	1150	1800
142	6	4	1.00	1.00	85.71	85.71	1200	1800
143	6	4	1.00	1.00	85.71	85.71	700	1850
144	6	4	1.00	1.00	85.71	85.71	750	1850
145	6	4	1.00	1.00	85.71	85.71	800	1850
146	6	4	1.00	1.00	85.71	85.71	850	1850
147	6	4	1.00	1.00	85.71	85.71	900	1850
148	6	4	1.00	1.00	85.71	85.71	950	1850
149	6	4	1.00	1.00	85.71	85.71	1000	1850
150	6	4	1.00	1.00	85.71	85.71	1050	1850
151	6	4	1.00	1.00	85.71	85.71	1100	1850
152	6	4	1.00	1.00	85.71	85.71	1150	1850
153	6	4	1.00	1.00	85.71	85.71	1200	1850
154	6	4	1.00	1.00	85.71	85.71	700	1900
155	6	4	1.00	1.00	85.71	85.71	750	1900
156	6	4	1.00	1.00	85.71	85.71	800	1900
157	6	4	1.00	1.00	85.71	85.71	850	1900
158	6	4	1.00	1.00	85.71	85.71	900	1900
159	6	4	1.00	1.00	85.71	85.71	950	1900
160	6	4	1.00	1.00	85.71	85.71	1000	1900
161	6	4	1.00	1.00	85.71	85.71	1050	1900
162	6	4	1.00	1.00	85.71	85.71	1100	1900
163	6	4	1.00	1.00	85.71	85.71	1150	1900
164	6	4	1.00	1.00	85.71	85.71	1200	1900
