	REAL IN	IN	REAL OUT	OUT	RMSE	MAE	ACC. IN	ACC.OUT	span	delta
0	2	1	0	0	0.71	0.50	NaN	NaN	800	900
1	2	1	0	0	0.71	0.50	NaN	NaN	850	900
2	2	1	0	0	0.71	0.50	NaN	NaN	900	900
3	2	1	0	0	0.71	0.50	NaN	NaN	950	900
4	2	1	0	0	0.71	0.50	NaN	NaN	1000	900
5	2	1	0	0	0.71	0.50	NaN	NaN	800	950
6	2	1	0	0	0.71	0.50	NaN	NaN	850	950
7	2	1	0	0	0.71	0.50	NaN	NaN	900	950
8	2	1	0	0	0.71	0.50	NaN	NaN	950	950
9	2	1	0	0	0.71	0.50	NaN	NaN	1000	950
10	2	1	0	0	0.71	0.50	NaN	NaN	800	1000
11	2	1	0	0	0.71	0.50	NaN	NaN	850	1000
12	2	1	0	0	0.71	0.50	NaN	NaN	900	1000
13	2	1	0	0	0.71	0.50	NaN	NaN	950	1000
14	2	1	0	0	0.71	0.50	NaN	NaN	1000	1000
15	2	1	0	0	0.71	0.50	NaN	NaN	800	1050
16	2	1	0	0	0.71	0.50	NaN	NaN	850	1050
17	2	1	0	0	0.71	0.50	NaN	NaN	900	1050
18	2	1	0	0	0.71	0.50	NaN	NaN	950	1050
19	2	1	0	0	0.71	0.50	NaN	NaN	1000	1050
20	2	1	0	0	0.71	0.50	NaN	NaN	800	1100
21	2	1	0	0	0.71	0.50	NaN	NaN	850	1100
22	2	1	0	0	0.71	0.50	NaN	NaN	900	1100
23	2	1	0	0	0.71	0.50	NaN	NaN	950	1100
24	2	1	0	0	0.71	0.50	NaN	NaN	1000	1100
