	REAL IN	IN	REAL OUT	OUT	RMSE	MAE	ACC. IN	ACC.OUT	enough_zero	delta
0	2	6	2	4	3.16	3.00	-100.0	0.0	40	1000
1	2	6	2	4	3.16	3.00	-100.0	0.0	41	1000
2	2	5	2	4	2.55	2.50	-50.0	0.0	42	1000
3	2	5	2	4	2.55	2.50	-50.0	0.0	43	1000
4	2	5	2	4	2.55	2.50	-50.0	0.0	44	1000
5	2	5	2	3	2.24	2.00	-50.0	50.0	45	1000
6	2	5	2	3	2.24	2.00	-50.0	50.0	46	1000
7	2	5	2	3	2.24	2.00	-50.0	50.0	47	1000
8	2	5	2	3	2.24	2.00	-50.0	50.0	48	1000
9	2	4	2	2	1.41	1.00	0.0	100.0	49	1000
10	2	3	2	2	0.71	0.50	50.0	100.0	50	1000
11	2	7	2	4	3.81	3.50	-150.0	0.0	40	1050
12	2	7	2	4	3.81	3.50	-150.0	0.0	41	1050
13	2	6	2	4	3.16	3.00	-100.0	0.0	42	1050
14	2	6	2	4	3.16	3.00	-100.0	0.0	43	1050
15	2	6	2	4	3.16	3.00	-100.0	0.0	44	1050
16	2	6	2	3	2.92	2.50	-100.0	50.0	45	1050
17	2	6	2	3	2.92	2.50	-100.0	50.0	46	1050
18	2	6	2	3	2.92	2.50	-100.0	50.0	47	1050
19	2	6	2	3	2.92	2.50	-100.0	50.0	48	1050
20	2	5	2	2	2.12	1.50	-50.0	100.0	49	1050
21	2	3	2	2	0.71	0.50	50.0	100.0	50	1050
22	2	7	2	4	3.81	3.50	-150.0	0.0	40	1100
23	2	7	2	4	3.81	3.50	-150.0	0.0	41	1100
24	2	7	2	4	3.81	3.50	-150.0	0.0	42	1100
25	2	7	2	4	3.81	3.50	-150.0	0.0	43	1100
26	2	7	2	4	3.81	3.50	-150.0	0.0	44	1100
27	2	7	2	3	3.61	3.00	-150.0	50.0	45	1100
28	2	7	2	3	3.61	3.00	-150.0	50.0	46	1100
29	2	7	2	3	3.61	3.00	-150.0	50.0	47	1100
30	2	7	2	3	3.61	3.00	-150.0	50.0	48	1100
31	2	6	2	2	2.83	2.00	-100.0	100.0	49	1100
32	2	4	2	2	1.41	1.00	0.0	100.0	50	1100
33	2	7	2	4	3.81	3.50	-150.0	0.0	40	1150
34	2	7	2	4	3.81	3.50	-150.0	0.0	41	1150
35	2	7	2	4	3.81	3.50	-150.0	0.0	42	1150
36	2	7	2	4	3.81	3.50	-150.0	0.0	43	1150
37	2	7	2	4	3.81	3.50	-150.0	0.0	44	1150
38	2	7	2	3	3.61	3.00	-150.0	50.0	45	1150
39	2	7	2	3	3.61	3.00	-150.0	50.0	46	1150
40	2	7	2	3	3.61	3.00	-150.0	50.0	47	1150
41	2	7	2	3	3.61	3.00	-150.0	50.0	48	1150
42	2	6	2	2	2.83	2.00	-100.0	100.0	49	1150
43	2	4	2	2	1.41	1.00	0.0	100.0	50	1150
44	2	7	2	4	3.81	3.50	-150.0	0.0	40	1200
45	2	7	2	4	3.81	3.50	-150.0	0.0	41	1200
46	2	7	2	4	3.81	3.50	-150.0	0.0	42	1200
47	2	7	2	4	3.81	3.50	-150.0	0.0	43	1200
48	2	7	2	4	3.81	3.50	-150.0	0.0	44	1200
49	2	7	2	3	3.61	3.00	-150.0	50.0	45	1200
50	2	7	2	3	3.61	3.00	-150.0	50.0	46	1200
51	2	7	2	3	3.61	3.00	-150.0	50.0	47	1200
52	2	7	2	3	3.61	3.00	-150.0	50.0	48	1200
53	2	6	2	2	2.83	2.00	-100.0	100.0	49	1200
54	2	4	2	2	1.41	1.00	0.0	100.0	50	1200
55	2	7	2	4	3.81	3.50	-150.0	0.0	40	1250
56	2	7	2	4	3.81	3.50	-150.0	0.0	41	1250
57	2	7	2	4	3.81	3.50	-150.0	0.0	42	1250
58	2	7	2	4	3.81	3.50	-150.0	0.0	43	1250
59	2	7	2	4	3.81	3.50	-150.0	0.0	44	1250
60	2	7	2	3	3.61	3.00	-150.0	50.0	45	1250
61	2	7	2	3	3.61	3.00	-150.0	50.0	46	1250
62	2	7	2	3	3.61	3.00	-150.0	50.0	47	1250
63	2	7	2	3	3.61	3.00	-150.0	50.0	48	1250
64	2	6	2	2	2.83	2.00	-100.0	100.0	49	1250
65	2	4	2	2	1.41	1.00	0.0	100.0	50	1250
66	2	8	2	4	4.47	4.00	-200.0	0.0	40	1300
67	2	8	2	4	4.47	4.00	-200.0	0.0	41	1300
