['ip:e_', 8, 7, 6, 3]
['ip:e_', 7, 2, 5, 3]
['ip:e_', 5, 2, 7, 3]
['ip:e_', 7, 7, 7, 3]
['ip:e_', 13, 3, 8, 7]
['ip:e_', 6, 8, 9, 2]
['ip:e_', 9, 6, 8, 4]
['ip:e_', 7, 6, 15, 4]
['ip:e_', 9, 3, 2, 4]
['ip:e_', 7, 4, 9, 2]
['ip:e_', 10, 1, 5, 2]
['ip:e_', 5, 2, 4, 1]
['ip:e_', 6, 5, 8, 3]
['ip:e_', 12, 4, 7, 6]
['ip:e_', 5, 6, 10, 4]
['ip:e_', 8, 7, 6, 3]
['ip:e_', 7, 2, 5, 3]
['ip:e_', 5, 2, 7, 3]
['ip:e_', 7, 7, 7, 3]
['ip:e_', 13, 3, 8, 7]
['ip:e_', 6, 8, 9, 2]
['ip:e_', 9, 6, 8, 4]
['ip:e_', 7, 6, 15, 4]
['ip:e_', 9, 3, 2, 4]
['ip:e_', 7, 4, 9, 2]
['ip:e_', 10, 1, 5, 2]
['ip:e_', 5, 2, 4, 1]
['ip:e_', 6, 5, 8, 3]
['ip:e_', 12, 4, 7, 6]
['ip:e_', 5, 6, 10, 4]
['14:37', 8, 7, 6, 3]
['14:42', 7, 2, 5, 3]
['14:47', 5, 2, 7, 3]
['14:52', 7, 7, 7, 3]
['14:57', 13, 3, 8, 7]
['15:02', 6, 8, 9, 2]
['15:07', 9, 6, 8, 4]
['15:12', 7, 6, 15, 4]
['15:17', 9, 3, 2, 4]
['15:22', 7, 4, 9, 2]
['15:27', 10, 1, 5, 2]
['15:32', 5, 2, 4, 1]
['15:37', 6, 5, 8, 3]
['15:42', 12, 4, 7, 6]
['15:47', 5, 6, 10, 4]
['14:37', 8, 0, 6, 0]
['14:42', 7, 0, 5, 0]
['14:47', 5, 0, 7, 0]
['14:52', 7, 0, 7, 0]
['14:57', 13, 0, 8, 0]
['15:02', 6, 1, 9, 0]
['15:07', 9, 0, 8, 0]
['15:12', 7, 0, 15, 0]
['15:17', 9, 0, 2, 0]
['15:22', 7, 0, 9, 1]
['15:27', 10, 0, 5, 0]
['15:32', 5, 0, 4, 0]
['15:37', 6, 0, 8, 0]
['15:42', 12, 0, 7, 0]
['15:47', 5, 0, 10, 0]
['14:37', 8, 8, 6, 6]
['14:42', 7, 6, 5, 7]
['14:47', 5, 6, 7, 5]
['14:52', 7, 7, 7, 8]
['14:57', 13, 8, 8, 12]
['15:02', 6, 8, 9, 6]
['15:07', 9, 10, 8, 8]
['15:12', 7, 13, 15, 7]
['15:17', 9, 2, 2, 8]
['15:22', 7, 9, 9, 7]
['15:27', 10, 4, 5, 8]
['15:32', 5, 5, 4, 6]
['15:37', 6, 7, 8, 5]
['15:42', 12, 8, 7, 11]
['15:47', 5, 10, 10, 5]
