	IN	OUT	RMSE	MAE	span	delta
0	3	2	0.71	0.50	400	800
1	3	2	0.71	0.50	450	800
2	3	3	1.00	1.00	500	800
3	3	3	1.00	1.00	550	800
4	3	3	1.00	1.00	600	800
5	3	3	1.00	1.00	650	800
6	3	3	1.00	1.00	700	800
7	3	3	1.00	1.00	750	800
8	3	3	1.00	1.00	800	800
9	3	3	1.00	1.00	850	800
10	3	3	1.00	1.00	900	800
11	3	3	1.00	1.00	950	800
12	3	3	1.00	1.00	1000	800
13	3	3	1.00	1.00	1050	800
14	3	3	1.00	1.00	1100	800
15	4	3	1.58	1.50	1150	800
16	4	3	1.58	1.50	1200	800
17	3	2	0.71	0.50	400	850
18	3	2	0.71	0.50	450	850
19	3	3	1.00	1.00	500	850
20	3	3	1.00	1.00	550	850
21	3	3	1.00	1.00	600	850
22	3	3	1.00	1.00	650	850
23	3	3	1.00	1.00	700	850
24	3	3	1.00	1.00	750	850
25	3	3	1.00	1.00	800	850
26	3	3	1.00	1.00	850	850
27	3	3	1.00	1.00	900	850
28	3	3	1.00	1.00	950	850
29	3	3	1.00	1.00	1000	850
30	3	3	1.00	1.00	1050	850
31	3	3	1.00	1.00	1100	850
32	4	3	1.58	1.50	1150	850
33	4	3	1.58	1.50	1200	850
34	3	2	0.71	0.50	400	900
35	3	2	0.71	0.50	450	900
36	3	3	1.00	1.00	500	900
37	3	3	1.00	1.00	550	900
38	3	3	1.00	1.00	600	900
39	3	3	1.00	1.00	650	900
40	3	3	1.00	1.00	700	900
41	3	3	1.00	1.00	750	900
42	3	3	1.00	1.00	800	900
43	3	3	1.00	1.00	850	900
44	3	3	1.00	1.00	900	900
45	3	3	1.00	1.00	950	900
46	3	3	1.00	1.00	1000	900
47	3	3	1.00	1.00	1050	900
48	3	3	1.00	1.00	1100	900
49	4	3	1.58	1.50	1150	900
50	4	3	1.58	1.50	1200	900
51	3	2	0.71	0.50	400	950
52	3	2	0.71	0.50	450	950
53	3	3	1.00	1.00	500	950
54	3	3	1.00	1.00	550	950
55	3	3	1.00	1.00	600	950
56	3	3	1.00	1.00	650	950
57	3	3	1.00	1.00	700	950
58	3	3	1.00	1.00	750	950
59	3	3	1.00	1.00	800	950
60	3	3	1.00	1.00	850	950
61	3	3	1.00	1.00	900	950
62	3	3	1.00	1.00	950	950
63	3	3	1.00	1.00	1000	950
64	3	3	1.00	1.00	1050	950
65	3	3	1.00	1.00	1100	950
66	4	3	1.58	1.50	1150	950
67	4	3	1.58	1.50	1200	950
68	3	2	0.71	0.50	400	1000
69	3	2	0.71	0.50	450	1000
70	3	3	1.00	1.00	500	1000
71	3	3	1.00	1.00	550	1000
72	3	3	1.00	1.00	600	1000
73	3	3	1.00	1.00	650	1000
74	3	3	1.00	1.00	700	1000
75	3	3	1.00	1.00	750	1000
76	3	3	1.00	1.00	800	1000
77	3	3	1.00	1.00	850	1000
78	3	3	1.00	1.00	900	1000
79	3	3	1.00	1.00	950	1000
80	3	3	1.00	1.00	1000	1000
81	3	3	1.00	1.00	1050	1000
82	3	3	1.00	1.00	1100	1000
83	4	3	1.58	1.50	1150	1000
84	4	3	1.58	1.50	1200	1000
85	3	2	0.71	0.50	400	1050
86	3	2	0.71	0.50	450	1050
87	3	3	1.00	1.00	500	1050
88	3	3	1.00	1.00	550	1050
89	3	3	1.00	1.00	600	1050
90	3	3	1.00	1.00	650	1050
91	3	3	1.00	1.00	700	1050
92	3	3	1.00	1.00	750	1050
93	3	3	1.00	1.00	800	1050
94	3	3	1.00	1.00	850	1050
95	3	3	1.00	1.00	900	1050
96	3	3	1.00	1.00	950	1050
97	3	3	1.00	1.00	1000	1050
98	3	3	1.00	1.00	1050	1050
99	3	3	1.00	1.00	1100	1050
100	4	3	1.58	1.50	1150	1050
101	4	3	1.58	1.50	1200	1050
102	3	2	0.71	0.50	400	1100
103	3	2	0.71	0.50	450	1100
104	3	3	1.00	1.00	500	1100
105	3	3	1.00	1.00	550	1100
106	3	3	1.00	1.00	600	1100
107	3	3	1.00	1.00	650	1100
108	3	3	1.00	1.00	700	1100
109	3	3	1.00	1.00	750	1100
110	3	3	1.00	1.00	800	1100
111	3	3	1.00	1.00	850	1100
112	3	3	1.00	1.00	900	1100
113	3	3	1.00	1.00	950	1100
114	3	3	1.00	1.00	1000	1100
115	3	3	1.00	1.00	1050	1100
116	3	3	1.00	1.00	1100	1100
117	4	3	1.58	1.50	1150	1100
118	4	3	1.58	1.50	1200	1100
119	3	2	0.71	0.50	400	1150
120	3	2	0.71	0.50	450	1150
121	3	3	1.00	1.00	500	1150
122	3	3	1.00	1.00	550	1150
123	3	3	1.00	1.00	600	1150
124	3	3	1.00	1.00	650	1150
125	3	3	1.00	1.00	700	1150
126	3	3	1.00	1.00	750	1150
127	3	3	1.00	1.00	800	1150
128	3	3	1.00	1.00	850	1150
129	3	3	1.00	1.00	900	1150
130	3	3	1.00	1.00	950	1150
131	3	3	1.00	1.00	1000	1150
132	3	3	1.00	1.00	1050	1150
133	3	3	1.00	1.00	1100	1150
134	4	3	1.58	1.50	1150	1150
135	4	3	1.58	1.50	1200	1150
136	3	2	0.71	0.50	400	1200
137	3	2	0.71	0.50	450	1200
138	3	3	1.00	1.00	500	1200
139	3	3	1.00	1.00	550	1200
140	3	3	1.00	1.00	600	1200
141	3	3	1.00	1.00	650	1200
142	3	3	1.00	1.00	700	1200
143	3	3	1.00	1.00	750	1200
144	3	3	1.00	1.00	800	1200
145	3	3	1.00	1.00	850	1200
146	3	3	1.00	1.00	900	1200
147	3	3	1.00	1.00	950	1200
148	3	3	1.00	1.00	1000	1200
149	3	3	1.00	1.00	1050	1200
150	3	3	1.00	1.00	1100	1200
151	4	3	1.58	1.50	1150	1200
152	4	3	1.58	1.50	1200	1200
153	3	2	0.71	0.50	400	1250
154	3	2	0.71	0.50	450	1250
155	3	3	1.00	1.00	500	1250
156	3	3	1.00	1.00	550	1250
157	3	3	1.00	1.00	600	1250
158	3	3	1.00	1.00	650	1250
159	3	3	1.00	1.00	700	1250
160	3	3	1.00	1.00	750	1250
161	3	3	1.00	1.00	800	1250
162	3	3	1.00	1.00	850	1250
163	3	3	1.00	1.00	900	1250
164	3	3	1.00	1.00	950	1250
165	3	3	1.00	1.00	1000	1250
166	3	3	1.00	1.00	1050	1250
167	3	3	1.00	1.00	1100	1250
168	4	3	1.58	1.50	1150	1250
169	4	3	1.58	1.50	1200	1250
170	3	2	0.71	0.50	400	1300
171	3	2	0.71	0.50	450	1300
172	3	3	1.00	1.00	500	1300
173	3	3	1.00	1.00	550	1300
174	3	3	1.00	1.00	600	1300
175	3	3	1.00	1.00	650	1300
176	3	3	1.00	1.00	700	1300
177	3	3	1.00	1.00	750	1300
178	3	3	1.00	1.00	800	1300
179	3	3	1.00	1.00	850	1300
180	3	3	1.00	1.00	900	1300
181	3	3	1.00	1.00	950	1300
182	3	3	1.00	1.00	1000	1300
183	3	3	1.00	1.00	1050	1300
184	3	3	1.00	1.00	1100	1300
185	4	3	1.58	1.50	1150	1300
186	4	3	1.58	1.50	1200	1300
187	3	2	0.71	0.50	400	1350
188	3	2	0.71	0.50	450	1350
189	3	3	1.00	1.00	500	1350
190	3	3	1.00	1.00	550	1350
191	3	3	1.00	1.00	600	1350
192	3	3	1.00	1.00	650	1350
193	3	3	1.00	1.00	700	1350
194	3	3	1.00	1.00	750	1350
195	3	3	1.00	1.00	800	1350
196	3	3	1.00	1.00	850	1350
197	3	3	1.00	1.00	900	1350
198	3	3	1.00	1.00	950	1350
199	3	3	1.00	1.00	1000	1350
200	3	3	1.00	1.00	1050	1350
201	3	3	1.00	1.00	1100	1350
202	4	3	1.58	1.50	1150	1350
203	4	3	1.58	1.50	1200	1350
204	3	2	0.71	0.50	400	1400
205	3	2	0.71	0.50	450	1400
206	3	3	1.00	1.00	500	1400
207	3	3	1.00	1.00	550	1400
208	3	3	1.00	1.00	600	1400
209	3	3	1.00	1.00	650	1400
210	3	3	1.00	1.00	700	1400
211	3	3	1.00	1.00	750	1400
212	3	3	1.00	1.00	800	1400
213	3	3	1.00	1.00	850	1400
214	3	3	1.00	1.00	900	1400
215	3	3	1.00	1.00	950	1400
216	3	3	1.00	1.00	1000	1400
217	3	3	1.00	1.00	1050	1400
218	3	3	1.00	1.00	1100	1400
219	4	3	1.58	1.50	1150	1400
220	4	3	1.58	1.50	1200	1400
221	3	2	0.71	0.50	400	1450
222	3	2	0.71	0.50	450	1450
223	3	3	1.00	1.00	500	1450
224	3	3	1.00	1.00	550	1450
225	3	3	1.00	1.00	600	1450
226	3	3	1.00	1.00	650	1450
227	3	3	1.00	1.00	700	1450
228	3	3	1.00	1.00	750	1450
229	3	3	1.00	1.00	800	1450
230	3	3	1.00	1.00	850	1450
231	3	3	1.00	1.00	900	1450
232	3	3	1.00	1.00	950	1450
233	3	3	1.00	1.00	1000	1450
234	3	3	1.00	1.00	1050	1450
235	3	3	1.00	1.00	1100	1450
236	4	3	1.58	1.50	1150	1450
237	4	3	1.58	1.50	1200	1450
238	3	2	0.71	0.50	400	1500
239	3	2	0.71	0.50	450	1500
240	3	3	1.00	1.00	500	1500
241	3	3	1.00	1.00	550	1500
242	3	3	1.00	1.00	600	1500
243	3	3	1.00	1.00	650	1500
244	3	3	1.00	1.00	700	1500
245	3	3	1.00	1.00	750	1500
246	3	3	1.00	1.00	800	1500
247	3	3	1.00	1.00	850	1500
248	3	3	1.00	1.00	900	1500
249	3	3	1.00	1.00	950	1500
250	3	3	1.00	1.00	1000	1500
251	3	3	1.00	1.00	1050	1500
252	3	3	1.00	1.00	1100	1500
253	4	3	1.58	1.50	1150	1500
254	4	3	1.58	1.50	1200	1500
255	3	2	0.71	0.50	400	1550
256	3	2	0.71	0.50	450	1550
257	3	3	1.00	1.00	500	1550
258	3	3	1.00	1.00	550	1550
259	3	3	1.00	1.00	600	1550
260	3	3	1.00	1.00	650	1550
261	3	3	1.00	1.00	700	1550
262	3	3	1.00	1.00	750	1550
263	3	3	1.00	1.00	800	1550
264	3	3	1.00	1.00	850	1550
265	3	3	1.00	1.00	900	1550
266	3	3	1.00	1.00	950	1550
267	3	3	1.00	1.00	1000	1550
268	3	3	1.00	1.00	1050	1550
269	3	3	1.00	1.00	1100	1550
270	4	3	1.58	1.50	1150	1550
271	4	3	1.58	1.50	1200	1550
272	3	2	0.71	0.50	400	1600
273	3	2	0.71	0.50	450	1600
274	3	3	1.00	1.00	500	1600
275	3	3	1.00	1.00	550	1600
276	3	3	1.00	1.00	600	1600
277	3	3	1.00	1.00	650	1600
278	3	3	1.00	1.00	700	1600
279	3	3	1.00	1.00	750	1600
280	3	3	1.00	1.00	800	1600
281	3	3	1.00	1.00	850	1600
282	3	3	1.00	1.00	900	1600
283	3	3	1.00	1.00	950	1600
284	3	3	1.00	1.00	1000	1600
285	3	3	1.00	1.00	1050	1600
286	3	3	1.00	1.00	1100	1600
287	4	3	1.58	1.50	1150	1600
288	4	3	1.58	1.50	1200	1600
289	3	2	0.71	0.50	400	1650
290	3	2	0.71	0.50	450	1650
291	3	3	1.00	1.00	500	1650
292	3	3	1.00	1.00	550	1650
293	3	3	1.00	1.00	600	1650
294	3	3	1.00	1.00	650	1650
295	3	3	1.00	1.00	700	1650
296	3	3	1.00	1.00	750	1650
297	3	3	1.00	1.00	800	1650
298	3	3	1.00	1.00	850	1650
299	3	3	1.00	1.00	900	1650
300	3	3	1.00	1.00	950	1650
301	3	3	1.00	1.00	1000	1650
302	3	3	1.00	1.00	1050	1650
303	3	3	1.00	1.00	1100	1650
304	4	3	1.58	1.50	1150	1650
305	4	3	1.58	1.50	1200	1650
306	3	2	0.71	0.50	400	1700
307	3	2	0.71	0.50	450	1700
308	3	3	1.00	1.00	500	1700
309	3	3	1.00	1.00	550	1700
310	3	3	1.00	1.00	600	1700
311	3	3	1.00	1.00	650	1700
312	3	3	1.00	1.00	700	1700
313	3	3	1.00	1.00	750	1700
314	3	3	1.00	1.00	800	1700
315	3	3	1.00	1.00	850	1700
316	3	3	1.00	1.00	900	1700
317	3	3	1.00	1.00	950	1700
318	3	3	1.00	1.00	1000	1700
319	3	3	1.00	1.00	1050	1700
320	3	3	1.00	1.00	1100	1700
321	4	3	1.58	1.50	1150	1700
322	4	3	1.58	1.50	1200	1700
323	3	2	0.71	0.50	400	1750
324	3	2	0.71	0.50	450	1750
325	3	3	1.00	1.00	500	1750
326	3	3	1.00	1.00	550	1750
327	3	3	1.00	1.00	600	1750
328	3	3	1.00	1.00	650	1750
329	3	3	1.00	1.00	700	1750
330	3	3	1.00	1.00	750	1750
331	3	3	1.00	1.00	800	1750
332	3	3	1.00	1.00	850	1750
333	3	3	1.00	1.00	900	1750
334	3	3	1.00	1.00	950	1750
335	3	3	1.00	1.00	1000	1750
336	3	3	1.00	1.00	1050	1750
337	3	3	1.00	1.00	1100	1750
338	4	3	1.58	1.50	1150	1750
339	4	3	1.58	1.50	1200	1750
