	IN	OUT	RMSE	MAE	span	delta
147	4	2	0.71	0.50	950	1200
148	4	2	0.71	0.50	1000	1200
149	4	2	0.71	0.50	1050	1200
150	4	2	0.71	0.50	1100	1200
151	4	2	0.71	0.50	1150	1200
152	4	2	0.71	0.50	1200	1200
153	4	1	1.00	1.00	400	1250
154	4	1	1.00	1.00	450	1250
155	4	1	1.00	1.00	500	1250
156	4	1	1.00	1.00	550	1250
157	4	1	1.00	1.00	600	1250
158	4	1	1.00	1.00	650	1250
159	4	1	1.00	1.00	700	1250
160	4	2	0.71	0.50	750	1250
161	4	2	0.71	0.50	800	1250
162	4	2	0.71	0.50	850	1250
163	4	2	0.71	0.50	900	1250
164	4	2	0.71	0.50	950	1250
165	4	2	0.71	0.50	1000	1250
166	4	2	0.71	0.50	1050	1250
167	4	2	0.71	0.50	1100	1250
168	4	2	0.71	0.50	1150	1250
169	4	2	0.71	0.50	1200	1250
170	4	1	1.00	1.00	400	1300
171	4	1	1.00	1.00	450	1300
172	4	1	1.00	1.00	500	1300
173	4	1	1.00	1.00	550	1300
174	4	1	1.00	1.00	600	1300
175	4	1	1.00	1.00	650	1300
176	4	1	1.00	1.00	700	1300
177	4	2	0.71	0.50	750	1300
178	4	2	0.71	0.50	800	1300
179	4	2	0.71	0.50	850	1300
180	4	2	0.71	0.50	900	1300
181	4	2	0.71	0.50	950	1300
182	4	2	0.71	0.50	1000	1300
183	4	2	0.71	0.50	1050	1300
184	4	2	0.71	0.50	1100	1300
185	4	2	0.71	0.50	1150	1300
186	4	2	0.71	0.50	1200	1300
187	4	1	1.00	1.00	400	1350
188	4	1	1.00	1.00	450	1350
189	4	1	1.00	1.00	500	1350
190	4	1	1.00	1.00	550	1350
191	4	1	1.00	1.00	600	1350
192	4	1	1.00	1.00	650	1350
193	4	1	1.00	1.00	700	1350
194	4	2	0.71	0.50	750	1350
195	4	2	0.71	0.50	800	1350
196	4	2	0.71	0.50	850	1350
197	4	2	0.71	0.50	900	1350
198	4	2	0.71	0.50	950	1350
199	4	2	0.71	0.50	1000	1350
200	4	2	0.71	0.50	1050	1350
201	4	2	0.71	0.50	1100	1350
202	4	2	0.71	0.50	1150	1350
203	4	2	0.71	0.50	1200	1350
204	4	1	1.00	1.00	400	1400
205	4	1	1.00	1.00	450	1400
206	4	1	1.00	1.00	500	1400
207	4	1	1.00	1.00	550	1400
208	4	1	1.00	1.00	600	1400
209	4	1	1.00	1.00	650	1400
210	4	1	1.00	1.00	700	1400
211	4	2	0.71	0.50	750	1400
212	4	2	0.71	0.50	800	1400
213	4	2	0.71	0.50	850	1400
214	4	2	0.71	0.50	900	1400
215	4	2	0.71	0.50	950	1400
216	4	2	0.71	0.50	1000	1400
217	4	2	0.71	0.50	1050	1400
218	4	2	0.71	0.50	1100	1400
219	4	2	0.71	0.50	1150	1400
220	4	2	0.71	0.50	1200	1400
221	4	2	0.71	0.50	400	1450
222	5	2	0.00	0.00	450	1450
223	5	2	0.00	0.00	500	1450
224	5	2	0.00	0.00	550	1450
225	5	2	0.00	0.00	600	1450
226	5	2	0.00	0.00	650	1450
227	5	2	0.00	0.00	700	1450
228	5	3	0.71	0.50	750	1450
229	5	3	0.71	0.50	800	1450
230	5	3	0.71	0.50	850	1450
231	5	3	0.71	0.50	900	1450
232	5	3	0.71	0.50	950	1450
233	5	3	0.71	0.50	1000	1450
234	5	3	0.71	0.50	1050	1450
235	5	3	0.71	0.50	1100	1450
236	5	3	0.71	0.50	1150	1450
237	5	3	0.71	0.50	1200	1450
238	4	2	0.71	0.50	400	1500
239	5	2	0.00	0.00	450	1500
240	5	2	0.00	0.00	500	1500
241	5	2	0.00	0.00	550	1500
242	5	2	0.00	0.00	600	1500
243	5	2	0.00	0.00	650	1500
244	5	2	0.00	0.00	700	1500
245	5	3	0.71	0.50	750	1500
246	5	3	0.71	0.50	800	1500
247	5	3	0.71	0.50	850	1500
248	5	3	0.71	0.50	900	1500
249	5	3	0.71	0.50	950	1500
250	5	3	0.71	0.50	1000	1500
251	5	3	0.71	0.50	1050	1500
252	5	3	0.71	0.50	1100	1500
253	5	3	0.71	0.50	1150	1500
254	5	3	0.71	0.50	1200	1500
255	4	2	0.71	0.50	400	1550
256	5	2	0.00	0.00	450	1550
257	5	2	0.00	0.00	500	1550
258	5	2	0.00	0.00	550	1550
259	5	2	0.00	0.00	600	1550
260	5	2	0.00	0.00	650	1550
261	5	2	0.00	0.00	700	1550
262	5	3	0.71	0.50	750	1550
263	5	3	0.71	0.50	800	1550
264	5	3	0.71	0.50	850	1550
265	5	3	0.71	0.50	900	1550
266	5	3	0.71	0.50	950	1550
267	5	3	0.71	0.50	1000	1550
268	5	3	0.71	0.50	1050	1550
269	5	3	0.71	0.50	1100	1550
270	5	3	0.71	0.50	1150	1550
271	5	3	0.71	0.50	1200	1550
272	4	2	0.71	0.50	400	1600
273	5	2	0.00	0.00	450	1600
274	5	2	0.00	0.00	500	1600
275	5	2	0.00	0.00	550	1600
276	5	2	0.00	0.00	600	1600
277	5	2	0.00	0.00	650	1600
278	5	2	0.00	0.00	700	1600
279	5	3	0.71	0.50	750	1600
280	5	3	0.71	0.50	800	1600
281	5	3	0.71	0.50	850	1600
282	5	3	0.71	0.50	900	1600
283	5	3	0.71	0.50	950	1600
284	5	3	0.71	0.50	1000	1600
285	5	3	0.71	0.50	1050	1600
286	5	3	0.71	0.50	1100	1600
287	5	3	0.71	0.50	1150	1600
288	5	3	0.71	0.50	1200	1600
289	4	2	0.71	0.50	400	1650
290	5	2	0.00	0.00	450	1650
291	5	2	0.00	0.00	500	1650
292	5	2	0.00	0.00	550	1650
293	5	2	0.00	0.00	600	1650
294	5	2	0.00	0.00	650	1650
295	5	2	0.00	0.00	700	1650
296	5	3	0.71	0.50	750	1650
297	5	3	0.71	0.50	800	1650
298	5	3	0.71	0.50	850	1650
